symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAL,2025-11-10 09:30:00-05:00,13.87,14.05,13.86,13.995,3034966.0,4277.0,13.971651
AAL,2025-11-10 09:31:00-05:00,13.995,14.03,13.92,13.925,330490.0,934.0,13.994987
AAL,2025-11-10 09:32:00-05:00,13.9299,13.9399,13.88,13.92,165745.0,565.0,13.91002
AAL,2025-11-10 09:33:00-05:00,13.93,13.975,13.87,13.875,159889.0,511.0,13.935351
AAL,2025-11-10 09:34:00-05:00,13.875,13.97,13.875,13.895,243572.0,968.0,13.925089
AAL,2025-11-10 09:35:00-05:00,13.895,13.9,13.83,13.855,204624.0,853.0,13.866884
AAL,2025-11-10 09:36:00-05:00,13.855,13.8901,13.81,13.825,263285.0,1011.0,13.839845
AAL,2025-11-10 09:37:00-05:00,13.8215,13.86,13.82,13.835,148932.0,504.0,13.833204
AAL,2025-11-10 09:38:00-05:00,13.835,13.855,13.815,13.845,147492.0,440.0,13.834453
AAL,2025-11-10 09:39:00-05:00,13.85,13.8579,13.805,13.81,108683.0,528.0,13.824649
AAL,2025-11-10 09:40:00-05:00,13.82,13.885,13.815,13.875,127091.0,428.0,13.857113
AAL,2025-11-10 09:41:00-05:00,13.875,13.925,13.875,13.92,227438.0,612.0,13.903505
AAL,2025-11-10 09:42:00-05:00,13.92,13.95,13.89,13.915,169446.0,623.0,13.914419
AAL,2025-11-10 09:43:00-05:00,13.915,13.935,13.9024,13.925,149892.0,664.0,13.920295
AAL,2025-11-10 09:44:00-05:00,13.915,13.92,13.885,13.905,77162.0,449.0,13.901858
AAL,2025-11-10 09:45:00-05:00,13.905,13.98,13.9,13.98,166443.0,695.0,13.95136
AAL,2025-11-10 09:46:00-05:00,13.97,13.975,13.935,13.965,65587.0,401.0,13.955746
AAL,2025-11-10 09:47:00-05:00,13.965,13.965,13.89,13.915,86101.0,434.0,13.923446
AAL,2025-11-10 09:48:00-05:00,13.915,13.925,13.885,13.91,141403.0,700.0,13.906699
AAL,2025-11-10 09:49:00-05:00,13.905,13.9299,13.89,13.895,195265.0,566.0,13.90823
AAL,2025-11-10 09:50:00-05:00,13.895,13.915,13.88,13.9148,99243.0,465.0,13.896266
AAL,2025-11-10 09:51:00-05:00,13.915,13.935,13.9,13.925,80186.0,337.0,13.924795
AAL,2025-11-10 09:52:00-05:00,13.925,13.925,13.855,13.855,140729.0,729.0,13.880442
AAL,2025-11-10 09:53:00-05:00,13.855,13.859,13.8,13.81,161582.0,615.0,13.826886
AAL,2025-11-10 09:54:00-05:00,13.81,13.83,13.77,13.7879,230643.0,709.0,13.807027
AAL,2025-11-10 09:55:00-05:00,13.785,13.79,13.77,13.775,142970.0,463.0,13.782675
AAL,2025-11-10 09:56:00-05:00,13.775,13.79,13.77,13.775,134465.0,358.0,13.779753
AAL,2025-11-10 09:57:00-05:00,13.775,13.8,13.7748,13.785,155826.0,457.0,13.786213
AAL,2025-11-10 09:58:00-05:00,13.7885,13.795,13.76,13.78,169467.0,490.0,13.778741
AAL,2025-11-10 09:59:00-05:00,13.7752,13.785,13.73,13.7415,149111.0,440.0,13.749891
AAL,2025-11-10 10:00:00-05:00,13.74,13.7493,13.69,13.7,518258.0,1294.0,13.711872
AAL,2025-11-10 10:01:00-05:00,13.7,13.745,13.7,13.725,220351.0,873.0,13.719812
AAL,2025-11-10 10:02:00-05:00,13.725,13.7299,13.66,13.6701,176983.0,601.0,13.691557
AAL,2025-11-10 10:03:00-05:00,13.6735,13.69,13.6301,13.645,289582.0,791.0,13.656764
AAL,2025-11-10 10:04:00-05:00,13.6499,13.66,13.6125,13.64,244935.0,568.0,13.637207
AAL,2025-11-10 10:05:00-05:00,13.64,13.67,13.63,13.645,243599.0,837.0,13.650572
AAL,2025-11-10 10:06:00-05:00,13.645,13.655,13.61,13.625,259236.0,811.0,13.621312
