symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ABBV,2025-11-10 09:30:00-05:00,217.0,218.11,217.0,218.105,97688.0,997.0,217.067823
ABBV,2025-11-10 09:31:00-05:00,217.661,218.5,217.661,218.32,9874.0,225.0,218.200286
ABBV,2025-11-10 09:32:00-05:00,218.32,219.5,218.21,219.345,16913.0,366.0,218.569122
ABBV,2025-11-10 09:33:00-05:00,219.4,219.58,218.72,218.91,11482.0,252.0,219.134746
ABBV,2025-11-10 09:34:00-05:00,218.93,219.4399,218.76,219.26,5116.0,105.0,219.060001
ABBV,2025-11-10 09:35:00-05:00,219.16,219.22,218.89,218.98,8928.0,220.0,219.020851
ABBV,2025-11-10 09:36:00-05:00,218.98,219.2,218.95,219.105,6889.0,186.0,219.07148
ABBV,2025-11-10 09:37:00-05:00,219.35,219.38,219.12,219.12,7838.0,217.0,219.248185
ABBV,2025-11-10 09:38:00-05:00,219.11,219.28,218.76,219.28,8338.0,216.0,219.058068
ABBV,2025-11-10 09:39:00-05:00,219.305,219.795,219.305,219.795,6284.0,224.0,219.61653
ABBV,2025-11-10 09:40:00-05:00,219.68,219.76,219.367,219.64,8065.0,210.0,219.649089
ABBV,2025-11-10 09:41:00-05:00,219.65,219.655,219.43,219.5,2901.0,129.0,219.535
ABBV,2025-11-10 09:42:00-05:00,219.35,219.42,218.7837,219.04,9104.0,237.0,219.076169
ABBV,2025-11-10 09:43:00-05:00,218.92,219.37,218.92,219.195,4599.0,190.0,219.223218
ABBV,2025-11-10 09:44:00-05:00,219.37,219.725,219.295,219.66,6161.0,187.0,219.552996
ABBV,2025-11-10 09:45:00-05:00,219.66,219.66,219.33,219.47,8066.0,260.0,219.507437
ABBV,2025-11-10 09:46:00-05:00,219.55,219.55,218.98,219.175,7320.0,173.0,219.295752
ABBV,2025-11-10 09:47:00-05:00,219.185,219.36,219.165,219.35,3677.0,182.0,219.269502
ABBV,2025-11-10 09:48:00-05:00,219.42,219.61,219.2475,219.43,7268.0,250.0,219.355293
ABBV,2025-11-10 09:49:00-05:00,219.3233,219.74,219.3233,219.33,7102.0,212.0,219.505141
ABBV,2025-11-10 09:50:00-05:00,219.42,219.65,219.42,219.65,2567.0,118.0,219.526091
ABBV,2025-11-10 09:51:00-05:00,219.61,219.76,219.47,219.76,6699.0,182.0,219.67175
ABBV,2025-11-10 09:52:00-05:00,219.73,219.86,219.6,219.6395,6112.0,170.0,219.729392
ABBV,2025-11-10 09:53:00-05:00,219.54,219.6515,218.9,218.915,23522.0,336.0,219.207165
