symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMAT,2025-11-10 09:30:00-05:00,236.37,236.5399,235.01,236.025,120078.0,1136.0,236.143443
AMAT,2025-11-10 09:31:00-05:00,236.015,236.54,235.599,236.0,33050.0,526.0,236.053854
AMAT,2025-11-10 09:32:00-05:00,236.02,236.48,235.84,236.458,29630.0,471.0,236.163366
AMAT,2025-11-10 09:33:00-05:00,236.29,236.4299,235.91,235.985,19837.0,358.0,236.068323
AMAT,2025-11-10 09:34:00-05:00,235.9547,236.32,235.85,235.9444,9360.0,233.0,236.095979
AMAT,2025-11-10 09:35:00-05:00,235.87,236.44,235.8485,236.26,24295.0,445.0,236.105028
AMAT,2025-11-10 09:36:00-05:00,236.34,236.39,235.5,235.8,19440.0,334.0,236.002547
AMAT,2025-11-10 09:37:00-05:00,235.54,235.85,235.485,235.785,10131.0,248.0,235.699225
AMAT,2025-11-10 09:38:00-05:00,235.79,235.79,235.02,235.52,47504.0,523.0,235.337589
AMAT,2025-11-10 09:39:00-05:00,235.51,235.82,235.39,235.595,11529.0,268.0,235.605993
AMAT,2025-11-10 09:40:00-05:00,235.6414,236.085,235.6414,236.08,11845.0,313.0,235.897495
AMAT,2025-11-10 09:41:00-05:00,236.075,236.32,235.66,235.885,20231.0,443.0,235.97197
AMAT,2025-11-10 09:42:00-05:00,235.8342,236.2,235.67,235.7,9040.0,188.0,235.832744
AMAT,2025-11-10 09:43:00-05:00,235.67,235.74,235.325,235.325,15265.0,347.0,235.538386
AMAT,2025-11-10 09:44:00-05:00,235.47,235.66,235.1,235.63,9224.0,179.0,235.463672
AMAT,2025-11-10 09:45:00-05:00,235.62,235.87,235.5,235.87,20945.0,473.0,235.653703
AMAT,2025-11-10 09:46:00-05:00,235.86,236.19,235.61,236.06,18401.0,377.0,235.913808
AMAT,2025-11-10 09:47:00-05:00,235.99,236.055,235.49,235.49,18095.0,378.0,235.926497
AMAT,2025-11-10 09:48:00-05:00,235.45,235.49,235.19,235.315,6144.0,239.0,235.372895
AMAT,2025-11-10 09:49:00-05:00,235.4,235.45,234.77,234.81,22920.0,429.0,235.023827
AMAT,2025-11-10 09:50:00-05:00,234.76,234.83,233.88,233.88,29333.0,534.0,234.237965
AMAT,2025-11-10 09:51:00-05:00,233.83,234.25,233.82,234.05,18379.0,369.0,233.970806
AMAT,2025-11-10 09:52:00-05:00,234.0,234.0,233.42,233.4754,20226.0,381.0,233.682762
AMAT,2025-11-10 09:53:00-05:00,233.59,233.875,233.41,233.67,9800.0,229.0,233.669721
AMAT,2025-11-10 09:54:00-05:00,233.685,234.273,233.685,234.273,18089.0,348.0,233.928364
AMAT,2025-11-10 09:55:00-05:00,234.32,234.49,234.125,234.48,10768.0,267.0,234.270939
AMAT,2025-11-10 09:56:00-05:00,234.54,234.71,234.31,234.385,9759.0,217.0,234.4338
AMAT,2025-11-10 09:57:00-05:00,234.47,234.79,234.465,234.785,10031.0,220.0,234.602304
AMAT,2025-11-10 09:58:00-05:00,234.785,234.88,234.4601,234.835,15672.0,317.0,234.659231
AMAT,2025-11-10 09:59:00-05:00,234.7787,234.88,234.435,234.45,16496.0,311.0,234.700136
