symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMD,2025-11-10 09:30:00-05:00,242.15,242.98,240.5,241.71,1185290.0,11729.0,241.930716
AMD,2025-11-10 09:31:00-05:00,241.845,242.52,240.88,241.28,450510.0,3990.0,241.499698
AMD,2025-11-10 09:32:00-05:00,241.27,242.99,241.11,242.63,353700.0,3996.0,242.291646
AMD,2025-11-10 09:33:00-05:00,242.71,243.5765,242.31,243.37,671506.0,6774.0,242.946874
AMD,2025-11-10 09:34:00-05:00,243.455,244.15,242.5601,243.1125,585616.0,5961.0,243.620142
AMD,2025-11-10 09:35:00-05:00,243.045,244.1499,242.65,243.21,367902.0,5051.0,243.326925
AMD,2025-11-10 09:36:00-05:00,243.26,243.4945,241.79,242.86,416500.0,5313.0,242.346654
AMD,2025-11-10 09:37:00-05:00,242.86,243.46,242.64,242.72,414174.0,4722.0,242.98857
AMD,2025-11-10 09:38:00-05:00,242.69,243.33,242.3,243.25,247118.0,3639.0,242.793477
AMD,2025-11-10 09:39:00-05:00,243.2,243.66,243.0,243.275,326637.0,4492.0,243.442729
AMD,2025-11-10 09:40:00-05:00,243.2975,243.69,243.02,243.2377,212416.0,3405.0,243.384636
AMD,2025-11-10 09:41:00-05:00,243.19,243.99,243.09,243.76,239390.0,3591.0,243.628371
AMD,2025-11-10 09:42:00-05:00,243.775,243.97,243.4001,243.83,203594.0,2826.0,243.700743
AMD,2025-11-10 09:43:00-05:00,243.91,243.94,243.32,243.91,200391.0,2829.0,243.712311
AMD,2025-11-10 09:44:00-05:00,243.88,244.98,243.84,244.73,492824.0,5399.0,244.55099
AMD,2025-11-10 09:45:00-05:00,244.77,244.95,243.5701,243.8,431378.0,4324.0,244.15111
AMD,2025-11-10 09:46:00-05:00,243.72,244.0199,243.5,243.9295,151678.0,2385.0,243.790922
AMD,2025-11-10 09:47:00-05:00,243.9244,244.25,243.7001,243.8688,221775.0,2940.0,243.947937
AMD,2025-11-10 09:48:00-05:00,243.9,244.525,243.86,244.51,170261.0,2479.0,244.216939
AMD,2025-11-10 09:49:00-05:00,244.5458,245.32,244.221,245.07,637876.0,5053.0,244.967088
AMD,2025-11-10 09:50:00-05:00,245.045,245.1,243.86,243.9499,175109.0,3095.0,244.472143
AMD,2025-11-10 09:51:00-05:00,243.9003,244.85,243.9,244.545,133341.0,2229.0,244.453988
AMD,2025-11-10 09:52:00-05:00,244.5,244.74,244.3003,244.385,110658.0,1786.0,244.566678
