symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMT,2025-11-10 09:30:00-05:00,176.24,177.1,176.0,176.1,37609.0,245.0,176.298623
AMT,2025-11-10 09:31:00-05:00,176.745,176.745,176.585,176.585,4187.0,100.0,176.682637
AMT,2025-11-10 09:32:00-05:00,176.58,176.805,176.19,176.75,6922.0,87.0,176.566956
AMT,2025-11-10 09:33:00-05:00,176.775,177.0432,176.28,176.88,7390.0,141.0,176.660944
AMT,2025-11-10 09:34:00-05:00,176.88,177.1904,176.88,177.085,15982.0,298.0,177.000072
AMT,2025-11-10 09:35:00-05:00,177.085,177.09,176.84,177.055,8298.0,106.0,177.068896
AMT,2025-11-10 09:36:00-05:00,177.055,177.18,176.84,177.04,7125.0,144.0,176.98598
AMT,2025-11-10 09:37:00-05:00,177.13,177.19,177.04,177.19,4916.0,85.0,177.121186
AMT,2025-11-10 09:38:00-05:00,177.08,177.135,176.83,176.96,9132.0,134.0,176.966441
AMT,2025-11-10 09:39:00-05:00,176.96,177.26,176.96,177.15,3007.0,77.0,177.07329
AMT,2025-11-10 09:40:00-05:00,177.2871,177.53,177.155,177.5,15032.0,192.0,177.4606
AMT,2025-11-10 09:41:00-05:00,177.515,177.75,177.36,177.48,38594.0,338.0,177.470883
AMT,2025-11-10 09:42:00-05:00,177.5,177.585,177.495,177.58,3001.0,66.0,177.550872
AMT,2025-11-10 09:43:00-05:00,177.6125,177.8512,177.485,177.8512,16347.0,224.0,177.574864
AMT,2025-11-10 09:44:00-05:00,177.735,178.21,177.735,178.02,12173.0,157.0,177.932569
AMT,2025-11-10 09:45:00-05:00,178.02,178.1,177.705,177.75,10929.0,149.0,177.949045
AMT,2025-11-10 09:46:00-05:00,177.73,178.42,177.73,178.26,12795.0,196.0,178.135001
AMT,2025-11-10 09:47:00-05:00,178.46,178.53,178.24,178.52,10984.0,189.0,178.396144
AMT,2025-11-10 09:48:00-05:00,178.34,178.48,177.95,178.075,9736.0,169.0,178.172042
AMT,2025-11-10 09:49:00-05:00,178.18,178.18,177.97,178.135,31395.0,362.0,178.036243
AMT,2025-11-10 09:50:00-05:00,178.16,178.17,178.0601,178.17,6126.0,112.0,178.147656
AMT,2025-11-10 09:51:00-05:00,178.08,178.12,177.85,177.85,11890.0,194.0,177.990496
AMT,2025-11-10 09:52:00-05:00,177.825,177.825,177.825,177.825,2260.0,65.0,177.825
AMT,2025-11-10 09:53:00-05:00,178.12,178.2,177.9,177.905,5379.0,115.0,178.077895
AMT,2025-11-10 09:54:00-05:00,178.2,178.755,178.2,178.69,4816.0,137.0,178.5482
AMT,2025-11-10 09:55:00-05:00,178.62,178.85,178.62,178.75,2759.0,83.0,178.737296
AMT,2025-11-10 09:56:00-05:00,178.84,178.84,178.66,178.83,4657.0,147.0,178.741591
AMT,2025-11-10 09:57:00-05:00,178.88,179.09,178.83,179.04,5099.0,148.0,178.966711
AMT,2025-11-10 09:58:00-05:00,179.02,179.13,178.95,179.05,6363.0,151.0,179.026262
AMT,2025-11-10 09:59:00-05:00,179.17,179.23,179.05,179.05,6686.0,147.0,179.122643
AMT,2025-11-10 10:00:00-05:00,179.045,179.4214,179.045,179.29,12562.0,272.0,179.246343
