symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AXP,2025-11-10 09:30:00-05:00,369.48,371.58,369.42,371.16,54036.0,2020.0,369.777061
AXP,2025-11-10 09:31:00-05:00,371.16,371.8,369.89,370.96,18552.0,580.0,370.993069
AXP,2025-11-10 09:32:00-05:00,370.37,370.96,370.035,370.44,11739.0,300.0,370.468438
AXP,2025-11-10 09:33:00-05:00,370.52,370.79,369.56,369.84,9850.0,420.0,370.125757
AXP,2025-11-10 09:34:00-05:00,370.0,371.24,370.0,370.815,5762.0,320.0,370.628556
AXP,2025-11-10 09:35:00-05:00,371.06,371.06,370.43,370.61,9479.0,269.0,370.671715
AXP,2025-11-10 09:36:00-05:00,370.61,370.79,369.84,370.47,11406.0,455.0,370.336019
AXP,2025-11-10 09:37:00-05:00,370.3034,370.95,370.3034,370.51,4006.0,178.0,370.620974
AXP,2025-11-10 09:38:00-05:00,370.51,370.98,370.4932,370.735,6044.0,255.0,370.665965
AXP,2025-11-10 09:39:00-05:00,370.63,370.63,370.07,370.11,6748.0,282.0,370.289474
AXP,2025-11-10 09:40:00-05:00,370.195,370.46,369.74,370.0264,5178.0,225.0,370.086831
AXP,2025-11-10 09:41:00-05:00,369.875,370.17,369.62,369.92,8575.0,351.0,369.846379
AXP,2025-11-10 09:42:00-05:00,370.11,370.115,369.28,369.47,8680.0,422.0,369.495006
AXP,2025-11-10 09:43:00-05:00,369.455,369.455,369.01,369.32,6879.0,419.0,369.19371
AXP,2025-11-10 09:44:00-05:00,369.32,369.44,368.81,368.96,8808.0,380.0,369.157914
AXP,2025-11-10 09:45:00-05:00,369.03,369.06,368.06,368.06,10032.0,513.0,368.537208
AXP,2025-11-10 09:46:00-05:00,368.06,368.06,367.02,367.09,11155.0,441.0,367.608099
AXP,2025-11-10 09:47:00-05:00,367.05,367.34,366.36,366.82,14708.0,579.0,366.941994
AXP,2025-11-10 09:48:00-05:00,366.825,367.1113,366.64,366.87,7621.0,331.0,366.824612
AXP,2025-11-10 09:49:00-05:00,367.04,367.24,366.64,366.76,9525.0,252.0,366.937469
AXP,2025-11-10 09:50:00-05:00,366.785,367.47,366.7,367.16,8563.0,328.0,367.009727
AXP,2025-11-10 09:51:00-05:00,367.36,367.859,367.24,367.35,5366.0,266.0,367.508186
AXP,2025-11-10 09:52:00-05:00,367.12,367.374,366.9,366.9,8989.0,427.0,367.107411
AXP,2025-11-10 09:53:00-05:00,367.05,367.15,366.75,366.87,7959.0,273.0,366.978797
AXP,2025-11-10 09:54:00-05:00,366.99,367.0,366.4,366.4,5188.0,251.0,366.726019
AXP,2025-11-10 09:55:00-05:00,366.41,366.53,366.14,366.345,6590.0,375.0,366.404587
AXP,2025-11-10 09:56:00-05:00,366.345,366.59,366.27,366.4,6022.0,278.0,366.423115
AXP,2025-11-10 09:57:00-05:00,366.4,366.45,366.1,366.1257,5704.0,276.0,366.255561
AXP,2025-11-10 09:58:00-05:00,366.295,366.4,365.72,365.755,4780.0,239.0,365.975189
AXP,2025-11-10 09:59:00-05:00,365.7,365.75,364.54,364.695,9749.0,387.0,365.170963
AXP,2025-11-10 10:00:00-05:00,364.695,364.86,364.19,364.28,10560.0,409.0,364.5926
AXP,2025-11-10 10:01:00-05:00,364.22,364.3899,363.74,364.165,19571.0,695.0,364.055117
AXP,2025-11-10 10:02:00-05:00,364.09,364.265,363.95,363.95,5664.0,246.0,364.054923
AXP,2025-11-10 10:03:00-05:00,364.18,364.48,363.95,364.405,11173.0,424.0,364.212194
AXP,2025-11-10 10:04:00-05:00,364.435,364.8,364.1132,364.1132,5732.0,303.0,364.576304
AXP,2025-11-10 10:05:00-05:00,364.49,364.665,364.13,364.36,13062.0,507.0,364.390071
AXP,2025-11-10 10:06:00-05:00,364.43,364.73,364.3,364.61,4098.0,229.0,364.504852
AXP,2025-11-10 10:07:00-05:00,364.77,364.94,364.17,364.33,6601.0,333.0,364.545619
AXP,2025-11-10 10:08:00-05:00,364.31,364.47,364.12,364.38,6816.0,316.0,364.264668
AXP,2025-11-10 10:09:00-05:00,364.4218,364.44,364.0,364.43,5454.0,318.0,364.262963
AXP,2025-11-10 10:10:00-05:00,364.225,364.55,364.05,364.16,4795.0,247.0,364.294417
AXP,2025-11-10 10:11:00-05:00,364.215,364.215,363.47,363.825,11551.0,406.0,363.923067
AXP,2025-11-10 10:12:00-05:00,363.95,363.96,363.945,363.945,2153.0,376.0,363.946639
AXP,2025-11-10 10:13:00-05:00,363.8,364.1199,363.78,363.943,2381.0,165.0,363.991448
AXP,2025-11-10 10:14:00-05:00,364.01,364.33,363.67,363.9,6285.0,305.0,364.041652
AXP,2025-11-10 10:15:00-05:00,363.85,363.9,363.22,363.2801,6362.0,300.0,363.596842
AXP,2025-11-10 10:16:00-05:00,363.405,364.08,363.28,364.08,6394.0,321.0,363.533938
AXP,2025-11-10 10:17:00-05:00,363.99,364.01,363.69,363.695,3657.0,182.0,363.841759
AXP,2025-11-10 10:18:00-05:00,363.695,364.04,363.69,363.975,4341.0,221.0,363.89036
AXP,2025-11-10 10:19:00-05:00,363.95,363.975,363.4,363.5,4652.0,220.0,363.705904
AXP,2025-11-10 10:20:00-05:00,363.41,363.78,363.34,363.7,7300.0,315.0,363.553643
AXP,2025-11-10 10:21:00-05:00,363.7,364.37,363.7,364.37,1720.0,145.0,364.113967
AXP,2025-11-10 10:22:00-05:00,364.34,364.51,364.21,364.21,4364.0,184.0,364.332689
AXP,2025-11-10 10:23:00-05:00,364.21,364.63,364.13,364.47,5250.0,265.0,364.326198
AXP,2025-11-10 10:24:00-05:00,364.47,364.87,364.46,364.5971,4719.0,199.0,364.680603
AXP,2025-11-10 10:25:00-05:00,364.62,364.625,364.47,364.47,3630.0,187.0,364.544416
AXP,2025-11-10 10:26:00-05:00,364.605,364.62,364.42,364.4798,7653.0,280.0,364.517529
AXP,2025-11-10 10:27:00-05:00,364.61,364.82,364.61,364.82,5017.0,235.0,364.674257
AXP,2025-11-10 10:28:00-05:00,364.82,365.0543,364.74,364.84,5566.0,202.0,364.865435
AXP,2025-11-10 10:29:00-05:00,364.84,364.93,364.5,364.5,4942.0,210.0,364.679152
AXP,2025-11-10 10:30:00-05:00,364.57,364.57,364.11,364.48,5415.0,274.0,364.375599
AXP,2025-11-10 10:31:00-05:00,364.5,364.5,363.685,363.685,3373.0,235.0,364.11987
AXP,2025-11-10 10:32:00-05:00,363.685,363.7,363.3,363.46,3996.0,183.0,363.529967
AXP,2025-11-10 10:33:00-05:00,363.435,363.5299,363.21,363.24,5357.0,263.0,363.357606
AXP,2025-11-10 10:34:00-05:00,363.26,363.6244,363.23,363.41,6744.0,296.0,363.427542
AXP,2025-11-10 10:35:00-05:00,363.495,363.7077,363.495,363.588,4581.0,249.0,363.609434
AXP,2025-11-10 10:36:00-05:00,363.65,363.78,363.575,363.76,4673.0,231.0,363.700838
AXP,2025-11-10 10:37:00-05:00,363.86,363.86,363.4973,363.565,4326.0,215.0,363.593747
AXP,2025-11-10 10:38:00-05:00,363.69,363.74,363.37,363.52,4869.0,288.0,363.51593
AXP,2025-11-10 10:39:00-05:00,363.33,363.55,363.1901,363.1901,7101.0,273.0,363.354852
