symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BAC,2025-11-10 09:30:00-05:00,53.41,53.7175,53.41,53.6763,790850.0,4016.0,53.524456
BAC,2025-11-10 09:31:00-05:00,53.675,53.77,53.65,53.69,186829.0,1444.0,53.707927
BAC,2025-11-10 09:32:00-05:00,53.7,53.74,53.6,53.74,175700.0,1907.0,53.681779
BAC,2025-11-10 09:33:00-05:00,53.74,53.825,53.73,53.825,175315.0,1661.0,53.76978
BAC,2025-11-10 09:34:00-05:00,53.83,53.9,53.83,53.865,178436.0,1242.0,53.877462
BAC,2025-11-10 09:35:00-05:00,53.86,53.975,53.86,53.955,236763.0,2141.0,53.912931
BAC,2025-11-10 09:36:00-05:00,53.95,53.99,53.9,53.94,138943.0,1302.0,53.947468
BAC,2025-11-10 09:37:00-05:00,53.92,53.985,53.9,53.97,64457.0,715.0,53.948328
BAC,2025-11-10 09:38:00-05:00,53.975,53.975,53.91,53.96,99550.0,748.0,53.94279
BAC,2025-11-10 09:39:00-05:00,53.96,53.985,53.81,53.84,245695.0,2015.0,53.878767
BAC,2025-11-10 09:40:00-05:00,53.85,53.92,53.835,53.905,98574.0,1297.0,53.876462
BAC,2025-11-10 09:41:00-05:00,53.91,53.955,53.9,53.9,94443.0,842.0,53.927383
BAC,2025-11-10 09:42:00-05:00,53.905,53.925,53.84,53.905,119782.0,1367.0,53.881781
BAC,2025-11-10 09:43:00-05:00,53.905,53.905,53.821,53.875,171139.0,1495.0,53.869111
BAC,2025-11-10 09:44:00-05:00,53.87,53.88,53.825,53.845,54390.0,642.0,53.847599
BAC,2025-11-10 09:45:00-05:00,53.845,53.92,53.83,53.855,147202.0,1262.0,53.883511
BAC,2025-11-10 09:46:00-05:00,53.855,53.875,53.81,53.85,91274.0,968.0,53.842996
BAC,2025-11-10 09:47:00-05:00,53.85,53.85,53.8,53.815,86433.0,996.0,53.822794
BAC,2025-11-10 09:48:00-05:00,53.8186,53.825,53.77,53.79,72722.0,774.0,53.792704
BAC,2025-11-10 09:49:00-05:00,53.795,53.815,53.765,53.785,102403.0,771.0,53.795036
BAC,2025-11-10 09:50:00-05:00,53.78,53.79,53.745,53.76,59026.0,522.0,53.766941
BAC,2025-11-10 09:51:00-05:00,53.7601,53.83,53.755,53.795,93471.0,944.0,53.801268
BAC,2025-11-10 09:52:00-05:00,53.79,53.79,53.72,53.7698,62674.0,667.0,53.755971
BAC,2025-11-10 09:53:00-05:00,53.765,53.765,53.67,53.68,70936.0,774.0,53.725652
BAC,2025-11-10 09:54:00-05:00,53.67,53.7,53.63,53.63,97702.0,840.0,53.657623
BAC,2025-11-10 09:55:00-05:00,53.64,53.65,53.555,53.615,89908.0,783.0,53.603545
BAC,2025-11-10 09:56:00-05:00,53.61,53.615,53.58,53.5902,50707.0,481.0,53.599446
BAC,2025-11-10 09:57:00-05:00,53.595,53.64,53.595,53.62,62533.0,604.0,53.619858
BAC,2025-11-10 09:58:00-05:00,53.61,53.65,53.587,53.6,166704.0,1291.0,53.61392
BAC,2025-11-10 09:59:00-05:00,53.6,53.62,53.57,53.585,217907.0,1510.0,53.599814
BAC,2025-11-10 10:00:00-05:00,53.57,53.6199,53.55,53.575,138293.0,1304.0,53.581278
BAC,2025-11-10 10:01:00-05:00,53.575,53.62,53.575,53.595,63076.0,699.0,53.600995
BAC,2025-11-10 10:02:00-05:00,53.59,53.625,53.57,53.615,57084.0,681.0,53.600893
BAC,2025-11-10 10:03:00-05:00,53.61,53.63,53.565,53.57,59375.0,606.0,53.604912
BAC,2025-11-10 10:04:00-05:00,53.57,53.59,53.555,53.56,39017.0,471.0,53.574622
BAC,2025-11-10 10:05:00-05:00,53.56,53.6093,53.55,53.6067,95143.0,633.0,53.567733
BAC,2025-11-10 10:06:00-05:00,53.61,53.615,53.575,53.59,44151.0,540.0,53.599498
BAC,2025-11-10 10:07:00-05:00,53.6,53.62,53.57,53.58,68548.0,716.0,53.594071
BAC,2025-11-10 10:08:00-05:00,53.57,53.595,53.53,53.545,79981.0,1003.0,53.559544
BAC,2025-11-10 10:09:00-05:00,53.545,53.545,53.455,53.51,91015.0,1108.0,53.496963
BAC,2025-11-10 10:10:00-05:00,53.515,53.55,53.485,53.49,52270.0,670.0,53.52534
BAC,2025-11-10 10:11:00-05:00,53.495,53.4975,53.46,53.475,38252.0,461.0,53.477938
BAC,2025-11-10 10:12:00-05:00,53.47,53.4785,53.455,53.465,31040.0,400.0,53.466901
BAC,2025-11-10 10:13:00-05:00,53.46,53.52,53.455,53.515,53050.0,542.0,53.488782
BAC,2025-11-10 10:14:00-05:00,53.515,53.525,53.5,53.51,42397.0,491.0,53.514388
BAC,2025-11-10 10:15:00-05:00,53.51,53.53,53.495,53.51,31828.0,396.0,53.514098
BAC,2025-11-10 10:16:00-05:00,53.51,53.535,53.5,53.52,31641.0,411.0,53.516023
BAC,2025-11-10 10:17:00-05:00,53.525,53.5474,53.51,53.54,40363.0,541.0,53.528564
BAC,2025-11-10 10:18:00-05:00,53.54,53.55,53.5201,53.54,94998.0,484.0,53.532604
BAC,2025-11-10 10:19:00-05:00,53.53,53.53,53.48,53.485,86513.0,693.0,53.505236
BAC,2025-11-10 10:20:00-05:00,53.48,53.48,53.455,53.475,31295.0,378.0,53.467591
BAC,2025-11-10 10:21:00-05:00,53.47,53.55,53.47,53.545,43262.0,407.0,53.513745
BAC,2025-11-10 10:22:00-05:00,53.545,53.575,53.53,53.53,39658.0,471.0,53.556036
BAC,2025-11-10 10:23:00-05:00,53.525,53.54,53.495,53.5199,61470.0,398.0,53.517236
BAC,2025-11-10 10:24:00-05:00,53.51,53.54,53.51,53.535,27850.0,313.0,53.526065
BAC,2025-11-10 10:25:00-05:00,53.535,53.57,53.535,53.545,46697.0,535.0,53.551349
BAC,2025-11-10 10:26:00-05:00,53.545,53.61,53.535,53.61,61109.0,550.0,53.569
BAC,2025-11-10 10:27:00-05:00,53.6093,53.645,53.595,53.63,94427.0,640.0,53.625942
BAC,2025-11-10 10:28:00-05:00,53.625,53.66,53.62,53.625,85103.0,528.0,53.637147
BAC,2025-11-10 10:29:00-05:00,53.63,53.67,53.63,53.655,43668.0,396.0,53.648889
BAC,2025-11-10 10:30:00-05:00,53.655,53.66,53.59,53.615,69052.0,588.0,53.616796
BAC,2025-11-10 10:31:00-05:00,53.62,53.625,53.595,53.595,40437.0,375.0,53.605204
BAC,2025-11-10 10:32:00-05:00,53.595,53.61,53.59,53.605,25169.0,362.0,53.599551
BAC,2025-11-10 10:33:00-05:00,53.6,53.61,53.58,53.595,40547.0,399.0,53.599042
BAC,2025-11-10 10:34:00-05:00,53.595,53.595,53.55,53.555,60231.0,462.0,53.576654
BAC,2025-11-10 10:35:00-05:00,53.555,53.565,53.535,53.555,79448.0,416.0,53.549098
BAC,2025-11-10 10:36:00-05:00,53.555,53.59,53.555,53.57,52234.0,452.0,53.574507
BAC,2025-11-10 10:37:00-05:00,53.56,53.57,53.545,53.565,33782.0,432.0,53.556397
BAC,2025-11-10 10:38:00-05:00,53.56,53.5699,53.525,53.535,28284.0,321.0,53.542099
BAC,2025-11-10 10:39:00-05:00,53.5399,53.5399,53.4935,53.495,28479.0,344.0,53.513818
BAC,2025-11-10 10:40:00-05:00,53.495,53.5,53.45,53.4555,28715.0,339.0,53.472208
BAC,2025-11-10 10:41:00-05:00,53.455,53.49,53.4501,53.47,33729.0,380.0,53.468323
BAC,2025-11-10 10:42:00-05:00,53.47,53.47,53.44,53.4562,30075.0,364.0,53.456936
BAC,2025-11-10 10:43:00-05:00,53.455,53.47,53.44,53.455,24754.0,313.0,53.451742
BAC,2025-11-10 10:44:00-05:00,53.45,53.45,53.41,53.425,36349.0,358.0,53.433319
BAC,2025-11-10 10:45:00-05:00,53.425,53.455,53.42,53.4468,41388.0,360.0,53.439871
BAC,2025-11-10 10:46:00-05:00,53.4484,53.455,53.43,53.435,19559.0,265.0,53.445259
BAC,2025-11-10 10:47:00-05:00,53.435,53.45,53.42,53.43,30884.0,381.0,53.432315
BAC,2025-11-10 10:48:00-05:00,53.435,53.435,53.39,53.405,65464.0,473.0,53.410258
BAC,2025-11-10 10:49:00-05:00,53.405,53.4393,53.4,53.435,22627.0,256.0,53.424336
BAC,2025-11-10 10:50:00-05:00,53.435,53.445,53.42,53.435,37996.0,379.0,53.431831
BAC,2025-11-10 10:51:00-05:00,53.43,53.43,53.4011,53.415,51083.0,454.0,53.417964
BAC,2025-11-10 10:52:00-05:00,53.41,53.415,53.39,53.4,40593.0,393.0,53.403891
BAC,2025-11-10 10:53:00-05:00,53.395,53.425,53.39,53.41,24674.0,336.0,53.410938
BAC,2025-11-10 10:54:00-05:00,53.41,53.44,53.41,53.425,19322.0,238.0,53.425233
BAC,2025-11-10 10:55:00-05:00,53.42,53.435,53.405,53.43,42324.0,431.0,53.418505
BAC,2025-11-10 10:56:00-05:00,53.43,53.43,53.39,53.39,29038.0,322.0,53.408516
