symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BA,2025-11-10 09:30:00-05:00,195.89,196.44,195.11,195.26,180539.0,1674.0,195.702244
BA,2025-11-10 09:31:00-05:00,195.26,195.655,194.52,194.73,95749.0,1504.0,195.078232
BA,2025-11-10 09:32:00-05:00,194.8467,195.36,194.58,195.29,86999.0,1085.0,194.898829
BA,2025-11-10 09:33:00-05:00,195.29,195.53,194.72,195.04,88830.0,984.0,195.13744
BA,2025-11-10 09:34:00-05:00,195.04,195.4,194.72,194.72,58413.0,805.0,195.015186
BA,2025-11-10 09:35:00-05:00,194.785,195.15,194.7483,194.991,84859.0,783.0,195.046513
BA,2025-11-10 09:36:00-05:00,195.1,195.26,194.88,195.09,57698.0,828.0,195.047808
BA,2025-11-10 09:37:00-05:00,195.1799,195.1799,194.71,194.955,40358.0,557.0,194.955898
BA,2025-11-10 09:38:00-05:00,194.94,195.0131,194.75,194.93,53669.0,700.0,194.86075
BA,2025-11-10 09:39:00-05:00,194.93,195.1,194.8856,194.965,29505.0,334.0,194.962939
BA,2025-11-10 09:40:00-05:00,194.965,195.09,194.68,194.92,40199.0,550.0,194.845027
BA,2025-11-10 09:41:00-05:00,195.04,195.04,194.8,194.83,18262.0,337.0,194.905632
BA,2025-11-10 09:42:00-05:00,194.82,194.97,194.73,194.88,25951.0,384.0,194.829321
BA,2025-11-10 09:43:00-05:00,194.85,194.885,194.5203,194.675,51104.0,651.0,194.705604
BA,2025-11-10 09:44:00-05:00,194.76,194.8,194.49,194.69,46204.0,795.0,194.604775
BA,2025-11-10 09:45:00-05:00,194.63,195.15,194.63,195.0,32629.0,548.0,194.954227
BA,2025-11-10 09:46:00-05:00,195.0998,195.0998,194.86,194.9,20183.0,353.0,194.985615
BA,2025-11-10 09:47:00-05:00,194.9,194.9355,194.76,194.83,15424.0,254.0,194.824806
BA,2025-11-10 09:48:00-05:00,194.835,195.15,194.68,194.68,17027.0,461.0,194.990568
BA,2025-11-10 09:49:00-05:00,194.815,195.03,194.66,194.88,32902.0,472.0,194.949848
BA,2025-11-10 09:50:00-05:00,194.925,194.9967,194.74,194.86,15812.0,348.0,194.8575
BA,2025-11-10 09:51:00-05:00,194.84,195.12,194.78,194.905,17237.0,412.0,194.966879
BA,2025-11-10 09:52:00-05:00,194.99,195.1399,194.87,195.0,20867.0,403.0,194.949335
BA,2025-11-10 09:53:00-05:00,194.94,195.07,194.72,194.87,19323.0,331.0,194.823097
BA,2025-11-10 09:54:00-05:00,194.88,195.065,194.845,194.995,20826.0,355.0,194.965251
BA,2025-11-10 09:55:00-05:00,194.95,195.11,194.88,195.06,21225.0,413.0,195.022455
BA,2025-11-10 09:56:00-05:00,195.04,195.065,194.7901,194.8735,10166.0,273.0,194.890998
BA,2025-11-10 09:57:00-05:00,194.905,194.99,194.74,194.74,14214.0,341.0,194.861658
BA,2025-11-10 09:58:00-05:00,194.74,194.77,194.6,194.76,19737.0,374.0,194.685607
BA,2025-11-10 09:59:00-05:00,194.7,194.7,194.31,194.4499,39335.0,593.0,194.489725
BA,2025-11-10 10:00:00-05:00,194.4,194.505,194.22,194.285,34728.0,672.0,194.322561
BA,2025-11-10 10:01:00-05:00,194.285,194.35,194.11,194.156,42755.0,749.0,194.221862
BA,2025-11-10 10:02:00-05:00,194.15,194.44,194.15,194.32,27053.0,503.0,194.301181
BA,2025-11-10 10:03:00-05:00,194.25,194.57,194.2405,194.38,31064.0,455.0,194.415622
BA,2025-11-10 10:04:00-05:00,194.42,194.54,194.15,194.3499,46295.0,553.0,194.399362
BA,2025-11-10 10:05:00-05:00,194.285,194.429,194.2,194.4,21746.0,361.0,194.322123
BA,2025-11-10 10:06:00-05:00,194.23,194.617,194.23,194.5237,21037.0,363.0,194.491668
BA,2025-11-10 10:07:00-05:00,194.525,194.5999,194.14,194.365,24747.0,456.0,194.324144
BA,2025-11-10 10:08:00-05:00,194.305,194.61,194.16,194.485,25408.0,321.0,194.49764
BA,2025-11-10 10:09:00-05:00,194.59,194.8341,194.49,194.8,23709.0,506.0,194.696249
BA,2025-11-10 10:10:00-05:00,194.89,194.9899,194.751,194.82,24075.0,471.0,194.887732
BA,2025-11-10 10:11:00-05:00,194.78,194.8899,194.68,194.75,8439.0,222.0,194.752184
BA,2025-11-10 10:12:00-05:00,194.775,194.87,194.692,194.81,20757.0,358.0,194.789325
BA,2025-11-10 10:13:00-05:00,194.77,194.85,194.7,194.84,22806.0,400.0,194.777522
