symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BCH/USD,2025-11-09 02:42:00-05:00,494.100883365,494.100883365,494.100883365,494.100883365,0.0,0.0,494.100883365
BCH/USD,2025-11-09 02:43:00-05:00,493.939383365,493.945883365,493.735883365,493.945883365,0.0,0.0,493.840883365
BCH/USD,2025-11-09 02:44:00-05:00,494.020883365,494.020883365,494.020883365,494.020883365,0.0,0.0,494.020883365
BCH/USD,2025-11-09 02:45:00-05:00,494.015883365,494.015883365,494.015883365,494.015883365,0.0,0.0,494.015883365
BCH/USD,2025-11-09 02:46:00-05:00,494.105883365,494.105883365,493.950883365,493.950883365,0.0,0.0,494.028383365
BCH/USD,2025-11-09 02:48:00-05:00,494.120883365,494.120883365,494.120883365,494.120883365,0.0,0.0,494.120883365
BCH/USD,2025-11-09 02:49:00-05:00,494.005883365,494.005883365,494.005883365,494.005883365,0.0,0.0,494.005883365
BCH/USD,2025-11-09 02:50:00-05:00,493.782383365,493.782383365,493.735883365,493.775883365,0.0,0.0,493.759133365
BCH/USD,2025-11-09 02:53:00-05:00,493.720883365,493.820883365,493.720883365,493.720883365,0.0,0.0,493.770883365
BCH/USD,2025-11-09 02:54:00-05:00,493.870883365,493.870883365,493.870883365,493.870883365,0.0,0.0,493.870883365
BCH/USD,2025-11-09 02:57:00-05:00,493.692383365,493.692383365,493.692383365,493.692383365,0.0,0.0,493.692383365
BCH/USD,2025-11-09 02:58:00-05:00,493.875883365,493.980883365,493.870883365,493.870883365,0.0,0.0,493.925883365
BCH/USD,2025-11-09 03:00:00-05:00,493.720883365,493.720883365,493.620883365,493.620883365,0.0,0.0,493.670883365
BCH/USD,2025-11-09 03:01:00-05:00,493.470883365,493.470883365,493.0545,493.0545,0.0,0.0,493.2626916825
BCH/USD,2025-11-09 03:03:00-05:00,492.702,492.702,492.702,492.702,0.0,0.0,492.702
BCH/USD,2025-11-09 03:04:00-05:00,492.6575,492.6575,492.6575,492.6575,0.0,0.0,492.6575
BCH/USD,2025-11-09 03:05:00-05:00,492.85,492.85,492.85,492.85,0.0,0.0,492.85
