symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CMCSA,2025-11-10 09:30:00-05:00,27.25,27.44,27.25,27.435,469587.0,2017.0,27.306864
CMCSA,2025-11-10 09:31:00-05:00,27.44,27.48,27.37,27.45,69235.0,412.0,27.448952
CMCSA,2025-11-10 09:32:00-05:00,27.46,27.46,27.3801,27.41,77847.0,366.0,27.409157
CMCSA,2025-11-10 09:33:00-05:00,27.41,27.469,27.38,27.39,61851.0,455.0,27.431083
CMCSA,2025-11-10 09:34:00-05:00,27.39,27.405,27.335,27.345,57809.0,499.0,27.372987
CMCSA,2025-11-10 09:35:00-05:00,27.35,27.37,27.315,27.35,58216.0,434.0,27.345163
CMCSA,2025-11-10 09:36:00-05:00,27.345,27.345,27.26,27.27,41902.0,353.0,27.294827
CMCSA,2025-11-10 09:37:00-05:00,27.27,27.35,27.265,27.335,76528.0,382.0,27.321812
CMCSA,2025-11-10 09:38:00-05:00,27.335,27.37,27.32,27.33,93982.0,594.0,27.337159
CMCSA,2025-11-10 09:39:00-05:00,27.325,27.375,27.32,27.365,110632.0,517.0,27.357532
CMCSA,2025-11-10 09:40:00-05:00,27.365,27.38,27.34,27.355,68964.0,418.0,27.35607
CMCSA,2025-11-10 09:41:00-05:00,27.35,27.375,27.34,27.365,79060.0,459.0,27.35427
CMCSA,2025-11-10 09:42:00-05:00,27.365,27.365,27.27,27.28,73278.0,478.0,27.310196
CMCSA,2025-11-10 09:43:00-05:00,27.29,27.375,27.29,27.345,76310.0,495.0,27.332236
CMCSA,2025-11-10 09:44:00-05:00,27.345,27.35,27.315,27.335,40364.0,260.0,27.333451
CMCSA,2025-11-10 09:45:00-05:00,27.335,27.41,27.31,27.3799,97589.0,475.0,27.357589
CMCSA,2025-11-10 09:46:00-05:00,27.375,27.38,27.345,27.345,65707.0,336.0,27.368284
CMCSA,2025-11-10 09:47:00-05:00,27.345,27.345,27.3,27.34,55158.0,441.0,27.320988
CMCSA,2025-11-10 09:48:00-05:00,27.33,27.39,27.3,27.375,74896.0,408.0,27.34772
CMCSA,2025-11-10 09:49:00-05:00,27.375,27.41,27.36,27.405,116322.0,552.0,27.389907
CMCSA,2025-11-10 09:50:00-05:00,27.405,27.455,27.4,27.43,50626.0,389.0,27.424817
CMCSA,2025-11-10 09:51:00-05:00,27.435,27.48,27.41,27.475,68887.0,416.0,27.452382
CMCSA,2025-11-10 09:52:00-05:00,27.475,27.48,27.43,27.4467,93153.0,482.0,27.45651
CMCSA,2025-11-10 09:53:00-05:00,27.445,27.445,27.36,27.36,46061.0,354.0,27.398158
CMCSA,2025-11-10 09:54:00-05:00,27.36,27.405,27.36,27.4,30036.0,233.0,27.390088
CMCSA,2025-11-10 09:55:00-05:00,27.3933,27.445,27.3933,27.43,21024.0,201.0,27.43023
CMCSA,2025-11-10 09:56:00-05:00,27.435,27.445,27.42,27.445,34573.0,317.0,27.431285
CMCSA,2025-11-10 09:57:00-05:00,27.44,27.445,27.39,27.415,72497.0,403.0,27.416375
CMCSA,2025-11-10 09:58:00-05:00,27.41,27.44,27.41,27.425,55493.0,332.0,27.42492
CMCSA,2025-11-10 09:59:00-05:00,27.425,27.425,27.39,27.41,59928.0,326.0,27.4052
CMCSA,2025-11-10 10:00:00-05:00,27.41,27.43,27.395,27.405,89416.0,633.0,27.411545
CMCSA,2025-11-10 10:01:00-05:00,27.4,27.45,27.39,27.425,49866.0,491.0,27.420624
CMCSA,2025-11-10 10:02:00-05:00,27.42,27.42,27.3,27.305,97341.0,729.0,27.359792
CMCSA,2025-11-10 10:03:00-05:00,27.305,27.32,27.29,27.305,106364.0,583.0,27.304212
CMCSA,2025-11-10 10:04:00-05:00,27.3,27.315,27.235,27.255,78441.0,425.0,27.273957
CMCSA,2025-11-10 10:05:00-05:00,27.2501,27.28,27.235,27.2701,105419.0,456.0,27.254214
CMCSA,2025-11-10 10:06:00-05:00,27.275,27.275,27.24,27.255,44521.0,304.0,27.254401
CMCSA,2025-11-10 10:07:00-05:00,27.255,27.26,27.2235,27.23,36136.0,284.0,27.238342
CMCSA,2025-11-10 10:08:00-05:00,27.23,27.25,27.22,27.235,50220.0,264.0,27.231779
CMCSA,2025-11-10 10:09:00-05:00,27.235,27.2578,27.23,27.255,26290.0,180.0,27.235857
CMCSA,2025-11-10 10:10:00-05:00,27.25,27.265,27.2339,27.235,48095.0,255.0,27.253646
CMCSA,2025-11-10 10:11:00-05:00,27.235,27.305,27.23,27.305,99796.0,482.0,27.273803
CMCSA,2025-11-10 10:12:00-05:00,27.305,27.305,27.26,27.26,47342.0,366.0,27.288735
CMCSA,2025-11-10 10:13:00-05:00,27.26,27.27,27.25,27.258,20259.0,180.0,27.260039
CMCSA,2025-11-10 10:14:00-05:00,27.255,27.255,27.21,27.2174,24899.0,251.0,27.237255
CMCSA,2025-11-10 10:15:00-05:00,27.215,27.22,27.2,27.215,39397.0,283.0,27.210772
CMCSA,2025-11-10 10:16:00-05:00,27.2142,27.23,27.15,27.165,66177.0,431.0,27.194125
CMCSA,2025-11-10 10:17:00-05:00,27.165,27.185,27.15,27.185,29176.0,327.0,27.163075
CMCSA,2025-11-10 10:18:00-05:00,27.1861,27.1968,27.175,27.19,23823.0,240.0,27.184318
CMCSA,2025-11-10 10:19:00-05:00,27.18,27.18,27.135,27.145,48099.0,291.0,27.155682
CMCSA,2025-11-10 10:20:00-05:00,27.14,27.15,27.135,27.135,17162.0,156.0,27.141756
CMCSA,2025-11-10 10:21:00-05:00,27.14,27.155,27.14,27.15,55941.0,350.0,27.149227
CMCSA,2025-11-10 10:22:00-05:00,27.16,27.16,27.14,27.155,26896.0,210.0,27.155156
CMCSA,2025-11-10 10:23:00-05:00,27.155,27.175,27.155,27.165,53046.0,280.0,27.166431
CMCSA,2025-11-10 10:24:00-05:00,27.17,27.175,27.145,27.1565,23517.0,229.0,27.160978
CMCSA,2025-11-10 10:25:00-05:00,27.155,27.155,27.14,27.155,29021.0,197.0,27.150671
CMCSA,2025-11-10 10:26:00-05:00,27.155,27.18,27.1501,27.165,47000.0,328.0,27.1646
CMCSA,2025-11-10 10:27:00-05:00,27.16,27.165,27.105,27.105,45879.0,277.0,27.138885
CMCSA,2025-11-10 10:28:00-05:00,27.105,27.115,27.1,27.105,23332.0,225.0,27.108252
CMCSA,2025-11-10 10:29:00-05:00,27.1,27.11,27.05,27.06,80245.0,371.0,27.086579
CMCSA,2025-11-10 10:30:00-05:00,27.06,27.065,27.025,27.035,216054.0,416.0,27.044268
CMCSA,2025-11-10 10:31:00-05:00,27.035,27.045,27.015,27.03,128588.0,559.0,27.031081
CMCSA,2025-11-10 10:32:00-05:00,27.03,27.065,27.0,27.065,496258.0,576.0,27.016948
