symbol,timestamp,open,high,low,close,volume,trade_count,vwap
COST,2025-11-10 09:30:00-05:00,919.0,922.0,916.91,919.24,51780.0,3010.0,918.149876
COST,2025-11-10 09:31:00-05:00,919.5,921.76,919.24,920.29,3856.0,306.0,920.821587
COST,2025-11-10 09:32:00-05:00,921.0,921.01,918.97,919.525,4509.0,263.0,920.043876
COST,2025-11-10 09:33:00-05:00,919.525,920.0,917.48,917.75,7929.0,480.0,918.757247
COST,2025-11-10 09:34:00-05:00,917.28,919.005,917.28,917.86,5734.0,351.0,918.212949
COST,2025-11-10 09:35:00-05:00,917.86,918.8815,917.86,918.36,6485.0,466.0,918.389366
COST,2025-11-10 09:36:00-05:00,918.57,919.46,918.0,918.0,7607.0,359.0,918.741946
COST,2025-11-10 09:37:00-05:00,918.385,918.77,917.51,918.25,4283.0,332.0,918.113807
COST,2025-11-10 09:38:00-05:00,918.6,918.66,917.79,917.875,3010.0,307.0,918.218425
COST,2025-11-10 09:39:00-05:00,917.65,918.59,917.27,917.27,7573.0,402.0,917.894666
COST,2025-11-10 09:40:00-05:00,917.54,917.9035,917.2,917.5,5832.0,375.0,917.481891
COST,2025-11-10 09:41:00-05:00,917.35,917.35,916.41,916.54,14837.0,561.0,916.924663
COST,2025-11-10 09:42:00-05:00,916.54,916.7504,916.0,916.18,6832.0,464.0,916.322634
COST,2025-11-10 09:43:00-05:00,916.18,917.3,916.16,917.225,7080.0,444.0,916.665657
COST,2025-11-10 09:44:00-05:00,916.94,917.6199,914.97,915.1807,21060.0,1070.0,915.707239
COST,2025-11-10 09:45:00-05:00,915.51,915.95,915.0,915.69,17212.0,614.0,915.617234
COST,2025-11-10 09:46:00-05:00,915.74,915.76,912.0,913.41,81602.0,4160.0,913.271296
COST,2025-11-10 09:47:00-05:00,913.41,914.58,912.61,913.84,15173.0,1022.0,913.626337
COST,2025-11-10 09:48:00-05:00,913.9,915.58,913.6001,914.6125,7144.0,486.0,914.375097
COST,2025-11-10 09:49:00-05:00,914.0,915.125,913.88,914.3142,8482.0,415.0,914.300959
COST,2025-11-10 09:50:00-05:00,914.2,915.7309,914.0,915.7309,5335.0,367.0,914.933929
COST,2025-11-10 09:51:00-05:00,915.575,915.629,914.65,915.23,4545.0,314.0,915.087605
COST,2025-11-10 09:52:00-05:00,915.23,915.83,914.92,915.61,2887.0,282.0,915.495163
COST,2025-11-10 09:53:00-05:00,915.32,915.6086,914.84,915.11,3383.0,335.0,915.249279
COST,2025-11-10 09:54:00-05:00,915.125,915.7199,914.39,914.72,4498.0,278.0,914.927159
COST,2025-11-10 09:55:00-05:00,914.64,915.3847,914.5,915.36,3229.0,257.0,914.991947
COST,2025-11-10 09:56:00-05:00,915.0,915.52,914.77,915.1,2879.0,296.0,915.055321
COST,2025-11-10 09:57:00-05:00,915.5,915.99,915.4767,915.4899,2641.0,250.0,915.566631
COST,2025-11-10 09:58:00-05:00,915.48,916.0,914.67,914.67,3197.0,319.0,915.561329
COST,2025-11-10 09:59:00-05:00,914.67,915.2899,914.5,914.7482,4016.0,295.0,914.743386
COST,2025-11-10 10:00:00-05:00,914.635,914.9999,913.529,913.529,8919.0,547.0,914.277348
COST,2025-11-10 10:01:00-05:00,913.7944,914.25,913.56,913.905,2824.0,280.0,913.821732
COST,2025-11-10 10:02:00-05:00,913.65,914.545,913.51,914.1325,7639.0,549.0,914.068552
COST,2025-11-10 10:03:00-05:00,914.5899,914.5899,913.5,913.9305,3855.0,273.0,914.112532
COST,2025-11-10 10:04:00-05:00,913.86,913.86,913.21,913.69,6627.0,530.0,913.492509
COST,2025-11-10 10:05:00-05:00,913.68,913.979,913.38,913.72,5436.0,1573.0,913.724554
COST,2025-11-10 10:06:00-05:00,913.42,913.65,912.8,913.06,6975.0,513.0,913.0755
COST,2025-11-10 10:07:00-05:00,913.28,914.4,913.06,914.01,4160.0,343.0,913.586627
COST,2025-11-10 10:08:00-05:00,914.01,914.09,913.16,913.28,3803.0,328.0,913.666273
COST,2025-11-10 10:09:00-05:00,913.59,913.6,912.8,913.15,7676.0,466.0,913.235747
COST,2025-11-10 10:10:00-05:00,913.16,913.84,913.15,913.84,11376.0,416.0,913.365495
COST,2025-11-10 10:11:00-05:00,913.5201,914.09,913.4,913.845,4014.0,339.0,913.751741
COST,2025-11-10 10:12:00-05:00,913.845,914.645,913.845,914.25,6554.0,356.0,914.388568
COST,2025-11-10 10:13:00-05:00,914.06,914.85,914.06,914.5,3941.0,318.0,914.434125
COST,2025-11-10 10:14:00-05:00,914.09,914.15,913.39,914.15,4250.0,355.0,913.876127
COST,2025-11-10 10:15:00-05:00,914.2693,914.52,913.43,913.43,4036.0,338.0,914.135994
COST,2025-11-10 10:16:00-05:00,913.515,914.13,913.43,913.73,2745.0,284.0,913.77887
COST,2025-11-10 10:17:00-05:00,914.19,914.19,913.13,913.43,6034.0,447.0,913.335762
COST,2025-11-10 10:18:00-05:00,913.5,913.6,913.205,913.21,3287.0,345.0,913.390979
COST,2025-11-10 10:19:00-05:00,913.385,913.63,912.5,912.5,6864.0,634.0,913.082979
COST,2025-11-10 10:20:00-05:00,912.835,913.17,910.6,911.78,72036.0,2779.0,911.489241
COST,2025-11-10 10:21:00-05:00,911.93,911.93,911.0,911.24,4590.0,433.0,911.480146
COST,2025-11-10 10:22:00-05:00,911.02,911.93,911.0,911.35,14539.0,587.0,911.624175
COST,2025-11-10 10:23:00-05:00,911.01,911.74,910.5,911.5,9956.0,589.0,911.147163
COST,2025-11-10 10:24:00-05:00,911.25,911.8199,910.68,910.935,6240.0,498.0,911.101711
COST,2025-11-10 10:25:00-05:00,910.91,911.16,910.4001,910.9209,7493.0,474.0,910.831079
COST,2025-11-10 10:26:00-05:00,910.62,910.99,910.28,910.69,6265.0,498.0,910.599306
COST,2025-11-10 10:27:00-05:00,910.6,911.18,910.5,911.17,3888.0,341.0,910.763472
COST,2025-11-10 10:28:00-05:00,911.14,911.46,910.7,911.1035,8298.0,478.0,911.122479
COST,2025-11-10 10:29:00-05:00,911.18,911.57,910.7,910.985,6899.0,510.0,911.099356
COST,2025-11-10 10:30:00-05:00,910.985,911.06,910.57,910.7,5148.0,496.0,910.797073
COST,2025-11-10 10:31:00-05:00,910.6,910.685,910.0,910.595,25716.0,1722.0,910.099946
COST,2025-11-10 10:32:00-05:00,910.77,911.07,910.3,910.39,8502.0,478.0,910.646878
COST,2025-11-10 10:33:00-05:00,910.7,910.71,910.22,910.46,8438.0,500.0,910.474912
COST,2025-11-10 10:34:00-05:00,910.42,910.5,909.99,910.43,10790.0,639.0,910.154607
COST,2025-11-10 10:35:00-05:00,910.58,910.58,909.83,910.31,10488.0,538.0,909.951862
COST,2025-11-10 10:36:00-05:00,910.135,910.29,909.68,909.8,14617.0,609.0,910.085364
COST,2025-11-10 10:37:00-05:00,909.87,910.6556,909.7,910.44,7269.0,451.0,910.083227
COST,2025-11-10 10:38:00-05:00,910.64,910.64,910.0,910.11,4504.0,431.0,910.360701
COST,2025-11-10 10:39:00-05:00,910.02,910.19,909.89,910.19,5187.0,428.0,910.030987
COST,2025-11-10 10:40:00-05:00,910.24,910.71,909.95,910.5,3305.0,351.0,910.361224
COST,2025-11-10 10:41:00-05:00,910.26,911.45,910.26,911.45,6719.0,469.0,910.886035
COST,2025-11-10 10:42:00-05:00,911.46,911.73,911.3963,911.64,5977.0,441.0,911.559966
COST,2025-11-10 10:43:00-05:00,911.5,912.05,911.39,911.82,7846.0,391.0,911.744547
COST,2025-11-10 10:44:00-05:00,911.63,912.0,911.6,911.6,2808.0,258.0,911.781247
COST,2025-11-10 10:45:00-05:00,911.66,912.1,911.6521,911.975,5675.0,334.0,911.8119
COST,2025-11-10 10:46:00-05:00,911.895,912.88,911.895,912.515,4993.0,307.0,912.353372
COST,2025-11-10 10:47:00-05:00,912.66,913.19,912.4165,913.04,5670.0,348.0,912.960031
COST,2025-11-10 10:48:00-05:00,912.97,913.35,912.6,913.1,6605.0,328.0,912.965208
COST,2025-11-10 10:49:00-05:00,912.905,913.4299,912.725,912.87,6587.0,348.0,913.069538
COST,2025-11-10 10:50:00-05:00,912.925,912.93,912.45,912.85,2780.0,298.0,912.797594
COST,2025-11-10 10:51:00-05:00,912.75,913.5,912.5714,913.5,4531.0,335.0,913.16066
COST,2025-11-10 10:52:00-05:00,913.9,913.9,913.5,913.69,3513.0,265.0,913.735693
COST,2025-11-10 10:53:00-05:00,913.85,914.22,913.4772,914.22,8736.0,438.0,913.833436
COST,2025-11-10 10:54:00-05:00,914.19,914.72,914.19,914.39,8942.0,446.0,914.469375
COST,2025-11-10 10:55:00-05:00,914.31,914.4299,913.8,914.4299,2977.0,309.0,914.143359
COST,2025-11-10 10:56:00-05:00,914.0568,914.0568,913.43,913.5,4616.0,353.0,913.603109
COST,2025-11-10 10:57:00-05:00,913.03,913.3262,912.8602,913.1915,3326.0,311.0,913.112005
COST,2025-11-10 10:58:00-05:00,913.05,913.292,912.65,913.018,2666.0,247.0,912.985841
COST,2025-11-10 10:59:00-05:00,912.945,912.945,912.305,912.4,2378.0,294.0,912.492514
COST,2025-11-10 11:00:00-05:00,912.57,913.05,912.26,912.98,5059.0,306.0,912.742747
COST,2025-11-10 11:01:00-05:00,912.7601,913.2272,912.76,913.151,4174.0,276.0,912.947355
COST,2025-11-10 11:02:00-05:00,913.025,913.29,912.76,912.76,2181.0,172.0,912.931147
COST,2025-11-10 11:03:00-05:00,912.76,913.28,912.75,913.065,3150.0,247.0,912.963917
COST,2025-11-10 11:04:00-05:00,913.04,913.054,912.53,912.54,5193.0,336.0,912.837147
COST,2025-11-10 11:05:00-05:00,912.37,912.4036,912.0,912.18,4413.0,335.0,912.209523
COST,2025-11-10 11:06:00-05:00,912.19,912.19,911.68,912.0,5703.0,344.0,912.001953
COST,2025-11-10 11:07:00-05:00,911.9,912.74,911.9,912.01,3696.0,280.0,912.298593
COST,2025-11-10 11:08:00-05:00,912.44,912.44,911.25,911.8026,4639.0,356.0,911.895514
COST,2025-11-10 11:09:00-05:00,911.75,912.37,911.6471,912.34,3578.0,263.0,912.068883
COST,2025-11-10 11:10:00-05:00,912.14,913.226,912.1,912.855,3928.0,270.0,912.772018
COST,2025-11-10 11:11:00-05:00,913.02,913.45,913.02,913.385,2134.0,193.0,913.198331
COST,2025-11-10 11:12:00-05:00,913.41,913.48,912.76,913.075,2696.0,267.0,913.176039
COST,2025-11-10 11:13:00-05:00,912.69,912.94,912.61,912.835,3631.0,190.0,912.734967
COST,2025-11-10 11:14:00-05:00,912.66,912.66,912.27,912.52,3054.0,250.0,912.479133
COST,2025-11-10 11:15:00-05:00,912.4832,912.56,911.84,911.84,2880.0,330.0,912.150904
COST,2025-11-10 11:16:00-05:00,912.045,912.072,911.71,911.8,2863.0,246.0,911.97906
COST,2025-11-10 11:17:00-05:00,911.65,911.805,911.54,911.675,2480.0,334.0,911.71716
COST,2025-11-10 11:18:00-05:00,911.8,911.8,911.5405,911.6932,2039.0,223.0,911.64006
COST,2025-11-10 11:19:00-05:00,911.75,911.96,911.53,911.94,2512.0,196.0,911.791682
COST,2025-11-10 11:20:00-05:00,911.895,912.1299,911.38,911.42,2736.0,289.0,911.672957
COST,2025-11-10 11:21:00-05:00,911.36,911.435,911.17,911.33,2312.0,225.0,911.29279
COST,2025-11-10 11:22:00-05:00,911.435,911.98,911.31,911.72,7244.0,218.0,911.647482
COST,2025-11-10 11:23:00-05:00,911.59,911.97,911.392,911.685,1726.0,186.0,911.527678
COST,2025-11-10 11:24:00-05:00,911.46,911.46,910.76,910.85,7538.0,617.0,911.083562
COST,2025-11-10 11:25:00-05:00,910.7909,911.03,910.71,910.75,3963.0,413.0,910.926702
COST,2025-11-10 11:26:00-05:00,910.88,910.88,910.4001,910.69,3686.0,322.0,910.599336
COST,2025-11-10 11:27:00-05:00,910.73,910.87,910.6,910.8034,2374.0,249.0,910.731609
COST,2025-11-10 11:28:00-05:00,910.66,911.09,910.61,910.96,1833.0,215.0,910.883117
COST,2025-11-10 11:29:00-05:00,910.76,910.92,910.37,910.7296,3487.0,265.0,910.601811
COST,2025-11-10 11:30:00-05:00,910.87,911.18,910.08,910.08,4170.0,392.0,910.39692
COST,2025-11-10 11:31:00-05:00,910.3402,910.53,910.21,910.53,2212.0,253.0,910.382754
COST,2025-11-10 11:32:00-05:00,910.495,910.6299,910.25,910.5,2220.0,211.0,910.411872
COST,2025-11-10 11:33:00-05:00,910.4072,910.9,910.4,910.7299,3742.0,255.0,910.489247
COST,2025-11-10 11:34:00-05:00,910.72,910.72,910.2,910.365,3427.0,297.0,910.269202
COST,2025-11-10 11:35:00-05:00,910.365,910.56,910.04,910.04,6305.0,440.0,910.294507
COST,2025-11-10 11:36:00-05:00,910.15,910.3764,910.13,910.33,1269.0,197.0,910.261405
COST,2025-11-10 11:37:00-05:00,910.1,910.29,909.87,910.055,11778.0,1038.0,910.004033
COST,2025-11-10 11:38:00-05:00,910.0,910.44,909.81,910.4,3036.0,284.0,910.226257
COST,2025-11-10 11:39:00-05:00,910.46,910.61,910.3,910.48,2146.0,213.0,910.426557
COST,2025-11-10 11:40:00-05:00,910.505,910.83,910.48,910.69,2725.0,264.0,910.55549
COST,2025-11-10 11:41:00-05:00,910.58,910.58,910.0945,910.0945,3688.0,335.0,910.321186
COST,2025-11-10 11:42:00-05:00,910.0,910.33,909.88,910.2,7279.0,406.0,910.133188
COST,2025-11-10 11:43:00-05:00,910.19,910.54,910.0501,910.1836,5033.0,506.0,910.199217
COST,2025-11-10 11:44:00-05:00,910.1836,910.56,910.01,910.33,3156.0,229.0,910.194804
COST,2025-11-10 11:45:00-05:00,910.33,910.33,909.48,909.615,8064.0,716.0,909.780829
COST,2025-11-10 11:46:00-05:00,909.42,910.0,909.42,909.88,3687.0,342.0,909.711813
COST,2025-11-10 11:47:00-05:00,909.8266,910.27,909.8028,910.2,2268.0,209.0,910.103879
