symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CRM,2025-11-10 09:30:00-05:00,240.0,240.3,239.195,239.53,137612.0,1918.0,239.989231
CRM,2025-11-10 09:31:00-05:00,239.53,240.21,239.47,239.66,16900.0,430.0,239.804358
CRM,2025-11-10 09:32:00-05:00,239.59,239.59,238.59,239.345,41618.0,803.0,239.141236
CRM,2025-11-10 09:33:00-05:00,239.05,239.335,238.06,238.81,32492.0,554.0,238.8708
CRM,2025-11-10 09:34:00-05:00,238.81,239.32,238.81,239.07,14930.0,281.0,238.931996
CRM,2025-11-10 09:35:00-05:00,239.06,239.2,238.5,238.9,28479.0,579.0,238.757773
CRM,2025-11-10 09:36:00-05:00,239.1422,239.1422,238.51,238.6725,19594.0,497.0,238.801828
CRM,2025-11-10 09:37:00-05:00,238.645,238.966,238.51,238.845,12380.0,392.0,238.753535
CRM,2025-11-10 09:38:00-05:00,238.95,239.22,238.86,239.165,43828.0,533.0,239.085076
CRM,2025-11-10 09:39:00-05:00,239.3,239.47,239.16,239.29,34832.0,705.0,239.354978
CRM,2025-11-10 09:40:00-05:00,239.1797,239.39,238.88,239.235,9708.0,378.0,239.121983
CRM,2025-11-10 09:41:00-05:00,239.2546,239.64,239.02,239.26,22852.0,561.0,239.376124
CRM,2025-11-10 09:42:00-05:00,239.22,239.22,238.31,238.46,18121.0,571.0,238.73798
CRM,2025-11-10 09:43:00-05:00,238.67,238.71,238.2,238.7,19444.0,581.0,238.505609
CRM,2025-11-10 09:44:00-05:00,238.635,238.72,238.03,238.175,26082.0,609.0,238.291721
CRM,2025-11-10 09:45:00-05:00,238.19,238.4,237.961,238.4,38549.0,927.0,238.210307
CRM,2025-11-10 09:46:00-05:00,238.47,238.7,238.33,238.385,19261.0,520.0,238.515522
CRM,2025-11-10 09:47:00-05:00,238.32,238.53,237.6501,238.095,45822.0,984.0,238.019277
CRM,2025-11-10 09:48:00-05:00,238.085,238.34,238.08,238.11,25199.0,552.0,238.181596
CRM,2025-11-10 09:49:00-05:00,238.09,238.29,237.85,237.85,25670.0,579.0,238.138295
CRM,2025-11-10 09:50:00-05:00,237.955,238.12,237.89,238.0765,19863.0,379.0,238.036089
CRM,2025-11-10 09:51:00-05:00,238.085,238.19,237.91,237.965,29466.0,503.0,238.067194
CRM,2025-11-10 09:52:00-05:00,238.0,238.04,237.6886,237.7699,33001.0,659.0,237.880363
CRM,2025-11-10 09:53:00-05:00,237.79,237.8,237.5201,237.655,17191.0,470.0,237.693467
CRM,2025-11-10 09:54:00-05:00,237.79,237.865,237.49,237.49,12855.0,442.0,237.641509
CRM,2025-11-10 09:55:00-05:00,237.33,238.065,237.3,238.065,17906.0,485.0,237.59414
CRM,2025-11-10 09:56:00-05:00,237.99,238.16,237.81,238.06,19157.0,434.0,237.972353
CRM,2025-11-10 09:57:00-05:00,238.01,238.14,237.66,237.66,16445.0,396.0,237.825707
CRM,2025-11-10 09:58:00-05:00,237.73,237.76,237.4415,237.685,23456.0,550.0,237.582625
CRM,2025-11-10 09:59:00-05:00,237.68,238.0,237.63,237.66,11470.0,366.0,237.866307
CRM,2025-11-10 10:00:00-05:00,237.725,238.15,237.57,237.861,21592.0,567.0,237.82407
CRM,2025-11-10 10:01:00-05:00,237.845,238.11,237.71,238.0,16553.0,485.0,237.953804
CRM,2025-11-10 10:02:00-05:00,237.89,237.91,237.52,237.66,22676.0,489.0,237.625944
CRM,2025-11-10 10:03:00-05:00,237.655,237.84,237.5,237.61,24235.0,487.0,237.656006
