symbol,timestamp,open,high,low,close,volume,trade_count,vwap
C,2025-11-10 09:30:00-05:00,101.26,101.52,101.215,101.49,11556.0,279.0,101.404263
C,2025-11-10 09:31:00-05:00,101.49,101.5,101.48,101.49,2953.0,88.0,101.49
C,2025-11-10 09:32:00-05:00,101.55,101.55,101.42,101.45,5056.0,125.0,101.499121
C,2025-11-10 09:33:00-05:00,101.465,101.68,101.44,101.62,15017.0,215.0,101.571376
C,2025-11-10 09:34:00-05:00,101.64,101.825,101.64,101.79,7050.0,144.0,101.743024
C,2025-11-10 09:35:00-05:00,101.755,102.1,101.62,102.055,247808.0,2519.0,101.763659
C,2025-11-10 09:36:00-05:00,102.0491,102.46,102.02,102.44,100082.0,1141.0,102.226964
C,2025-11-10 09:37:00-05:00,102.4,102.6529,102.4,102.545,106112.0,1104.0,102.515514
C,2025-11-10 09:38:00-05:00,102.57,102.74,102.44,102.72,64624.0,708.0,102.594585
C,2025-11-10 09:39:00-05:00,102.75,102.8999,102.54,102.66,74159.0,890.0,102.802871
C,2025-11-10 09:40:00-05:00,102.68,102.86,102.56,102.745,51237.0,849.0,102.712648
C,2025-11-10 09:41:00-05:00,102.76,102.8899,102.715,102.76,65884.0,972.0,102.811562
C,2025-11-10 09:42:00-05:00,102.77,102.79,102.633,102.7001,36933.0,704.0,102.721115
C,2025-11-10 09:43:00-05:00,102.7,102.72,102.31,102.455,49389.0,721.0,102.502547
C,2025-11-10 09:44:00-05:00,102.43,102.49,102.39,102.48,57181.0,770.0,102.442591
C,2025-11-10 09:45:00-05:00,102.485,102.52,102.34,102.34,57877.0,689.0,102.431052
C,2025-11-10 09:46:00-05:00,102.34,102.41,102.3,102.41,34856.0,518.0,102.337225
C,2025-11-10 09:47:00-05:00,102.4,102.45,102.19,102.4174,52808.0,820.0,102.346761
C,2025-11-10 09:48:00-05:00,102.41,102.628,102.41,102.62,84230.0,1129.0,102.477174
C,2025-11-10 09:49:00-05:00,102.63,102.64,102.47,102.54,28405.0,388.0,102.562551
C,2025-11-10 09:50:00-05:00,102.55,102.6,102.47,102.51,47801.0,659.0,102.54448
C,2025-11-10 09:51:00-05:00,102.495,102.66,102.49,102.58,25966.0,393.0,102.590399
C,2025-11-10 09:52:00-05:00,102.56,102.56,102.27,102.32,56782.0,822.0,102.366604
C,2025-11-10 09:53:00-05:00,102.315,102.35,101.845,101.845,71461.0,819.0,101.997598
C,2025-11-10 09:54:00-05:00,101.83,101.92,101.8,101.86,73452.0,605.0,101.859274
C,2025-11-10 09:55:00-05:00,101.875,101.94,101.77,101.88,32188.0,450.0,101.825681
C,2025-11-10 09:56:00-05:00,101.865,101.865,101.63,101.637,54173.0,493.0,101.701067
C,2025-11-10 09:57:00-05:00,101.67,101.8,101.66,101.66,41804.0,412.0,101.735937
C,2025-11-10 09:58:00-05:00,101.665,101.67,101.545,101.58,99068.0,817.0,101.583561
C,2025-11-10 09:59:00-05:00,101.59,101.59,101.3,101.32,66715.0,796.0,101.499255
C,2025-11-10 10:00:00-05:00,101.325,101.38,101.125,101.2,127333.0,1147.0,101.239362
C,2025-11-10 10:01:00-05:00,101.205,101.32,101.08,101.15,85270.0,1202.0,101.183371
C,2025-11-10 10:02:00-05:00,101.15,101.16,101.045,101.095,64191.0,885.0,101.100893
C,2025-11-10 10:03:00-05:00,101.095,101.115,101.02,101.05,31420.0,401.0,101.068538
C,2025-11-10 10:04:00-05:00,101.04,101.2,101.04,101.175,39016.0,589.0,101.105241
C,2025-11-10 10:05:00-05:00,101.17,101.22,101.06,101.205,20417.0,374.0,101.163832
C,2025-11-10 10:06:00-05:00,101.23,101.31,101.135,101.16,27851.0,424.0,101.220764
C,2025-11-10 10:07:00-05:00,101.16,101.225,101.11,101.16,16473.0,243.0,101.164187
C,2025-11-10 10:08:00-05:00,101.16,101.19,101.1,101.17,22778.0,282.0,101.149572
C,2025-11-10 10:09:00-05:00,101.17,101.2,101.085,101.195,29543.0,390.0,101.140106
C,2025-11-10 10:10:00-05:00,101.21,101.25,101.1,101.18,18871.0,338.0,101.169143
C,2025-11-10 10:11:00-05:00,101.19,101.1928,101.09,101.1304,21914.0,291.0,101.150634
C,2025-11-10 10:12:00-05:00,101.14,101.175,101.1,101.14,12653.0,201.0,101.144239
C,2025-11-10 10:13:00-05:00,101.14,101.22,101.12,101.21,23795.0,283.0,101.167684
C,2025-11-10 10:14:00-05:00,101.23,101.24,101.15,101.2,14397.0,227.0,101.217092
C,2025-11-10 10:15:00-05:00,101.22,101.23,101.04,101.09,30825.0,564.0,101.1311
C,2025-11-10 10:16:00-05:00,101.08,101.1462,101.07,101.12,14622.0,264.0,101.113441
C,2025-11-10 10:17:00-05:00,101.12,101.135,101.045,101.12,27064.0,364.0,101.081662
C,2025-11-10 10:18:00-05:00,101.13,101.13,101.03,101.04,18813.0,312.0,101.06398
C,2025-11-10 10:19:00-05:00,101.04,101.04,100.9,100.915,34099.0,470.0,100.971505
C,2025-11-10 10:20:00-05:00,100.9,100.91,100.78,100.87,56997.0,881.0,100.819822
C,2025-11-10 10:21:00-05:00,100.87,100.91,100.82,100.89,12586.0,226.0,100.867301
C,2025-11-10 10:22:00-05:00,100.87,100.89,100.82,100.84,16510.0,210.0,100.860922
C,2025-11-10 10:23:00-05:00,100.83,100.91,100.77,100.91,31533.0,411.0,100.846044
C,2025-11-10 10:24:00-05:00,100.9,100.98,100.9,100.98,13255.0,197.0,100.946036
C,2025-11-10 10:25:00-05:00,100.9828,101.14,100.9828,101.14,22021.0,427.0,101.082538
C,2025-11-10 10:26:00-05:00,101.165,101.25,101.15,101.22,35249.0,471.0,101.191744
C,2025-11-10 10:27:00-05:00,101.21,101.26,101.19,101.25,24465.0,354.0,101.212729
C,2025-11-10 10:28:00-05:00,101.25,101.32,101.235,101.32,19356.0,279.0,101.271927
C,2025-11-10 10:29:00-05:00,101.325,101.44,101.325,101.42,35830.0,325.0,101.391887
C,2025-11-10 10:30:00-05:00,101.45,101.48,101.365,101.46,28825.0,427.0,101.437745
C,2025-11-10 10:31:00-05:00,101.49,101.51,101.38,101.39,26495.0,382.0,101.463324
C,2025-11-10 10:32:00-05:00,101.39,101.39,101.315,101.365,21420.0,376.0,101.352541
C,2025-11-10 10:33:00-05:00,101.37,101.425,101.23,101.24,31349.0,496.0,101.322848
C,2025-11-10 10:34:00-05:00,101.265,101.29,101.25,101.26,15491.0,316.0,101.27226
C,2025-11-10 10:35:00-05:00,101.25,101.3499,101.23,101.3,15385.0,243.0,101.288727
C,2025-11-10 10:36:00-05:00,101.31,101.375,101.31,101.36,14784.0,237.0,101.352457
C,2025-11-10 10:37:00-05:00,101.355,101.355,101.23,101.25,14292.0,267.0,101.278906
C,2025-11-10 10:38:00-05:00,101.24,101.24,101.09,101.09,18669.0,312.0,101.165764
C,2025-11-10 10:39:00-05:00,101.085,101.11,101.0301,101.05,18670.0,294.0,101.083921
C,2025-11-10 10:40:00-05:00,101.05,101.05,100.78,100.84,25401.0,403.0,100.91488
C,2025-11-10 10:41:00-05:00,100.854,100.945,100.83,100.92,12297.0,213.0,100.886682
C,2025-11-10 10:42:00-05:00,100.925,100.925,100.75,100.8,17174.0,282.0,100.868715
C,2025-11-10 10:43:00-05:00,100.81,100.83,100.67,100.715,37112.0,533.0,100.741701
C,2025-11-10 10:44:00-05:00,100.715,100.745,100.6,100.6,24624.0,386.0,100.678963
C,2025-11-10 10:45:00-05:00,100.58,100.745,100.54,100.7378,37441.0,610.0,100.623075
C,2025-11-10 10:46:00-05:00,100.73,100.77,100.69,100.705,15789.0,289.0,100.723401
C,2025-11-10 10:47:00-05:00,100.71,100.72,100.46,100.465,27485.0,411.0,100.582724
C,2025-11-10 10:48:00-05:00,100.48,100.54,100.44,100.53,42030.0,553.0,100.484038
C,2025-11-10 10:49:00-05:00,100.52,100.705,100.515,100.68,34353.0,440.0,100.585446
C,2025-11-10 10:50:00-05:00,100.73,100.78,100.725,100.76,15156.0,250.0,100.747857
C,2025-11-10 10:51:00-05:00,100.78,100.78,100.635,100.645,12917.0,233.0,100.720989
C,2025-11-10 10:52:00-05:00,100.64,100.66,100.58,100.61,13391.0,183.0,100.616458
C,2025-11-10 10:53:00-05:00,100.62,100.7,100.62,100.69,12938.0,195.0,100.667504
C,2025-11-10 10:54:00-05:00,100.66,100.72,100.66,100.72,8840.0,156.0,100.691101
C,2025-11-10 10:55:00-05:00,100.69,100.705,100.58,100.62,14076.0,242.0,100.65105
