symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOT/USD,2025-11-09 02:41:00-05:00,3.1537,3.15695,3.1537,3.15695,0.0,0.0,3.155325
DOT/USD,2025-11-09 02:42:00-05:00,3.155645,3.1574,3.155645,3.155645,0.0,0.0,3.1565225
DOT/USD,2025-11-09 02:43:00-05:00,3.157,3.157,3.15321,3.15321,0.0,0.0,3.155105
DOT/USD,2025-11-09 02:44:00-05:00,3.151705,3.151705,3.151705,3.151705,0.0,0.0,3.151705
DOT/USD,2025-11-09 02:45:00-05:00,3.153,3.1546,3.152045,3.152045,0.0,0.0,3.1533225
DOT/USD,2025-11-09 02:46:00-05:00,3.15315,3.153215,3.15163,3.153215,0.0,0.0,3.1524225
DOT/USD,2025-11-09 02:47:00-05:00,3.151825,3.151825,3.146545,3.146545,0.0,0.0,3.149185
DOT/USD,2025-11-09 02:48:00-05:00,3.14885,3.14985,3.14885,3.14985,0.0,0.0,3.14935
DOT/USD,2025-11-09 02:49:00-05:00,3.14811,3.14811,3.1443,3.146545,0.0,0.0,3.146205
DOT/USD,2025-11-09 02:50:00-05:00,3.1453,3.14703,3.1428,3.14703,0.0,0.0,3.144915
DOT/USD,2025-11-09 02:52:00-05:00,3.14425,3.14635,3.14425,3.14451,0.0,0.0,3.1453
DOT/USD,2025-11-09 02:53:00-05:00,3.14203,3.144875,3.14203,3.143,0.0,0.0,3.1434525
DOT/USD,2025-11-09 02:54:00-05:00,3.1445,3.1445,3.14265,3.14449,0.0,0.0,3.143575
DOT/USD,2025-11-09 02:55:00-05:00,3.143155,3.145505,3.1416,3.145505,0.0,0.0,3.1435525
DOT/USD,2025-11-09 02:56:00-05:00,3.142865,3.142865,3.142865,3.142865,0.0,0.0,3.142865
DOT/USD,2025-11-09 02:58:00-05:00,3.14465,3.146275,3.142995,3.14453,0.0,0.0,3.144635
DOT/USD,2025-11-09 03:00:00-05:00,3.143295,3.143295,3.143295,3.143295,0.0,0.0,3.143295
DOT/USD,2025-11-09 03:01:00-05:00,3.1416,3.1416,3.13985,3.13985,0.0,0.0,3.140725
DOT/USD,2025-11-09 03:02:00-05:00,3.1415,3.1415,3.13713,3.13713,0.0,0.0,3.139315
DOT/USD,2025-11-09 03:03:00-05:00,3.1345,3.136675,3.1345,3.1366,0.0,0.0,3.1355875
DOT/USD,2025-11-09 03:04:00-05:00,3.135,3.13628,3.13069,3.13628,0.0,0.0,3.133485
DOT/USD,2025-11-09 03:05:00-05:00,3.1345,3.1345,3.1345,3.1345,0.0,0.0,3.1345
DOT/USD,2025-11-09 03:06:00-05:00,3.132955,3.132955,3.132955,3.132955,0.0,0.0,3.132955
DOT/USD,2025-11-09 03:07:00-05:00,3.131,3.131,3.12735,3.12995,0.0,0.0,3.129175
DOT/USD,2025-11-09 03:08:00-05:00,3.13143,3.13275,3.13143,3.13275,0.0,0.0,3.13209
DOT/USD,2025-11-09 03:09:00-05:00,3.13495,3.13495,3.13295,3.134505,0.0,0.0,3.13395
DOT/USD,2025-11-09 03:10:00-05:00,3.133,3.135565,3.133,3.13345,0.0,0.0,3.1342825
DOT/USD,2025-11-09 03:11:00-05:00,3.131395,3.131395,3.131395,3.131395,0.0,0.0,3.131395
DOT/USD,2025-11-09 03:12:00-05:00,3.13305,3.1366,3.13305,3.1366,0.0,0.0,3.134825
DOT/USD,2025-11-09 03:13:00-05:00,3.137655,3.137655,3.137655,3.137655,0.0,0.0,3.137655
DOT/USD,2025-11-09 03:14:00-05:00,3.13964,3.14366,3.13964,3.14129,33.091813925,1.0,3.14366
DOT/USD,2025-11-09 03:15:00-05:00,3.139,3.139,3.134845,3.134845,0.0,0.0,3.1369225
DOT/USD,2025-11-09 03:17:00-05:00,3.13285,3.1367,3.13205,3.1327,2.0,1.0,3.1367
DOT/USD,2025-11-09 03:18:00-05:00,3.131205,3.13285,3.131205,3.13285,0.0,0.0,3.1320275
DOT/USD,2025-11-09 03:20:00-05:00,3.1309,3.1309,3.1206,3.1206,0.0,0.0,3.12575
DOT/USD,2025-11-09 03:21:00-05:00,3.118735,3.1205,3.118735,3.1205,0.0,0.0,3.1196175
DOT/USD,2025-11-09 03:22:00-05:00,3.11874,3.1205,3.118135,3.119,0.0,0.0,3.1193175
DOT/USD,2025-11-09 03:23:00-05:00,3.11741,3.1191,3.1155,3.1191,0.0,0.0,3.1173
DOT/USD,2025-11-09 03:24:00-05:00,3.120765,3.12268,3.120765,3.12268,0.0,0.0,3.1217225
DOT/USD,2025-11-09 03:25:00-05:00,3.120875,3.120875,3.117865,3.117865,0.0,0.0,3.11937
DOT/USD,2025-11-09 03:26:00-05:00,3.120115,3.120115,3.1162,3.1162,0.0,0.0,3.1181575
DOT/USD,2025-11-09 03:27:00-05:00,3.1173,3.120575,3.1173,3.120575,0.0,0.0,3.1189375
DOT/USD,2025-11-09 03:28:00-05:00,3.11935,3.11935,3.11573,3.11573,0.0,0.0,3.11754
DOT/USD,2025-11-09 03:29:00-05:00,3.117565,3.117565,3.117565,3.117565,0.0,0.0,3.117565
DOT/USD,2025-11-09 03:30:00-05:00,3.11995,3.12075,3.11995,3.12075,0.0,0.0,3.12035
DOT/USD,2025-11-09 03:31:00-05:00,3.123,3.123,3.119635,3.119635,0.0,0.0,3.1213175
DOT/USD,2025-11-09 03:32:00-05:00,3.12,3.1249,3.12,3.121,0.0,0.0,3.12245
DOT/USD,2025-11-09 03:33:00-05:00,3.12315,3.126455,3.12315,3.126455,0.0,0.0,3.1248025
DOT/USD,2025-11-09 03:34:00-05:00,3.124745,3.124745,3.12075,3.12075,0.0,0.0,3.1227475
DOT/USD,2025-11-09 03:35:00-05:00,3.119645,3.119645,3.11575,3.11575,0.0,0.0,3.1176975
DOT/USD,2025-11-09 03:36:00-05:00,3.114,3.118055,3.114,3.118055,0.0,0.0,3.1160275
DOT/USD,2025-11-09 03:37:00-05:00,3.116385,3.116385,3.11057,3.11057,0.0,0.0,3.1134775
DOT/USD,2025-11-09 03:38:00-05:00,3.112035,3.112035,3.11065,3.11065,0.0,0.0,3.1113425
DOT/USD,2025-11-09 03:39:00-05:00,3.107865,3.107865,3.107865,3.107865,0.0,0.0,3.107865
DOT/USD,2025-11-09 03:40:00-05:00,3.111055,3.11485,3.111055,3.11485,0.0,0.0,3.1129525
