symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EQIX,2025-11-10 09:30:00-05:00,824.0,824.085,820.375,820.375,6048.0,256.0,823.903865
EQIX,2025-11-10 09:31:00-05:00,823.11,823.11,823.11,823.11,170.0,43.0,823.11
EQIX,2025-11-10 09:32:00-05:00,819.91,819.91,819.91,819.91,335.0,48.0,819.91
EQIX,2025-11-10 09:33:00-05:00,820.0,820.0,820.0,820.0,341.0,58.0,820.0
EQIX,2025-11-10 09:34:00-05:00,821.01,821.01,821.01,821.01,162.0,39.0,821.01
EQIX,2025-11-10 09:35:00-05:00,821.01,821.24,821.01,821.24,533.0,56.0,821.086667
EQIX,2025-11-10 09:37:00-05:00,822.01,822.01,821.395,821.395,546.0,42.0,821.897491
EQIX,2025-11-10 09:38:00-05:00,821.03,821.03,821.03,821.03,337.0,32.0,821.03
EQIX,2025-11-10 09:40:00-05:00,821.9748,821.9748,821.9748,821.9748,628.0,67.0,821.9748
EQIX,2025-11-10 09:41:00-05:00,823.29,823.41,823.29,823.41,331.0,25.0,823.354
EQIX,2025-11-10 09:42:00-05:00,823.41,823.41,823.41,823.41,130.0,18.0,823.41
EQIX,2025-11-10 09:43:00-05:00,823.47,824.285,823.41,824.285,1059.0,91.0,823.643793
EQIX,2025-11-10 09:44:00-05:00,824.74,824.74,823.68,823.91,1270.0,118.0,824.064286
EQIX,2025-11-10 09:45:00-05:00,823.87,824.7,823.0401,823.0401,589.0,49.0,823.988603
EQIX,2025-11-10 09:46:00-05:00,824.69,824.74,824.69,824.74,477.0,44.0,824.71337
EQIX,2025-11-10 09:47:00-05:00,824.725,825.9433,824.18,824.18,473.0,53.0,824.975495
EQIX,2025-11-10 09:48:00-05:00,824.68,825.075,823.1174,824.78,1187.0,87.0,824.528119
EQIX,2025-11-10 09:49:00-05:00,824.81,824.81,824.34,824.78,637.0,63.0,824.730506
EQIX,2025-11-10 09:50:00-05:00,824.78,825.17,824.12,825.17,926.0,62.0,824.706786
EQIX,2025-11-10 09:51:00-05:00,824.645,825.07,824.645,825.07,692.0,69.0,824.751329
EQIX,2025-11-10 09:52:00-05:00,824.4825,824.485,824.195,824.195,675.0,60.0,824.31875
EQIX,2025-11-10 09:53:00-05:00,824.105,824.105,823.47,824.0,1275.0,105.0,823.981215
EQIX,2025-11-10 09:54:00-05:00,824.885,825.35,824.885,825.35,446.0,85.0,825.083425
EQIX,2025-11-10 09:55:00-05:00,825.35,825.46,824.83,825.46,660.0,88.0,825.21
EQIX,2025-11-10 09:57:00-05:00,826.04,826.04,826.04,826.04,334.0,55.0,826.04
EQIX,2025-11-10 09:58:00-05:00,826.9,826.94,826.3005,826.3005,382.0,60.0,826.700176
EQIX,2025-11-10 09:59:00-05:00,825.675,825.675,824.01,824.01,564.0,65.0,825.205986
EQIX,2025-11-10 10:00:00-05:00,825.47,825.5,824.63,825.46,945.0,97.0,825.36859
EQIX,2025-11-10 10:01:00-05:00,825.46,825.77,825.46,825.77,578.0,80.0,825.564918
EQIX,2025-11-10 10:02:00-05:00,825.97,827.67,825.97,827.67,377.0,45.0,826.717253
EQIX,2025-11-10 10:04:00-05:00,827.03,827.4425,826.64,827.4425,710.0,83.0,827.032571
EQIX,2025-11-10 10:05:00-05:00,826.24,826.24,825.55,825.55,693.0,69.0,825.787768
EQIX,2025-11-10 10:06:00-05:00,826.705,826.78,826.705,826.78,506.0,42.0,826.735
EQIX,2025-11-10 10:07:00-05:00,827.005,827.01,827.005,827.01,977.0,38.0,827.00975
EQIX,2025-11-10 10:09:00-05:00,827.6924,828.2,825.56,828.08,1626.0,88.0,827.696063
EQIX,2025-11-10 10:10:00-05:00,829.22,829.22,828.41,828.43,623.0,53.0,828.866006
EQIX,2025-11-10 10:11:00-05:00,828.115,828.49,828.115,828.47,341.0,45.0,828.320085
EQIX,2025-11-10 10:13:00-05:00,828.33,829.9999,828.33,829.9999,620.0,62.0,828.943265
EQIX,2025-11-10 10:14:00-05:00,829.205,829.205,827.665,827.665,1605.0,138.0,828.377292
EQIX,2025-11-10 10:15:00-05:00,827.08,827.08,827.08,827.08,475.0,61.0,827.08
EQIX,2025-11-10 10:16:00-05:00,827.08,827.08,827.08,827.08,365.0,42.0,827.08
EQIX,2025-11-10 10:17:00-05:00,826.09,826.44,826.09,826.44,301.0,42.0,826.265
EQIX,2025-11-10 10:18:00-05:00,826.09,826.685,825.77,825.82,809.0,68.0,826.273769
EQIX,2025-11-10 10:19:00-05:00,826.43,826.43,825.37,825.37,672.0,56.0,825.515333
EQIX,2025-11-10 10:20:00-05:00,824.96,825.25,824.96,825.25,255.0,31.0,825.088889
EQIX,2025-11-10 10:21:00-05:00,825.88,825.88,825.88,825.88,165.0,25.0,825.88
EQIX,2025-11-10 10:22:00-05:00,825.3,825.87,825.159,825.87,580.0,103.0,825.39779
EQIX,2025-11-10 10:23:00-05:00,825.87,825.87,825.87,825.87,255.0,22.0,825.87
EQIX,2025-11-10 10:24:00-05:00,825.875,825.875,825.875,825.875,447.0,39.0,825.875
EQIX,2025-11-10 10:26:00-05:00,825.875,825.875,825.09,825.09,669.0,46.0,825.295902
EQIX,2025-11-10 10:27:00-05:00,825.09,825.57,824.99,824.99,549.0,59.0,825.205294
EQIX,2025-11-10 10:28:00-05:00,824.98,825.77,824.98,825.725,311.0,30.0,825.491667
EQIX,2025-11-10 10:30:00-05:00,825.77,826.06,825.77,826.06,234.0,19.0,825.891884
EQIX,2025-11-10 10:31:00-05:00,824.88,824.88,824.88,824.88,323.0,41.0,824.88
EQIX,2025-11-10 10:32:00-05:00,824.38,824.38,824.27,824.27,152.0,26.0,824.325
EQIX,2025-11-10 10:33:00-05:00,824.14,826.7,824.14,826.7,2290.0,134.0,825.501095
EQIX,2025-11-10 10:34:00-05:00,827.57,827.57,827.08,827.08,883.0,74.0,827.236667
EQIX,2025-11-10 10:35:00-05:00,827.07,827.07,827.07,827.07,259.0,28.0,827.07
EQIX,2025-11-10 10:36:00-05:00,827.3569,827.9999,827.3569,827.9999,181.0,12.0,827.705192
EQIX,2025-11-10 10:37:00-05:00,826.75,826.75,826.14,826.14,336.0,31.0,826.423759
EQIX,2025-11-10 10:39:00-05:00,826.05,826.05,825.25,825.93,453.0,33.0,825.778571
EQIX,2025-11-10 10:40:00-05:00,826.02,826.02,824.94,824.94,226.0,25.0,825.66
EQIX,2025-11-10 10:41:00-05:00,825.02,825.02,824.14,824.14,459.0,44.0,824.628511
EQIX,2025-11-10 10:42:00-05:00,825.185,825.185,825.185,825.185,251.0,31.0,825.185
