symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FCX,2025-11-10 09:30:00-05:00,40.79,40.79,40.705,40.72,7618.0,103.0,40.737011
FCX,2025-11-10 09:31:00-05:00,40.7886,40.7886,40.675,40.7,6455.0,115.0,40.723563
FCX,2025-11-10 09:32:00-05:00,40.74,40.74,40.55,40.59,263992.0,1283.0,40.663596
FCX,2025-11-10 09:33:00-05:00,40.55,40.66,40.495,40.58,58783.0,600.0,40.561994
FCX,2025-11-10 09:34:00-05:00,40.5801,40.84,40.5801,40.83,35966.0,349.0,40.750212
FCX,2025-11-10 09:35:00-05:00,40.815,40.83,40.59,40.67,41080.0,471.0,40.708967
FCX,2025-11-10 09:36:00-05:00,40.68,40.79,40.68,40.75,29051.0,294.0,40.740421
FCX,2025-11-10 09:37:00-05:00,40.78,40.867,40.75,40.825,25604.0,280.0,40.802192
FCX,2025-11-10 09:38:00-05:00,40.85,40.91,40.83,40.86,43514.0,555.0,40.861217
FCX,2025-11-10 09:39:00-05:00,40.855,40.884,40.69,40.71,60813.0,789.0,40.794094
FCX,2025-11-10 09:40:00-05:00,40.715,40.75,40.6203,40.67,26464.0,289.0,40.711126
FCX,2025-11-10 09:41:00-05:00,40.67,40.68,40.617,40.65,27324.0,421.0,40.645275
FCX,2025-11-10 09:42:00-05:00,40.66,40.68,40.55,40.61,21157.0,321.0,40.608358
FCX,2025-11-10 09:43:00-05:00,40.613,40.613,40.5,40.51,18135.0,251.0,40.55175
FCX,2025-11-10 09:44:00-05:00,40.5,40.575,40.48,40.57,27684.0,278.0,40.52202
FCX,2025-11-10 09:45:00-05:00,40.57,40.64,40.56,40.64,33812.0,436.0,40.59193
FCX,2025-11-10 09:46:00-05:00,40.66,40.77,40.66,40.76,26831.0,378.0,40.702258
FCX,2025-11-10 09:47:00-05:00,40.76,40.7698,40.67,40.71,32221.0,464.0,40.723115
FCX,2025-11-10 09:48:00-05:00,40.7,40.78,40.685,40.78,53401.0,804.0,40.712529
FCX,2025-11-10 09:49:00-05:00,40.775,40.79,40.62,40.62,35095.0,552.0,40.721207
FCX,2025-11-10 09:50:00-05:00,40.63,40.64,40.5002,40.54,22187.0,302.0,40.590051
FCX,2025-11-10 09:51:00-05:00,40.54,40.6,40.48,40.56,14339.0,229.0,40.542851
FCX,2025-11-10 09:52:00-05:00,40.57,40.58,40.48,40.51,63100.0,409.0,40.512715
FCX,2025-11-10 09:53:00-05:00,40.5,40.52,40.435,40.47,51951.0,737.0,40.468231
FCX,2025-11-10 09:54:00-05:00,40.47,40.57,40.47,40.56,19327.0,214.0,40.526897
FCX,2025-11-10 09:55:00-05:00,40.5699,40.589,40.525,40.53,21211.0,195.0,40.557249
FCX,2025-11-10 09:56:00-05:00,40.53,40.58,40.51,40.547,14787.0,190.0,40.537313
FCX,2025-11-10 09:57:00-05:00,40.56,40.62,40.56,40.62,13518.0,179.0,40.582282
FCX,2025-11-10 09:58:00-05:00,40.63,40.63,40.585,40.605,14775.0,219.0,40.606004
FCX,2025-11-10 09:59:00-05:00,40.605,40.625,40.56,40.56,19520.0,302.0,40.60156
FCX,2025-11-10 10:00:00-05:00,40.55,40.58,40.51,40.53,34135.0,550.0,40.541355
FCX,2025-11-10 10:01:00-05:00,40.53,40.53,40.435,40.455,30005.0,315.0,40.4975
FCX,2025-11-10 10:02:00-05:00,40.46,40.47,40.39,40.42,45732.0,446.0,40.430139
FCX,2025-11-10 10:03:00-05:00,40.43,40.44,40.39,40.39,41416.0,353.0,40.419107
FCX,2025-11-10 10:04:00-05:00,40.39,40.47,40.39,40.465,19876.0,212.0,40.434057
FCX,2025-11-10 10:05:00-05:00,40.465,40.56,40.46,40.5401,32285.0,378.0,40.523215
FCX,2025-11-10 10:06:00-05:00,40.545,40.58,40.54,40.58,15274.0,244.0,40.554052
FCX,2025-11-10 10:07:00-05:00,40.58,40.64,40.58,40.615,24966.0,253.0,40.602239
FCX,2025-11-10 10:08:00-05:00,40.62,40.64,40.57,40.57,15164.0,185.0,40.601745
FCX,2025-11-10 10:09:00-05:00,40.57,40.5918,40.56,40.585,11059.0,176.0,40.577549
FCX,2025-11-10 10:10:00-05:00,40.59,40.615,40.585,40.61,12183.0,184.0,40.59959
FCX,2025-11-10 10:11:00-05:00,40.605,40.635,40.57,40.605,47222.0,512.0,40.598906
FCX,2025-11-10 10:12:00-05:00,40.6,40.66,40.6,40.62,25062.0,316.0,40.638943
FCX,2025-11-10 10:13:00-05:00,40.62,40.62,40.57,40.6035,29030.0,420.0,40.604461
FCX,2025-11-10 10:14:00-05:00,40.6,40.605,40.565,40.59,64794.0,785.0,40.584376
FCX,2025-11-10 10:15:00-05:00,40.59,40.675,40.58,40.675,24490.0,335.0,40.626577
FCX,2025-11-10 10:16:00-05:00,40.66,40.66,40.62,40.63,20526.0,296.0,40.642871
FCX,2025-11-10 10:17:00-05:00,40.6304,40.66,40.62,40.66,18055.0,243.0,40.643515
FCX,2025-11-10 10:18:00-05:00,40.665,40.72,40.64,40.705,28080.0,286.0,40.680771
FCX,2025-11-10 10:19:00-05:00,40.7,40.7,40.665,40.68,21825.0,324.0,40.681614
FCX,2025-11-10 10:20:00-05:00,40.68,40.77,40.665,40.7601,45647.0,520.0,40.732312
FCX,2025-11-10 10:21:00-05:00,40.77,40.78,40.735,40.7754,15193.0,216.0,40.757941
FCX,2025-11-10 10:22:00-05:00,40.77,40.81,40.765,40.81,39678.0,514.0,40.791372
FCX,2025-11-10 10:23:00-05:00,40.81,40.8398,40.81,40.83,23707.0,193.0,40.826049
FCX,2025-11-10 10:24:00-05:00,40.8235,40.86,40.815,40.82,56159.0,457.0,40.844129
FCX,2025-11-10 10:25:00-05:00,40.82,40.82,40.75,40.795,18520.0,347.0,40.789608
FCX,2025-11-10 10:26:00-05:00,40.8,40.815,40.755,40.7603,33397.0,433.0,40.792343
FCX,2025-11-10 10:27:00-05:00,40.765,40.775,40.72,40.735,31990.0,241.0,40.744745
FCX,2025-11-10 10:28:00-05:00,40.72,40.755,40.69,40.755,18038.0,270.0,40.719058
FCX,2025-11-10 10:29:00-05:00,40.76,40.77,40.72,40.73,13545.0,193.0,40.750972
FCX,2025-11-10 10:30:00-05:00,40.7341,40.735,40.61,40.645,20623.0,377.0,40.667607
FCX,2025-11-10 10:31:00-05:00,40.64,40.705,40.635,40.69,18633.0,311.0,40.678293
FCX,2025-11-10 10:32:00-05:00,40.7,40.705,40.67,40.69,19590.0,272.0,40.686456
FCX,2025-11-10 10:33:00-05:00,40.68,40.68,40.65,40.655,15366.0,217.0,40.65787
FCX,2025-11-10 10:34:00-05:00,40.655,40.675,40.645,40.65,35530.0,322.0,40.659636
FCX,2025-11-10 10:35:00-05:00,40.66,40.72,40.66,40.705,15859.0,246.0,40.699746
FCX,2025-11-10 10:36:00-05:00,40.705,40.71,40.68,40.685,23056.0,319.0,40.696388
FCX,2025-11-10 10:37:00-05:00,40.685,40.72,40.665,40.67,13759.0,229.0,40.694545
FCX,2025-11-10 10:38:00-05:00,40.67,40.68,40.6,40.61,15268.0,248.0,40.652129
