symbol,timestamp,open,high,low,close,volume,trade_count,vwap
F,2025-11-10 09:30:00-05:00,13.23,13.23,13.22,13.23,13532.0,40.0,13.229031
F,2025-11-10 09:31:00-05:00,13.23,13.235,13.17,13.185,681201.0,2721.0,13.216277
F,2025-11-10 09:32:00-05:00,13.19,13.19,13.1,13.135,203815.0,709.0,13.136508
F,2025-11-10 09:33:00-05:00,13.13,13.15,13.1,13.1099,217900.0,554.0,13.133327
F,2025-11-10 09:34:00-05:00,13.105,13.14,13.08,13.12,962394.0,1296.0,13.113912
F,2025-11-10 09:35:00-05:00,13.12,13.13,13.11,13.1112,95192.0,342.0,13.112914
F,2025-11-10 09:36:00-05:00,13.115,13.16,13.1101,13.1501,300194.0,597.0,13.138729
F,2025-11-10 09:37:00-05:00,13.15,13.16,13.13,13.13,182247.0,299.0,13.143556
F,2025-11-10 09:38:00-05:00,13.135,13.14,13.11,13.1301,314806.0,507.0,13.125759
F,2025-11-10 09:39:00-05:00,13.1393,13.1399,13.11,13.12,65838.0,293.0,13.122643
F,2025-11-10 09:40:00-05:00,13.121,13.155,13.12,13.125,176039.0,454.0,13.134087
F,2025-11-10 09:41:00-05:00,13.12,13.13,13.11,13.1198,221469.0,398.0,13.125224
F,2025-11-10 09:42:00-05:00,13.11,13.12,13.1,13.1088,225595.0,586.0,13.109986
F,2025-11-10 09:43:00-05:00,13.1099,13.1199,13.09,13.115,383124.0,522.0,13.101179
F,2025-11-10 09:44:00-05:00,13.11,13.1162,13.1,13.105,138678.0,294.0,13.107183
F,2025-11-10 09:45:00-05:00,13.105,13.13,13.105,13.114,188081.0,425.0,13.120317
F,2025-11-10 09:46:00-05:00,13.11,13.11,13.07,13.0886,283585.0,549.0,13.084038
F,2025-11-10 09:47:00-05:00,13.08,13.084,13.05,13.055,195544.0,462.0,13.061792
F,2025-11-10 09:48:00-05:00,13.0563,13.07,13.05,13.0614,116579.0,355.0,13.064259
F,2025-11-10 09:49:00-05:00,13.065,13.07,13.06,13.065,62861.0,324.0,13.064912
F,2025-11-10 09:50:00-05:00,13.0675,13.09,13.055,13.0699,362985.0,724.0,13.069277
F,2025-11-10 09:51:00-05:00,13.065,13.07,13.0501,13.065,207227.0,444.0,13.063671
