symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GE,2025-11-10 09:30:00-05:00,309.935,311.0,309.33,310.7,65917.0,1139.0,309.987622
GE,2025-11-10 09:31:00-05:00,310.695,311.56,310.0,310.47,15534.0,395.0,310.629015
GE,2025-11-10 09:32:00-05:00,310.65,311.08,310.26,310.265,7527.0,266.0,310.593506
GE,2025-11-10 09:33:00-05:00,310.52,310.87,310.02,310.87,8091.0,278.0,310.398471
GE,2025-11-10 09:34:00-05:00,310.9,311.1648,310.35,310.9201,13061.0,389.0,310.839602
GE,2025-11-10 09:35:00-05:00,310.96,311.525,310.5805,311.4,8595.0,277.0,311.239052
GE,2025-11-10 09:36:00-05:00,311.4,311.6,311.04,311.075,9371.0,288.0,311.282924
GE,2025-11-10 09:37:00-05:00,311.1097,312.2,311.1097,311.575,14330.0,456.0,311.779173
GE,2025-11-10 09:38:00-05:00,311.5,312.18,311.2525,312.03,10909.0,282.0,311.690815
GE,2025-11-10 09:39:00-05:00,312.025,312.23,311.6214,312.09,7790.0,234.0,311.928678
GE,2025-11-10 09:40:00-05:00,312.14,312.65,312.1183,312.4,14604.0,424.0,312.368641
GE,2025-11-10 09:41:00-05:00,312.325,312.4755,311.23,311.59,6874.0,342.0,311.928295
GE,2025-11-10 09:42:00-05:00,311.67,311.92,311.42,311.42,6887.0,286.0,311.736539
GE,2025-11-10 09:43:00-05:00,311.47,311.47,310.69,311.13,13447.0,334.0,311.004473
GE,2025-11-10 09:44:00-05:00,311.29,311.63,310.77,311.3,5348.0,221.0,311.394601
GE,2025-11-10 09:45:00-05:00,311.55,311.79,310.88,311.78,8876.0,319.0,311.164483
GE,2025-11-10 09:46:00-05:00,311.81,311.89,311.355,311.6,6384.0,247.0,311.603081
GE,2025-11-10 09:47:00-05:00,311.69,312.0,311.553,311.721,9466.0,421.0,311.746728
GE,2025-11-10 09:48:00-05:00,311.67,311.8079,311.25,311.52,7182.0,333.0,311.559365
GE,2025-11-10 09:49:00-05:00,311.61,311.83,311.214,311.31,5459.0,268.0,311.44216
GE,2025-11-10 09:50:00-05:00,311.31,311.31,309.845,310.15,12661.0,488.0,310.628037
GE,2025-11-10 09:51:00-05:00,310.13,310.5575,310.13,310.39,6423.0,270.0,310.359518
GE,2025-11-10 09:52:00-05:00,310.4,310.4,309.835,309.835,5777.0,311.0,310.183088
GE,2025-11-10 09:53:00-05:00,309.805,310.1899,309.8,309.96,3359.0,150.0,309.959728
GE,2025-11-10 09:54:00-05:00,309.83,310.11,309.68,309.92,7024.0,327.0,309.877733
GE,2025-11-10 09:55:00-05:00,309.89,310.67,309.775,310.418,11845.0,414.0,310.23822
GE,2025-11-10 09:56:00-05:00,310.44,310.56,310.197,310.5,13018.0,408.0,310.403638
GE,2025-11-10 09:57:00-05:00,310.57,310.57,310.27,310.47,11067.0,353.0,310.449311
GE,2025-11-10 09:58:00-05:00,310.335,310.48,310.12,310.38,14932.0,611.0,310.301218
GE,2025-11-10 09:59:00-05:00,310.36,310.78,310.008,310.065,23566.0,882.0,310.288373
GE,2025-11-10 10:00:00-05:00,310.13,310.36,309.719,310.175,19726.0,693.0,309.96755
GE,2025-11-10 10:01:00-05:00,310.3,310.45,309.9638,310.36,6384.0,309.0,310.204108
GE,2025-11-10 10:02:00-05:00,310.26,310.46,310.04,310.46,8618.0,339.0,310.198092
GE,2025-11-10 10:03:00-05:00,310.62,310.62,310.36,310.56,4609.0,209.0,310.527471
GE,2025-11-10 10:04:00-05:00,310.59,311.06,310.56,310.88,9549.0,386.0,310.896486
GE,2025-11-10 10:05:00-05:00,310.8,310.855,310.2547,310.34,7698.0,232.0,310.540578
GE,2025-11-10 10:06:00-05:00,310.46,310.79,310.15,310.445,8439.0,359.0,310.557697
GE,2025-11-10 10:07:00-05:00,310.495,310.67,310.424,310.655,3226.0,123.0,310.57499
GE,2025-11-10 10:08:00-05:00,310.65,310.845,310.61,310.705,3993.0,179.0,310.690754
GE,2025-11-10 10:09:00-05:00,310.705,310.705,310.0,310.21,7110.0,315.0,310.424405
GE,2025-11-10 10:10:00-05:00,310.215,310.29,309.99,310.16,7696.0,251.0,310.170573
GE,2025-11-10 10:11:00-05:00,310.15,310.505,310.08,310.505,5694.0,210.0,310.240078
GE,2025-11-10 10:12:00-05:00,310.485,310.88,310.48,310.64,7067.0,397.0,310.68707
GE,2025-11-10 10:13:00-05:00,310.62,310.62,310.05,310.5,5074.0,202.0,310.360338
GE,2025-11-10 10:14:00-05:00,310.55,310.77,310.46,310.5,4006.0,184.0,310.573401
GE,2025-11-10 10:15:00-05:00,310.545,310.87,310.39,310.87,4401.0,167.0,310.627571
GE,2025-11-10 10:16:00-05:00,310.8625,310.9268,310.68,310.7797,6006.0,254.0,310.792182
GE,2025-11-10 10:17:00-05:00,310.84,310.96,310.7,310.835,5798.0,190.0,310.766766
GE,2025-11-10 10:18:00-05:00,310.8275,310.89,310.61,310.67,5926.0,247.0,310.735749
GE,2025-11-10 10:19:00-05:00,310.735,310.83,310.56,310.615,5946.0,198.0,310.69319
GE,2025-11-10 10:20:00-05:00,310.75,311.29,310.75,311.19,7109.0,313.0,311.056241
GE,2025-11-10 10:21:00-05:00,311.1,311.17,311.02,311.13,4775.0,198.0,311.132284
GE,2025-11-10 10:22:00-05:00,311.11,311.14,310.91,310.91,4739.0,205.0,310.998835
GE,2025-11-10 10:23:00-05:00,310.91,310.949,310.49,310.68,8871.0,281.0,310.73348
GE,2025-11-10 10:24:00-05:00,310.715,311.05,310.715,310.86,2801.0,127.0,310.832813
GE,2025-11-10 10:25:00-05:00,310.86,311.0,310.5,310.5,4524.0,176.0,310.808479
GE,2025-11-10 10:26:00-05:00,310.5,310.6,310.02,310.1535,9535.0,287.0,310.188659
GE,2025-11-10 10:27:00-05:00,310.28,310.7,310.25,310.7,5310.0,235.0,310.419496
GE,2025-11-10 10:28:00-05:00,310.6715,310.78,310.49,310.635,4285.0,255.0,310.605933
GE,2025-11-10 10:29:00-05:00,310.61,310.61,310.46,310.46,5622.0,125.0,310.588451
GE,2025-11-10 10:30:00-05:00,310.56,310.62,310.41,310.5275,4594.0,186.0,310.511451
GE,2025-11-10 10:31:00-05:00,310.46,310.46,310.11,310.11,4068.0,195.0,310.325944
GE,2025-11-10 10:32:00-05:00,310.2,310.2,309.85,310.105,4698.0,229.0,310.007046
GE,2025-11-10 10:33:00-05:00,310.02,310.38,309.84,310.2,8932.0,296.0,309.959784
GE,2025-11-10 10:34:00-05:00,310.225,310.5,310.225,310.47,4518.0,221.0,310.35852
GE,2025-11-10 10:35:00-05:00,310.4,310.68,310.34,310.495,10211.0,286.0,310.575739
GE,2025-11-10 10:36:00-05:00,310.51,310.51,309.89,310.005,2657.0,137.0,310.161738
GE,2025-11-10 10:37:00-05:00,310.005,310.01,309.13,309.22,11089.0,325.0,309.490552
GE,2025-11-10 10:38:00-05:00,309.17,309.4,309.04,309.145,4806.0,248.0,309.263681
GE,2025-11-10 10:39:00-05:00,309.18,309.315,309.0396,309.235,4702.0,181.0,309.215392
GE,2025-11-10 10:40:00-05:00,309.23,309.323,309.23,309.29,2493.0,146.0,309.276351
GE,2025-11-10 10:41:00-05:00,309.295,309.53,309.18,309.18,5642.0,264.0,309.342715
GE,2025-11-10 10:42:00-05:00,309.287,309.395,308.925,309.06,5944.0,230.0,309.093557
GE,2025-11-10 10:43:00-05:00,309.15,309.26,308.9201,309.04,4699.0,144.0,309.058042
GE,2025-11-10 10:44:00-05:00,309.04,309.3525,309.04,309.3525,7984.0,247.0,309.242577
GE,2025-11-10 10:45:00-05:00,309.345,309.77,309.345,309.69,6871.0,288.0,309.52274
GE,2025-11-10 10:46:00-05:00,309.61,309.83,309.53,309.69,10984.0,350.0,309.670848
GE,2025-11-10 10:47:00-05:00,309.67,309.67,309.21,309.21,5690.0,233.0,309.487134
GE,2025-11-10 10:48:00-05:00,309.43,309.61,309.32,309.4,11910.0,397.0,309.48015
GE,2025-11-10 10:49:00-05:00,309.38,309.59,309.38,309.49,3653.0,188.0,309.502778
GE,2025-11-10 10:50:00-05:00,309.63,309.68,309.535,309.535,2745.0,159.0,309.583554
GE,2025-11-10 10:51:00-05:00,309.59,309.68,309.26,309.305,4320.0,233.0,309.461774
GE,2025-11-10 10:52:00-05:00,309.35,309.54,309.35,309.505,5337.0,242.0,309.432194
GE,2025-11-10 10:53:00-05:00,309.6,309.845,309.6,309.74,4610.0,191.0,309.733572
GE,2025-11-10 10:54:00-05:00,309.67,310.6225,309.63,310.61,24455.0,673.0,310.003767
GE,2025-11-10 10:55:00-05:00,310.61,310.61,310.345,310.435,7526.0,273.0,310.509303
GE,2025-11-10 10:56:00-05:00,310.435,310.95,310.435,310.84,7144.0,334.0,310.722059
GE,2025-11-10 10:57:00-05:00,310.85,311.03,310.74,310.89,10570.0,398.0,310.914228
GE,2025-11-10 10:58:00-05:00,310.89,311.07,310.7913,310.93,9558.0,316.0,310.898676
GE,2025-11-10 10:59:00-05:00,310.915,310.99,310.83,310.91,7198.0,228.0,310.874257
GE,2025-11-10 11:00:00-05:00,310.91,310.98,310.5,310.575,12732.0,479.0,310.79311
GE,2025-11-10 11:01:00-05:00,310.5,310.695,310.5,310.555,7047.0,233.0,310.588096
GE,2025-11-10 11:02:00-05:00,310.48,310.49,309.8248,309.99,4918.0,288.0,310.278673
GE,2025-11-10 11:03:00-05:00,310.01,310.48,309.885,310.48,5140.0,251.0,310.088289
GE,2025-11-10 11:04:00-05:00,310.48,310.57,310.155,310.16,6420.0,205.0,310.360465
GE,2025-11-10 11:05:00-05:00,310.16,310.16,309.8406,310.075,2990.0,166.0,310.022051
GE,2025-11-10 11:06:00-05:00,310.075,310.15,309.81,310.08,6973.0,244.0,309.996045
GE,2025-11-10 11:07:00-05:00,310.24,310.44,310.2,310.295,3646.0,165.0,310.32496
GE,2025-11-10 11:08:00-05:00,310.48,310.48,310.12,310.19,4613.0,203.0,310.279337
GE,2025-11-10 11:09:00-05:00,310.17,310.19,309.81,309.81,4359.0,190.0,310.003423
GE,2025-11-10 11:10:00-05:00,309.95,310.12,309.7885,310.05,4585.0,178.0,309.992503
GE,2025-11-10 11:11:00-05:00,309.98,310.18,309.98,310.12,3395.0,178.0,310.060862
GE,2025-11-10 11:12:00-05:00,310.1116,310.21,309.84,309.885,7518.0,260.0,310.033075
GE,2025-11-10 11:13:00-05:00,309.825,309.825,309.32,309.51,3702.0,192.0,309.622463
GE,2025-11-10 11:14:00-05:00,309.7599,309.76,309.28,309.76,4396.0,164.0,309.519121
GE,2025-11-10 11:15:00-05:00,309.8,309.91,309.7,309.7067,2813.0,132.0,309.795589
GE,2025-11-10 11:16:00-05:00,309.91,309.91,309.53,309.57,2411.0,138.0,309.742203
GE,2025-11-10 11:17:00-05:00,309.6,309.74,309.46,309.74,6345.0,251.0,309.547927
GE,2025-11-10 11:18:00-05:00,309.73,309.73,309.55,309.55,2190.0,114.0,309.611339
GE,2025-11-10 11:19:00-05:00,309.6,309.77,309.5,309.75,5877.0,343.0,309.576869
GE,2025-11-10 11:20:00-05:00,309.75,309.95,309.69,309.945,3444.0,169.0,309.819317
GE,2025-11-10 11:21:00-05:00,309.89,309.95,309.7,309.735,4135.0,177.0,309.803645
