symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GOOGL,2025-11-10 09:30:00-05:00,284.61,284.65,283.11,283.175,940064.0,15693.0,284.222855
GOOGL,2025-11-10 09:31:00-05:00,283.2325,283.6399,282.8754,283.42,172574.0,3930.0,283.197019
GOOGL,2025-11-10 09:32:00-05:00,283.45,283.49,282.855,283.325,108216.0,3094.0,283.123403
GOOGL,2025-11-10 09:33:00-05:00,283.3,284.14,283.2479,284.067,174581.0,3989.0,283.80147
GOOGL,2025-11-10 09:34:00-05:00,284.0,284.2,283.7701,284.0199,111384.0,3055.0,283.996802
GOOGL,2025-11-10 09:35:00-05:00,284.01,284.94,283.9,284.9272,162820.0,4736.0,284.435981
GOOGL,2025-11-10 09:36:00-05:00,284.93,286.285,284.78,286.2285,285568.0,5997.0,285.625119
GOOGL,2025-11-10 09:37:00-05:00,286.22,286.82,285.9325,286.775,161207.0,3764.0,286.322237
GOOGL,2025-11-10 09:38:00-05:00,286.795,287.33,286.375,287.06,266204.0,5347.0,286.743442
GOOGL,2025-11-10 09:39:00-05:00,287.07,287.29,286.89,286.95,161100.0,3718.0,287.116677
GOOGL,2025-11-10 09:40:00-05:00,286.9,287.61,286.863,287.26,311268.0,6942.0,287.179743
GOOGL,2025-11-10 09:41:00-05:00,287.28,288.1,287.23,288.02,202258.0,4434.0,287.777893
GOOGL,2025-11-10 09:42:00-05:00,288.03,288.27,287.39,287.78,181536.0,4208.0,287.801117
GOOGL,2025-11-10 09:43:00-05:00,287.78,287.85,287.34,287.4199,139281.0,3282.0,287.557081
GOOGL,2025-11-10 09:44:00-05:00,287.38,287.8398,287.33,287.45,127649.0,3187.0,287.586341
GOOGL,2025-11-10 09:45:00-05:00,287.47,287.6499,287.15,287.29,133691.0,3496.0,287.396366
GOOGL,2025-11-10 09:46:00-05:00,287.27,287.4799,287.1,287.3,99792.0,3049.0,287.272216
GOOGL,2025-11-10 09:47:00-05:00,287.29,287.66,287.12,287.32,90140.0,2797.0,287.419108
GOOGL,2025-11-10 09:48:00-05:00,287.32,287.5,287.1,287.5,112898.0,3190.0,287.305028
GOOGL,2025-11-10 09:49:00-05:00,287.53,287.56,287.23,287.26,82028.0,2284.0,287.348007
GOOGL,2025-11-10 09:50:00-05:00,287.28,287.4,287.18,287.355,81768.0,2483.0,287.292495
GOOGL,2025-11-10 09:51:00-05:00,287.34,287.93,287.31,287.63,116580.0,3127.0,287.630719
GOOGL,2025-11-10 09:52:00-05:00,287.61,287.67,287.16,287.3802,86598.0,3034.0,287.530906
GOOGL,2025-11-10 09:53:00-05:00,287.37,287.861,287.36,287.861,66231.0,2881.0,287.584773
GOOGL,2025-11-10 09:54:00-05:00,287.84,288.0,287.51,287.545,104335.0,3224.0,287.7278
GOOGL,2025-11-10 09:55:00-05:00,287.56,288.02,287.505,287.94,72047.0,2554.0,287.756038
GOOGL,2025-11-10 09:56:00-05:00,287.935,288.35,287.87,288.33,107952.0,2921.0,288.062265
GOOGL,2025-11-10 09:57:00-05:00,288.31,288.9,288.3,288.9,103418.0,2925.0,288.572132
GOOGL,2025-11-10 09:58:00-05:00,288.91,289.314,288.83,289.2531,139459.0,3552.0,289.039158
GOOGL,2025-11-10 09:59:00-05:00,289.277,289.58,289.0468,289.13,145941.0,3498.0,289.376784
GOOGL,2025-11-10 10:00:00-05:00,289.13,289.38,289.02,289.3575,164388.0,4002.0,289.209204
