symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HD,2025-11-10 09:30:00-05:00,369.79,370.305,368.28,368.7,68412.0,1520.0,369.469198
HD,2025-11-10 09:31:00-05:00,368.95,369.595,368.725,369.075,9964.0,318.0,369.049197
HD,2025-11-10 09:32:00-05:00,369.075,369.075,367.77,367.8115,21125.0,631.0,368.384814
HD,2025-11-10 09:33:00-05:00,367.77,367.77,366.5,366.5,21723.0,736.0,367.175059
HD,2025-11-10 09:34:00-05:00,366.27,366.91,366.25,366.71,10944.0,374.0,366.643892
HD,2025-11-10 09:35:00-05:00,366.65,367.77,366.2401,367.0,32669.0,707.0,366.785802
HD,2025-11-10 09:36:00-05:00,366.9,368.48,366.9,368.175,18428.0,427.0,368.105276
HD,2025-11-10 09:37:00-05:00,367.8,368.51,367.72,367.87,9841.0,408.0,368.161847
HD,2025-11-10 09:38:00-05:00,368.06,368.55,368.0,368.125,8513.0,427.0,368.25981
HD,2025-11-10 09:39:00-05:00,368.325,369.04,367.8301,368.59,7055.0,247.0,368.50489
HD,2025-11-10 09:40:00-05:00,368.685,368.685,367.96,367.96,9265.0,357.0,368.423423
HD,2025-11-10 09:41:00-05:00,367.93,368.45,367.8765,368.41,6598.0,260.0,368.149513
HD,2025-11-10 09:42:00-05:00,368.34,368.5913,368.01,368.565,5886.0,265.0,368.225565
HD,2025-11-10 09:43:00-05:00,368.52,368.7911,368.24,368.48,3569.0,132.0,368.462678
HD,2025-11-10 09:44:00-05:00,368.68,368.88,368.4,368.4,10941.0,346.0,368.69678
HD,2025-11-10 09:45:00-05:00,368.365,368.6,367.95,367.96,7474.0,388.0,368.268982
HD,2025-11-10 09:46:00-05:00,367.94,367.95,367.23,367.29,10347.0,324.0,367.450911
HD,2025-11-10 09:47:00-05:00,367.26,367.486,366.81,367.015,12506.0,492.0,367.181644
HD,2025-11-10 09:48:00-05:00,366.84,367.19,366.7,366.94,9361.0,357.0,366.984104
HD,2025-11-10 09:49:00-05:00,366.83,366.83,366.33,366.675,10116.0,357.0,366.52632
HD,2025-11-10 09:50:00-05:00,366.675,367.0,366.29,366.77,9674.0,398.0,366.642359
HD,2025-11-10 09:51:00-05:00,366.78,366.78,366.15,366.1961,11896.0,427.0,366.513823
HD,2025-11-10 09:52:00-05:00,366.2,366.9,366.2,366.745,10122.0,345.0,366.541293
HD,2025-11-10 09:53:00-05:00,366.75,366.75,366.09,366.215,10040.0,326.0,366.278114
HD,2025-11-10 09:54:00-05:00,366.27,367.25,366.06,367.005,33456.0,529.0,366.606898
HD,2025-11-10 09:55:00-05:00,367.11,367.22,366.74,366.99,4559.0,249.0,366.915753
HD,2025-11-10 09:56:00-05:00,366.82,366.82,366.1,366.37,10456.0,403.0,366.365586
HD,2025-11-10 09:57:00-05:00,366.46,367.35,366.37,367.35,5850.0,224.0,366.859655
HD,2025-11-10 09:58:00-05:00,367.45,367.67,367.24,367.38,13212.0,358.0,367.43542
HD,2025-11-10 09:59:00-05:00,367.38,367.59,366.9395,366.975,15488.0,426.0,367.385414
HD,2025-11-10 10:00:00-05:00,366.975,367.31,366.69,366.69,6767.0,339.0,366.972246
HD,2025-11-10 10:01:00-05:00,366.745,367.0899,366.61,366.97,5427.0,243.0,366.787662
HD,2025-11-10 10:02:00-05:00,366.77,366.99,366.445,366.61,6594.0,294.0,366.667399
HD,2025-11-10 10:03:00-05:00,366.585,366.68,366.52,366.575,6126.0,171.0,366.606641
HD,2025-11-10 10:04:00-05:00,366.5,367.0,366.35,366.49,8707.0,347.0,366.703271
HD,2025-11-10 10:05:00-05:00,366.36,366.52,366.0,366.25,16549.0,559.0,366.205457
HD,2025-11-10 10:06:00-05:00,366.26,366.26,365.5101,365.675,8851.0,451.0,365.803713
HD,2025-11-10 10:07:00-05:00,365.67,366.25,365.55,366.095,6169.0,251.0,365.900417
HD,2025-11-10 10:08:00-05:00,366.25,366.48,366.07,366.08,5020.0,254.0,366.223304
HD,2025-11-10 10:09:00-05:00,366.08,366.25,365.86,366.25,3318.0,217.0,366.095681
HD,2025-11-10 10:10:00-05:00,366.15,366.49,365.96,366.09,3506.0,210.0,366.153694
HD,2025-11-10 10:11:00-05:00,366.195,366.84,365.9,366.84,6499.0,296.0,366.479793
HD,2025-11-10 10:12:00-05:00,366.56,366.84,366.54,366.8225,4392.0,203.0,366.670079
HD,2025-11-10 10:13:00-05:00,366.84,367.04,366.83,367.04,5662.0,532.0,366.95366
HD,2025-11-10 10:14:00-05:00,367.04,367.31,366.97,367.27,4988.0,269.0,367.134919
HD,2025-11-10 10:15:00-05:00,367.27,367.58,367.1707,367.47,3259.0,171.0,367.366117
HD,2025-11-10 10:16:00-05:00,367.52,367.52,366.6001,366.6001,4651.0,248.0,367.181082
HD,2025-11-10 10:17:00-05:00,366.89,366.91,366.57,366.69,4313.0,222.0,366.66364
HD,2025-11-10 10:18:00-05:00,366.78,367.025,366.72,366.78,4212.0,195.0,366.894928
HD,2025-11-10 10:19:00-05:00,366.78,366.8844,366.5,366.5,4347.0,226.0,366.734429
HD,2025-11-10 10:20:00-05:00,366.645,366.74,366.2201,366.37,3337.0,193.0,366.47742
HD,2025-11-10 10:21:00-05:00,366.44,366.565,366.28,366.4,5661.0,185.0,366.395801
HD,2025-11-10 10:22:00-05:00,366.358,366.5374,366.1101,366.1101,4320.0,214.0,366.358692
HD,2025-11-10 10:23:00-05:00,366.4145,366.4416,366.11,366.395,3540.0,143.0,366.363488
HD,2025-11-10 10:24:00-05:00,366.3545,366.631,366.16,366.595,9440.0,247.0,366.348586
HD,2025-11-10 10:25:00-05:00,366.6,366.6,366.21,366.39,3527.0,191.0,366.346664
HD,2025-11-10 10:26:00-05:00,366.365,366.37,366.1733,366.2384,3231.0,138.0,366.295787
