symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LCID,2025-11-10 09:30:00-05:00,17.58,17.79,17.54,17.73,189388.0,1335.0,17.619032
LCID,2025-11-10 09:31:00-05:00,17.705,17.7129,17.58,17.63,17604.0,166.0,17.652807
LCID,2025-11-10 09:32:00-05:00,17.652,17.69,17.55,17.6183,40538.0,329.0,17.624085
LCID,2025-11-10 09:33:00-05:00,17.63,17.78,17.63,17.66,25531.0,174.0,17.734493
LCID,2025-11-10 09:34:00-05:00,17.645,17.69,17.555,17.64,12820.0,118.0,17.623144
LCID,2025-11-10 09:35:00-05:00,17.635,17.635,17.55,17.61,13416.0,143.0,17.614783
LCID,2025-11-10 09:36:00-05:00,17.61,17.7,17.61,17.68,10984.0,108.0,17.656983
LCID,2025-11-10 09:37:00-05:00,17.67,17.67,17.4,17.42,89234.0,490.0,17.471977
LCID,2025-11-10 09:38:00-05:00,17.43,17.43,17.25,17.33,155470.0,716.0,17.319996
LCID,2025-11-10 09:39:00-05:00,17.335,17.52,17.33,17.465,24493.0,232.0,17.401024
LCID,2025-11-10 09:40:00-05:00,17.49,17.52,17.4001,17.43,31842.0,160.0,17.461104
LCID,2025-11-10 09:41:00-05:00,17.425,17.43,17.385,17.41,6947.0,120.0,17.41021
LCID,2025-11-10 09:42:00-05:00,17.41,17.42,17.345,17.36,22827.0,151.0,17.388651
LCID,2025-11-10 09:43:00-05:00,17.37,17.59,17.37,17.49,24891.0,225.0,17.469466
LCID,2025-11-10 09:44:00-05:00,17.48,17.54,17.48,17.51,14003.0,127.0,17.516734
LCID,2025-11-10 09:45:00-05:00,17.54,17.56,17.49,17.515,27140.0,188.0,17.536193
LCID,2025-11-10 09:46:00-05:00,17.515,17.59,17.515,17.55,30745.0,207.0,17.554869
LCID,2025-11-10 09:47:00-05:00,17.53,17.54,17.41,17.47,34252.0,352.0,17.483688
LCID,2025-11-10 09:48:00-05:00,17.47,17.47,17.29,17.35,34316.0,263.0,17.352232
LCID,2025-11-10 09:49:00-05:00,17.36,17.3845,17.29,17.38,35428.0,267.0,17.330041
LCID,2025-11-10 09:50:00-05:00,17.39,17.405,17.32,17.32,22497.0,205.0,17.375484
LCID,2025-11-10 09:51:00-05:00,17.32,17.325,17.29,17.305,14285.0,157.0,17.30343
LCID,2025-11-10 09:52:00-05:00,17.29,17.325,17.27,17.3,18290.0,197.0,17.296567
LCID,2025-11-10 09:53:00-05:00,17.3,17.33,17.3,17.33,9817.0,124.0,17.314759
LCID,2025-11-10 09:54:00-05:00,17.32,17.355,17.31,17.32,16294.0,218.0,17.335833
LCID,2025-11-10 09:55:00-05:00,17.32,17.37,17.3,17.36,10506.0,134.0,17.346928
LCID,2025-11-10 09:56:00-05:00,17.34,17.355,17.3,17.345,20261.0,148.0,17.32235
LCID,2025-11-10 09:57:00-05:00,17.35,17.4,17.3301,17.3971,11032.0,131.0,17.369095
LCID,2025-11-10 09:58:00-05:00,17.38,17.39,17.33,17.335,37471.0,92.0,17.369059
LCID,2025-11-10 09:59:00-05:00,17.35,17.43,17.35,17.4,13029.0,92.0,17.384355
