symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LIN,2025-11-10 09:30:00-05:00,420.75,421.81,419.87,421.03,44565.0,558.0,420.525085
LIN,2025-11-10 09:31:00-05:00,421.03,421.93,421.03,421.345,2763.0,144.0,421.415738
LIN,2025-11-10 09:32:00-05:00,421.345,421.345,418.84,419.015,5590.0,217.0,419.718686
LIN,2025-11-10 09:33:00-05:00,418.825,419.3,418.51,419.12,8243.0,201.0,418.81586
LIN,2025-11-10 09:34:00-05:00,418.97,419.63,418.97,419.0301,4237.0,123.0,419.326168
LIN,2025-11-10 09:35:00-05:00,419.47,419.47,418.53,419.17,4606.0,210.0,418.982104
LIN,2025-11-10 09:36:00-05:00,419.17,419.745,419.09,419.55,3347.0,125.0,419.440126
LIN,2025-11-10 09:37:00-05:00,419.13,419.83,418.98,419.03,6702.0,204.0,419.456583
LIN,2025-11-10 09:38:00-05:00,418.98,419.105,418.52,418.86,5261.0,170.0,418.774567
LIN,2025-11-10 09:39:00-05:00,418.97,419.92,418.97,419.92,3504.0,167.0,419.387928
LIN,2025-11-10 09:40:00-05:00,419.47,419.955,419.19,419.69,10251.0,329.0,419.508007
LIN,2025-11-10 09:41:00-05:00,419.56,420.09,419.11,419.29,9815.0,318.0,419.394695
LIN,2025-11-10 09:42:00-05:00,419.23,419.23,418.645,418.645,5123.0,172.0,419.003823
LIN,2025-11-10 09:43:00-05:00,418.88,419.49,418.6706,419.4,5888.0,146.0,419.032987
LIN,2025-11-10 09:44:00-05:00,419.33,419.62,418.99,419.33,12285.0,339.0,419.276888
LIN,2025-11-10 09:45:00-05:00,419.33,419.9669,419.33,419.74,4825.0,200.0,419.637366
LIN,2025-11-10 09:46:00-05:00,419.7,420.0,419.295,420.0,5452.0,213.0,419.68569
LIN,2025-11-10 09:47:00-05:00,420.0,420.09,419.65,420.0,7080.0,268.0,419.871887
LIN,2025-11-10 09:48:00-05:00,420.0,420.16,419.7,420.16,5283.0,241.0,419.905328
LIN,2025-11-10 09:49:00-05:00,420.16,420.165,419.65,419.65,5604.0,213.0,419.882687
LIN,2025-11-10 09:50:00-05:00,419.65,419.89,419.475,419.705,5939.0,235.0,419.739446
LIN,2025-11-10 09:51:00-05:00,419.71,419.76,419.4,419.5,4190.0,170.0,419.562097
LIN,2025-11-10 09:52:00-05:00,419.61,419.98,419.4326,419.98,3491.0,160.0,419.628032
LIN,2025-11-10 09:53:00-05:00,420.02,420.02,419.69,419.69,14677.0,405.0,419.87568
LIN,2025-11-10 09:54:00-05:00,419.695,419.735,419.35,419.685,3309.0,133.0,419.586068
LIN,2025-11-10 09:55:00-05:00,419.69,419.85,419.56,419.61,6148.0,188.0,419.637661
LIN,2025-11-10 09:56:00-05:00,419.57,419.57,419.02,419.145,4521.0,182.0,419.312795
LIN,2025-11-10 09:57:00-05:00,419.19,419.32,418.94,419.32,4786.0,198.0,419.081906
LIN,2025-11-10 09:58:00-05:00,419.4,419.4,418.59,418.785,17402.0,420.0,418.971406
LIN,2025-11-10 09:59:00-05:00,418.785,418.785,417.5,417.83,11995.0,313.0,418.088606
LIN,2025-11-10 10:00:00-05:00,417.83,418.77,417.48,418.16,7091.0,252.0,418.149774
LIN,2025-11-10 10:01:00-05:00,417.875,418.35,417.845,418.35,1256.0,81.0,418.063426
LIN,2025-11-10 10:02:00-05:00,417.9975,418.57,417.9463,418.445,2543.0,127.0,418.139547
LIN,2025-11-10 10:03:00-05:00,418.3,418.445,418.04,418.14,3811.0,159.0,418.276397
LIN,2025-11-10 10:04:00-05:00,418.14,418.14,417.46,417.78,3357.0,178.0,417.836578
LIN,2025-11-10 10:05:00-05:00,417.7,418.09,417.7,418.09,4800.0,141.0,417.838602
LIN,2025-11-10 10:06:00-05:00,417.71,418.23,417.71,418.135,3031.0,124.0,418.051053
LIN,2025-11-10 10:07:00-05:00,418.205,418.49,418.09,418.345,3740.0,159.0,418.279256
LIN,2025-11-10 10:08:00-05:00,418.355,418.63,418.19,418.57,6509.0,233.0,418.344241
LIN,2025-11-10 10:09:00-05:00,418.45,418.45,418.1,418.27,4519.0,209.0,418.251676
LIN,2025-11-10 10:10:00-05:00,418.27,418.62,418.27,418.41,4173.0,185.0,418.436149
LIN,2025-11-10 10:11:00-05:00,418.35,418.63,418.35,418.61,2258.0,144.0,418.50966
LIN,2025-11-10 10:12:00-05:00,418.85,419.01,418.69,418.905,4059.0,182.0,418.848412
LIN,2025-11-10 10:13:00-05:00,419.08,419.1,418.59,418.6,4041.0,148.0,418.859889
LIN,2025-11-10 10:14:00-05:00,418.59,418.605,417.8,417.8,2471.0,114.0,418.077768
LIN,2025-11-10 10:15:00-05:00,417.54,417.98,417.29,417.5,4139.0,100.0,417.573154
LIN,2025-11-10 10:16:00-05:00,417.29,417.78,417.225,417.78,3892.0,154.0,417.411596
LIN,2025-11-10 10:17:00-05:00,417.78,417.81,417.53,417.6675,4629.0,161.0,417.654437
LIN,2025-11-10 10:18:00-05:00,417.62,417.9,417.46,417.9,3777.0,154.0,417.648886
LIN,2025-11-10 10:19:00-05:00,417.81,418.29,417.785,417.785,5101.0,197.0,417.948805
LIN,2025-11-10 10:20:00-05:00,417.8,417.8836,417.535,417.535,3992.0,186.0,417.636555
LIN,2025-11-10 10:21:00-05:00,417.63,417.78,417.33,417.33,3360.0,129.0,417.517672
LIN,2025-11-10 10:22:00-05:00,417.335,417.913,417.335,417.88,3451.0,107.0,417.746167
LIN,2025-11-10 10:23:00-05:00,417.99,418.52,417.99,418.44,1956.0,136.0,418.344471
LIN,2025-11-10 10:24:00-05:00,418.3,418.325,418.06,418.18,2958.0,184.0,418.19479
LIN,2025-11-10 10:25:00-05:00,418.155,418.25,417.65,417.65,4666.0,204.0,418.067062
LIN,2025-11-10 10:26:00-05:00,417.79,417.835,416.565,416.81,20744.0,624.0,417.21302
LIN,2025-11-10 10:27:00-05:00,416.845,417.04,416.39,416.46,10129.0,320.0,416.745079
LIN,2025-11-10 10:28:00-05:00,416.39,416.9222,416.39,416.76,15876.0,135.0,416.571282
LIN,2025-11-10 10:29:00-05:00,416.69,417.22,416.69,417.01,5487.0,240.0,416.998329
