symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LMT,2025-11-10 09:30:00-05:00,456.0,457.1,453.24,453.96,37329.0,1672.0,455.529306
LMT,2025-11-10 09:31:00-05:00,453.68,455.88,453.4,454.0001,6580.0,314.0,454.331319
LMT,2025-11-10 09:32:00-05:00,455.405,456.7599,452.0,452.85,11078.0,644.0,454.462862
LMT,2025-11-10 09:33:00-05:00,452.99,453.155,451.1,451.1,11562.0,669.0,451.811595
LMT,2025-11-10 09:34:00-05:00,451.11,451.97,449.0,451.878,23114.0,1410.0,450.275375
LMT,2025-11-10 09:35:00-05:00,451.3,451.86,450.0,450.98,16138.0,740.0,450.847563
LMT,2025-11-10 09:36:00-05:00,451.66,453.58,451.66,452.52,5484.0,373.0,452.620567
LMT,2025-11-10 09:37:00-05:00,452.8,453.6999,452.8,453.268,2716.0,217.0,453.107341
LMT,2025-11-10 09:38:00-05:00,453.01,453.0835,452.65,452.81,3981.0,257.0,452.932891
LMT,2025-11-10 09:39:00-05:00,452.76,453.87,452.25,453.61,6905.0,382.0,452.909811
LMT,2025-11-10 09:40:00-05:00,453.52,454.81,453.43,453.52,4433.0,264.0,453.965283
LMT,2025-11-10 09:41:00-05:00,453.56,453.717,452.43,452.43,3425.0,228.0,453.085778
LMT,2025-11-10 09:42:00-05:00,452.725,452.725,451.25,451.56,3970.0,251.0,452.016529
LMT,2025-11-10 09:43:00-05:00,451.415,452.52,451.01,452.25,12438.0,443.0,451.465553
LMT,2025-11-10 09:44:00-05:00,452.43,453.11,452.05,452.7399,6725.0,265.0,452.754549
LMT,2025-11-10 09:45:00-05:00,452.24,453.15,451.94,452.77,7158.0,306.0,452.742465
LMT,2025-11-10 09:46:00-05:00,452.54,453.41,452.2949,453.41,3832.0,220.0,452.776473
LMT,2025-11-10 09:47:00-05:00,453.42,454.86,453.42,454.72,4485.0,217.0,454.071578
LMT,2025-11-10 09:48:00-05:00,455.0,455.0,453.79,453.79,5548.0,308.0,454.459326
LMT,2025-11-10 09:49:00-05:00,453.76,454.41,453.76,454.07,4369.0,239.0,454.157132
LMT,2025-11-10 09:50:00-05:00,453.94,453.94,452.93,453.51,2453.0,216.0,453.466527
LMT,2025-11-10 09:51:00-05:00,453.34,453.67,452.8525,453.27,3390.0,203.0,453.181164
LMT,2025-11-10 09:52:00-05:00,453.0919,453.42,453.0919,453.22,1718.0,144.0,453.326209
LMT,2025-11-10 09:53:00-05:00,453.3,453.44,453.01,453.155,1878.0,193.0,453.204777
LMT,2025-11-10 09:54:00-05:00,452.91,452.91,452.2301,452.7,8090.0,285.0,452.645476
LMT,2025-11-10 09:55:00-05:00,452.695,453.59,452.695,453.22,2761.0,220.0,453.051336
LMT,2025-11-10 09:56:00-05:00,453.68,453.68,452.5,452.71,4596.0,238.0,452.763488
LMT,2025-11-10 09:57:00-05:00,452.59,452.72,451.96,452.16,4463.0,231.0,452.366998
LMT,2025-11-10 09:58:00-05:00,452.16,453.315,452.01,453.03,4531.0,268.0,452.746084
LMT,2025-11-10 09:59:00-05:00,453.03,453.1516,452.0101,452.71,5353.0,233.0,452.644444
LMT,2025-11-10 10:00:00-05:00,452.49,452.615,451.59,451.855,5785.0,422.0,452.040143
LMT,2025-11-10 10:01:00-05:00,452.27,453.06,452.2,452.6723,2557.0,258.0,452.529654
LMT,2025-11-10 10:02:00-05:00,453.325,453.443,452.72,453.191,7344.0,228.0,453.230328
LMT,2025-11-10 10:03:00-05:00,452.95,452.95,452.73,452.895,2111.0,179.0,452.893666
