symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LUV,2025-11-10 09:30:00-05:00,32.75,33.04,32.6,32.99,225072.0,1483.0,32.856219
LUV,2025-11-10 09:31:00-05:00,33.0,33.1,32.88,32.9805,117385.0,906.0,32.962777
LUV,2025-11-10 09:32:00-05:00,33.0079,33.12,32.97,33.12,39629.0,383.0,33.048714
LUV,2025-11-10 09:33:00-05:00,33.12,33.21,32.9578,32.978,31699.0,215.0,33.147442
LUV,2025-11-10 09:34:00-05:00,32.9909,33.33,32.9909,33.275,22121.0,251.0,33.243724
LUV,2025-11-10 09:35:00-05:00,33.275,33.35,33.11,33.255,48585.0,437.0,33.257396
LUV,2025-11-10 09:36:00-05:00,33.28,33.29,33.19,33.2,49939.0,272.0,33.243942
LUV,2025-11-10 09:37:00-05:00,33.22,33.24,33.15,33.22,23668.0,288.0,33.196223
LUV,2025-11-10 09:38:00-05:00,33.22,33.265,33.18,33.23,24890.0,269.0,33.221495
LUV,2025-11-10 09:39:00-05:00,33.24,33.28,33.19,33.265,14779.0,184.0,33.235985
LUV,2025-11-10 09:40:00-05:00,33.29,33.35,33.27,33.32,28312.0,308.0,33.3244
LUV,2025-11-10 09:41:00-05:00,33.35,33.39,33.32,33.355,34686.0,373.0,33.366557
LUV,2025-11-10 09:42:00-05:00,33.34,33.35,33.28,33.3,16799.0,320.0,33.312024
LUV,2025-11-10 09:43:00-05:00,33.29,33.3731,33.23,33.32,22918.0,388.0,33.31386
LUV,2025-11-10 09:44:00-05:00,33.32,33.325,33.225,33.225,21431.0,235.0,33.280612
LUV,2025-11-10 09:45:00-05:00,33.24,33.46,33.24,33.44,39789.0,478.0,33.373273
LUV,2025-11-10 09:46:00-05:00,33.46,33.56,33.41,33.56,39194.0,424.0,33.485415
LUV,2025-11-10 09:47:00-05:00,33.56,33.58,33.45,33.51,39100.0,454.0,33.501017
LUV,2025-11-10 09:48:00-05:00,33.505,33.53,33.38,33.44,20282.0,275.0,33.466395
LUV,2025-11-10 09:49:00-05:00,33.43,33.53,33.4,33.41,24532.0,259.0,33.451268
LUV,2025-11-10 09:50:00-05:00,33.42,33.44,33.33,33.42,13650.0,197.0,33.384465
LUV,2025-11-10 09:51:00-05:00,33.4,33.49,33.385,33.475,11947.0,212.0,33.455891
LUV,2025-11-10 09:52:00-05:00,33.475,33.5,33.24,33.24,37160.0,442.0,33.397228
LUV,2025-11-10 09:53:00-05:00,33.21,33.2383,33.1,33.1012,16474.0,236.0,33.15415
LUV,2025-11-10 09:54:00-05:00,33.12,33.24,33.06,33.08,51336.0,551.0,33.142108
LUV,2025-11-10 09:55:00-05:00,33.071,33.1,33.0,33.0,53549.0,354.0,33.073505
LUV,2025-11-10 09:56:00-05:00,33.02,33.04,32.96,32.97,42833.0,487.0,33.002359
LUV,2025-11-10 09:57:00-05:00,33.0,33.07,33.0,33.065,27616.0,307.0,33.043747
LUV,2025-11-10 09:58:00-05:00,33.065,33.07,32.96,32.9613,21749.0,244.0,33.03338
LUV,2025-11-10 09:59:00-05:00,32.9763,33.01,32.85,32.85,34333.0,386.0,32.959141
LUV,2025-11-10 10:00:00-05:00,32.825,32.91,32.7906,32.82,19797.0,259.0,32.873453
LUV,2025-11-10 10:01:00-05:00,32.82,32.89,32.82,32.86,13917.0,234.0,32.85852
LUV,2025-11-10 10:02:00-05:00,32.81,32.8301,32.745,32.745,11812.0,176.0,32.78823
LUV,2025-11-10 10:03:00-05:00,32.74,32.78,32.725,32.78,18337.0,273.0,32.755552
LUV,2025-11-10 10:04:00-05:00,32.79,32.89,32.79,32.89,18414.0,300.0,32.828389
LUV,2025-11-10 10:05:00-05:00,32.9,32.96,32.86,32.93,28653.0,372.0,32.912825
LUV,2025-11-10 10:06:00-05:00,32.94,33.02,32.91,32.995,24547.0,429.0,32.973989
LUV,2025-11-10 10:07:00-05:00,33.0,33.06,32.9901,33.0,29956.0,358.0,33.014521
LUV,2025-11-10 10:08:00-05:00,33.01,33.01,32.89,32.9004,14743.0,187.0,32.944974
LUV,2025-11-10 10:09:00-05:00,32.92,32.94,32.89,32.94,11857.0,165.0,32.924443
LUV,2025-11-10 10:10:00-05:00,32.945,33.0369,32.91,32.985,43212.0,262.0,32.962953
LUV,2025-11-10 10:11:00-05:00,32.97,33.0,32.91,33.0,29630.0,266.0,32.955456
LUV,2025-11-10 10:12:00-05:00,33.01,33.05,33.0,33.03,8393.0,146.0,33.023666
LUV,2025-11-10 10:13:00-05:00,33.02,33.02,32.94,33.0,12632.0,205.0,32.988295
LUV,2025-11-10 10:14:00-05:00,33.005,33.005,32.92,32.94,16540.0,240.0,32.951502
LUV,2025-11-10 10:15:00-05:00,32.95,33.08,32.95,33.06,28030.0,235.0,33.00554
LUV,2025-11-10 10:16:00-05:00,33.06,33.09,32.995,33.0175,17196.0,300.0,33.052732
LUV,2025-11-10 10:17:00-05:00,33.015,33.03,32.96,32.96,9717.0,129.0,32.987796
LUV,2025-11-10 10:18:00-05:00,32.96,32.97,32.94,32.96,12439.0,194.0,32.954328
LUV,2025-11-10 10:19:00-05:00,32.98,32.98,32.92,32.935,13078.0,199.0,32.937255
LUV,2025-11-10 10:20:00-05:00,32.92,33.0,32.92,32.965,21962.0,233.0,32.962182
LUV,2025-11-10 10:21:00-05:00,32.97,32.98,32.94,32.96,17649.0,208.0,32.968139
LUV,2025-11-10 10:22:00-05:00,32.97,32.99,32.96,32.985,15069.0,169.0,32.976288
LUV,2025-11-10 10:23:00-05:00,32.9802,32.99,32.8908,32.93,19855.0,219.0,32.935471
LUV,2025-11-10 10:24:00-05:00,32.91,32.92,32.88,32.91,5789.0,101.0,32.903868
LUV,2025-11-10 10:25:00-05:00,32.89,32.89,32.82,32.825,6413.0,157.0,32.839543
LUV,2025-11-10 10:26:00-05:00,32.83,32.83,32.801,32.81,11621.0,141.0,32.813997
LUV,2025-11-10 10:27:00-05:00,32.8,32.8,32.66,32.68,32745.0,324.0,32.724859
LUV,2025-11-10 10:28:00-05:00,32.67,32.815,32.67,32.76,70986.0,520.0,32.750051
LUV,2025-11-10 10:29:00-05:00,32.76,32.8,32.75,32.75,7888.0,148.0,32.771485
LUV,2025-11-10 10:30:00-05:00,32.735,32.84,32.735,32.83,14099.0,135.0,32.809567
LUV,2025-11-10 10:31:00-05:00,32.82,32.82,32.76,32.77,17611.0,140.0,32.793023
LUV,2025-11-10 10:32:00-05:00,32.78,32.79,32.69,32.73,7860.0,148.0,32.731121
LUV,2025-11-10 10:33:00-05:00,32.725,32.725,32.68,32.7,18274.0,222.0,32.691741
LUV,2025-11-10 10:34:00-05:00,32.7,32.705,32.67,32.69,12356.0,158.0,32.691346
LUV,2025-11-10 10:35:00-05:00,32.69,32.7699,32.685,32.75,16006.0,218.0,32.727682
LUV,2025-11-10 10:36:00-05:00,32.77,32.79,32.74,32.77,14321.0,187.0,32.766971
LUV,2025-11-10 10:37:00-05:00,32.76,32.77,32.74,32.75,9989.0,169.0,32.75353
LUV,2025-11-10 10:38:00-05:00,32.745,32.745,32.705,32.715,12510.0,162.0,32.729603
LUV,2025-11-10 10:39:00-05:00,32.72,32.72,32.62,32.625,28322.0,295.0,32.679281
LUV,2025-11-10 10:40:00-05:00,32.625,32.63,32.55,32.55,14517.0,179.0,32.593566
