symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MAR,2025-11-10 09:30:00-05:00,292.12,294.0,292.0,293.495,28095.0,457.0,292.444265
MAR,2025-11-10 09:31:00-05:00,294.0,294.18,293.5,293.75,5250.0,139.0,294.001799
MAR,2025-11-10 09:32:00-05:00,293.25,293.59,292.89,293.305,3572.0,90.0,293.100708
MAR,2025-11-10 09:33:00-05:00,293.305,293.305,292.89,293.305,1088.0,41.0,293.28592
MAR,2025-11-10 09:34:00-05:00,293.21,293.975,292.9,293.14,5174.0,154.0,293.35768
MAR,2025-11-10 09:35:00-05:00,292.9,293.05,292.625,292.77,3953.0,124.0,292.782577
MAR,2025-11-10 09:36:00-05:00,292.775,292.775,291.7,291.7,2897.0,105.0,292.254789
MAR,2025-11-10 09:37:00-05:00,291.49,292.1,291.49,291.785,1834.0,69.0,291.840051
MAR,2025-11-10 09:38:00-05:00,292.1226,292.26,291.785,292.26,1967.0,90.0,291.921003
MAR,2025-11-10 09:39:00-05:00,291.54,292.08,291.54,292.08,1688.0,95.0,291.901095
MAR,2025-11-10 09:40:00-05:00,292.032,292.032,291.02,291.235,5061.0,179.0,291.51911
MAR,2025-11-10 09:41:00-05:00,291.235,291.235,290.32,290.425,7474.0,223.0,290.696661
MAR,2025-11-10 09:42:00-05:00,290.0628,290.29,288.84,288.84,13087.0,357.0,289.553699
MAR,2025-11-10 09:43:00-05:00,288.98,289.99,288.69,289.99,17095.0,426.0,289.291807
MAR,2025-11-10 09:44:00-05:00,289.77,290.13,289.41,289.41,10028.0,107.0,289.869525
MAR,2025-11-10 09:45:00-05:00,289.475,290.49,289.475,290.2,5297.0,192.0,290.03187
MAR,2025-11-10 09:46:00-05:00,290.29,290.49,289.75,289.78,3174.0,151.0,290.076521
MAR,2025-11-10 09:47:00-05:00,289.71,289.71,289.295,289.34,2112.0,78.0,289.430818
MAR,2025-11-10 09:48:00-05:00,289.66,289.92,289.515,289.515,3854.0,189.0,289.666896
MAR,2025-11-10 09:49:00-05:00,289.17,289.67,289.09,289.12,2578.0,107.0,289.341338
MAR,2025-11-10 09:50:00-05:00,289.009,289.165,288.26,288.26,5597.0,203.0,288.5726
MAR,2025-11-10 09:51:00-05:00,288.03,288.29,287.9,287.97,3459.0,145.0,288.110789
MAR,2025-11-10 09:52:00-05:00,287.69,287.695,287.18,287.1801,6398.0,137.0,287.484468
MAR,2025-11-10 09:53:00-05:00,287.2,287.57,287.0,287.12,5357.0,235.0,287.246173
MAR,2025-11-10 09:54:00-05:00,286.82,287.02,286.71,286.835,8325.0,209.0,286.808427
MAR,2025-11-10 09:55:00-05:00,286.85,287.575,286.1,287.575,11032.0,311.0,286.692036
MAR,2025-11-10 09:56:00-05:00,287.31,287.98,287.3,287.98,6001.0,198.0,287.645966
MAR,2025-11-10 09:57:00-05:00,288.06,288.22,287.88,288.03,4895.0,181.0,288.039231
MAR,2025-11-10 09:58:00-05:00,287.95,287.95,286.6701,286.6701,4812.0,180.0,287.519196
MAR,2025-11-10 09:59:00-05:00,286.86,287.62,286.86,287.42,4503.0,200.0,287.329932
MAR,2025-11-10 10:00:00-05:00,287.55,287.82,287.4,287.4,6078.0,257.0,287.625154
