symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MDLZ,2025-11-10 09:30:00-05:00,57.0,57.0,56.5,56.74,149556.0,775.0,56.905445
MDLZ,2025-11-10 09:31:00-05:00,56.82,56.92,56.76,56.85,42538.0,487.0,56.859737
MDLZ,2025-11-10 09:32:00-05:00,56.885,57.03,56.79,56.9299,25685.0,361.0,56.8832
MDLZ,2025-11-10 09:33:00-05:00,56.93,57.06,56.72,56.74,29664.0,467.0,56.923998
MDLZ,2025-11-10 09:34:00-05:00,56.75,56.9,56.75,56.85,26905.0,393.0,56.830711
MDLZ,2025-11-10 09:35:00-05:00,56.83,56.855,56.75,56.795,21146.0,340.0,56.810678
MDLZ,2025-11-10 09:36:00-05:00,56.795,56.81,56.71,56.73,19113.0,230.0,56.74887
MDLZ,2025-11-10 09:37:00-05:00,56.75,56.8,56.695,56.8,21876.0,188.0,56.740579
MDLZ,2025-11-10 09:38:00-05:00,56.8,56.81,56.63,56.63,21439.0,217.0,56.735878
MDLZ,2025-11-10 09:39:00-05:00,56.63,56.77,56.63,56.7,15377.0,202.0,56.713101
MDLZ,2025-11-10 09:40:00-05:00,56.695,56.695,56.5,56.53,38920.0,604.0,56.573733
MDLZ,2025-11-10 09:41:00-05:00,56.535,56.5785,56.5,56.54,25495.0,352.0,56.545062
MDLZ,2025-11-10 09:42:00-05:00,56.52,56.53,56.46,56.465,30733.0,355.0,56.498125
MDLZ,2025-11-10 09:43:00-05:00,56.47,56.545,56.41,56.545,14639.0,231.0,56.458003
MDLZ,2025-11-10 09:44:00-05:00,56.54,56.6,56.46,56.47,25160.0,291.0,56.530972
MDLZ,2025-11-10 09:45:00-05:00,56.48,56.6,56.46,56.6,14197.0,220.0,56.542447
MDLZ,2025-11-10 09:46:00-05:00,56.59,56.63,56.565,56.59,20741.0,190.0,56.590398
MDLZ,2025-11-10 09:47:00-05:00,56.615,56.64,56.57,56.62,25356.0,393.0,56.597379
