symbol,timestamp,open,high,low,close,volume,trade_count,vwap
META,2025-11-10 09:30:00-05:00,631.1,631.735,628.3,629.855,508165.0,20543.0,630.46623
META,2025-11-10 09:31:00-05:00,630.055,631.4995,629.6,630.5,140691.0,4446.0,630.507277
META,2025-11-10 09:32:00-05:00,630.7859,630.7859,626.8,627.04,152240.0,5642.0,628.297921
META,2025-11-10 09:33:00-05:00,627.16,628.1813,626.75,627.25,107473.0,4121.0,627.314631
META,2025-11-10 09:34:00-05:00,627.35,627.4899,625.34,625.46,142260.0,5149.0,626.409609
META,2025-11-10 09:35:00-05:00,625.51,625.74,624.34,624.97,194345.0,8052.0,625.06885
META,2025-11-10 09:36:00-05:00,624.9101,625.799,623.23,624.09,178596.0,5617.0,624.28857
META,2025-11-10 09:37:00-05:00,624.21,625.53,623.83,625.5,101245.0,3820.0,624.764493
META,2025-11-10 09:38:00-05:00,625.57,627.7994,625.465,627.668,132499.0,4178.0,626.821509
META,2025-11-10 09:39:00-05:00,627.8,628.77,627.442,628.34,105219.0,3742.0,628.237706
META,2025-11-10 09:40:00-05:00,628.3545,628.66,627.65,628.0525,112621.0,4438.0,628.186811
META,2025-11-10 09:41:00-05:00,628.15,628.42,627.265,628.24,92759.0,3434.0,627.992199
META,2025-11-10 09:42:00-05:00,628.29,628.83,627.7951,628.235,97173.0,3152.0,628.409066
META,2025-11-10 09:43:00-05:00,628.205,628.99,628.09,628.8,73192.0,2980.0,628.559093
META,2025-11-10 09:44:00-05:00,628.86,630.31,628.8325,629.9099,105459.0,3619.0,629.513838
META,2025-11-10 09:45:00-05:00,629.79,631.3,629.79,630.84,100678.0,3373.0,630.802899
META,2025-11-10 09:46:00-05:00,630.79,631.17,630.51,630.76,100471.0,3597.0,630.829074
META,2025-11-10 09:47:00-05:00,630.76,630.9103,629.6,630.235,68894.0,3408.0,630.23895
META,2025-11-10 09:48:00-05:00,630.245,630.4373,628.8922,629.11,58236.0,2703.0,629.742437
META,2025-11-10 09:49:00-05:00,629.11,629.4,628.4,629.01,85274.0,3088.0,628.87233
META,2025-11-10 09:50:00-05:00,629.065,629.8,628.43,629.675,72519.0,2806.0,628.894086
META,2025-11-10 09:51:00-05:00,629.645,631.2899,629.6208,631.2899,70117.0,2587.0,630.587587
META,2025-11-10 09:52:00-05:00,631.07,631.29,630.2001,630.4899,48649.0,2249.0,630.863975
META,2025-11-10 09:53:00-05:00,630.335,631.03,630.1201,630.395,42040.0,2133.0,630.597705
META,2025-11-10 09:54:00-05:00,630.399,630.8,630.1,630.715,39035.0,1968.0,630.479466
META,2025-11-10 09:55:00-05:00,630.745,631.57,630.45,630.7017,56164.0,2358.0,631.033084
META,2025-11-10 09:56:00-05:00,630.785,631.4,630.1,631.38,46266.0,2294.0,630.831146
META,2025-11-10 09:57:00-05:00,631.4399,631.64,630.502,630.85,83199.0,2603.0,631.178802
META,2025-11-10 09:58:00-05:00,630.92,631.59,630.8601,631.2063,60351.0,2227.0,631.244673
META,2025-11-10 09:59:00-05:00,631.265,631.81,630.7,630.7,78729.0,2708.0,631.400281
META,2025-11-10 10:00:00-05:00,630.7,631.95,630.67,631.5,89467.0,3208.0,631.446145
META,2025-11-10 10:01:00-05:00,631.61,631.99,631.04,631.2024,46880.0,2196.0,631.642763
META,2025-11-10 10:02:00-05:00,631.32,631.73,630.6,630.885,42285.0,2233.0,631.080341
META,2025-11-10 10:03:00-05:00,630.87,632.12,630.87,632.0581,64663.0,2608.0,631.703601
META,2025-11-10 10:04:00-05:00,631.965,633.29,631.9475,633.14,85511.0,2932.0,632.82107
META,2025-11-10 10:05:00-05:00,633.0809,634.15,633.0809,633.28,78007.0,2920.0,633.657202
META,2025-11-10 10:06:00-05:00,633.33,634.0,633.03,633.41,55082.0,2939.0,633.528712
META,2025-11-10 10:07:00-05:00,633.45,633.74,633.3015,633.6835,40112.0,1819.0,633.524944
META,2025-11-10 10:08:00-05:00,633.685,634.44,633.53,634.255,55576.0,2376.0,634.050327
META,2025-11-10 10:09:00-05:00,634.31,634.4,633.67,634.12,51169.0,2431.0,634.03196
META,2025-11-10 10:10:00-05:00,634.19,634.24,633.42,634.0699,58792.0,2438.0,633.928005
META,2025-11-10 10:11:00-05:00,633.9487,634.25,633.4389,633.91,38695.0,3993.0,633.881856
META,2025-11-10 10:12:00-05:00,633.91,634.25,633.77,634.151,42307.0,1856.0,634.053709
META,2025-11-10 10:13:00-05:00,634.155,634.46,633.8,634.21,50938.0,2063.0,634.156166
META,2025-11-10 10:14:00-05:00,634.13,634.22,633.25,633.5101,40960.0,2124.0,633.571872
META,2025-11-10 10:15:00-05:00,633.64,634.0,633.25,633.65,38339.0,1917.0,633.635135
META,2025-11-10 10:16:00-05:00,633.68,634.51,633.68,634.1348,53318.0,2074.0,634.171676
META,2025-11-10 10:17:00-05:00,634.18,634.24,633.75,633.8589,45186.0,1988.0,633.978757
META,2025-11-10 10:18:00-05:00,633.93,634.49,633.77,634.19,60296.0,2451.0,634.096492
META,2025-11-10 10:19:00-05:00,634.09,634.43,633.64,634.24,56153.0,2036.0,634.081762
META,2025-11-10 10:20:00-05:00,634.21,634.29,633.6905,633.825,52980.0,2081.0,634.012786
META,2025-11-10 10:21:00-05:00,633.7549,633.98,633.3,633.96,30434.0,1785.0,633.625527
META,2025-11-10 10:22:00-05:00,633.9,634.88,633.8,634.86,78086.0,2394.0,634.321452
META,2025-11-10 10:23:00-05:00,634.83,634.96,633.7815,634.3,49267.0,2027.0,634.308097
META,2025-11-10 10:24:00-05:00,634.2801,634.5,633.39,633.68,57255.0,2113.0,633.986264
META,2025-11-10 10:25:00-05:00,633.68,634.11,633.36,633.67,32390.0,1671.0,633.731594
META,2025-11-10 10:26:00-05:00,633.7,634.07,633.1747,633.4001,35873.0,1505.0,633.470323
META,2025-11-10 10:27:00-05:00,633.63,633.9599,633.26,633.49,45140.0,1592.0,633.644012
META,2025-11-10 10:28:00-05:00,633.55,633.84,632.81,633.6,68070.0,2481.0,633.222105
META,2025-11-10 10:29:00-05:00,633.69,634.23,633.26,633.8374,48580.0,1913.0,633.877844
META,2025-11-10 10:30:00-05:00,633.63,633.88,632.8,633.125,38287.0,1776.0,633.312858
META,2025-11-10 10:31:00-05:00,633.1079,633.2999,632.62,632.97,48635.0,1751.0,632.966252
META,2025-11-10 10:32:00-05:00,632.9771,633.75,632.55,633.69,33907.0,1497.0,633.165302
META,2025-11-10 10:33:00-05:00,633.74,633.85,633.1604,633.225,24284.0,1375.0,633.545385
META,2025-11-10 10:34:00-05:00,633.14,633.66,633.0765,633.22,23988.0,1307.0,633.340614
META,2025-11-10 10:35:00-05:00,633.1535,633.2189,631.9,631.975,39595.0,1996.0,632.548721
META,2025-11-10 10:36:00-05:00,631.975,632.5,631.7838,631.92,49089.0,1682.0,632.14673
META,2025-11-10 10:37:00-05:00,631.79,631.8,631.1001,631.34,55810.0,1957.0,631.449225
META,2025-11-10 10:38:00-05:00,631.34,631.52,631.15,631.46,33393.0,1718.0,631.323806
