symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MRK,2025-11-10 09:30:00-05:00,86.69,86.94,86.52,86.81,253874.0,1061.0,86.557142
MRK,2025-11-10 09:31:00-05:00,86.79,87.1992,86.7775,86.95,59473.0,779.0,86.968915
MRK,2025-11-10 09:32:00-05:00,87.01,87.1,86.725,87.025,21858.0,378.0,86.995178
MRK,2025-11-10 09:33:00-05:00,87.0,87.25,86.865,86.865,44092.0,422.0,87.042946
MRK,2025-11-10 09:34:00-05:00,86.92,87.27,86.92,87.19,46614.0,489.0,86.984129
MRK,2025-11-10 09:35:00-05:00,87.205,87.37,87.1,87.125,32267.0,604.0,87.278361
MRK,2025-11-10 09:36:00-05:00,87.15,87.31,87.0125,87.14,18772.0,433.0,87.144793
MRK,2025-11-10 09:37:00-05:00,87.14,87.21,87.06,87.1,15026.0,315.0,87.150611
MRK,2025-11-10 09:38:00-05:00,87.09,87.1025,86.94,87.05,15478.0,305.0,87.033853
MRK,2025-11-10 09:39:00-05:00,87.03,87.15,87.03,87.12,26463.0,402.0,87.115101
MRK,2025-11-10 09:40:00-05:00,87.14,87.15,87.02,87.085,22285.0,432.0,87.093538
MRK,2025-11-10 09:41:00-05:00,87.1,87.1,86.97,87.05,17276.0,341.0,87.034
MRK,2025-11-10 09:42:00-05:00,87.04,87.04,86.8201,86.8201,16862.0,323.0,86.952083
MRK,2025-11-10 09:43:00-05:00,86.83,87.02,86.83,86.985,16492.0,267.0,86.950803
MRK,2025-11-10 09:44:00-05:00,86.965,87.04,86.925,86.94,11540.0,215.0,86.98287
MRK,2025-11-10 09:45:00-05:00,86.95,86.98,86.76,86.795,16333.0,346.0,86.876475
MRK,2025-11-10 09:46:00-05:00,86.81,87.0,86.81,87.0,19475.0,424.0,86.914021
MRK,2025-11-10 09:47:00-05:00,86.99,86.9915,86.82,86.87,14694.0,295.0,86.936169
MRK,2025-11-10 09:48:00-05:00,86.87,86.87,86.73,86.73,15586.0,300.0,86.800991
MRK,2025-11-10 09:49:00-05:00,86.72,86.79,86.71,86.725,9466.0,227.0,86.745967
MRK,2025-11-10 09:50:00-05:00,86.7375,86.9,86.735,86.9,18642.0,291.0,86.805526
MRK,2025-11-10 09:51:00-05:00,86.85,86.96,86.8,86.94,16580.0,341.0,86.876922
MRK,2025-11-10 09:52:00-05:00,86.92,87.0925,86.91,87.075,13962.0,277.0,87.025874
MRK,2025-11-10 09:53:00-05:00,87.06,87.06,86.95,86.98,18517.0,312.0,86.986423
MRK,2025-11-10 09:54:00-05:00,87.02,87.04,86.91,86.92,15175.0,247.0,86.970632
MRK,2025-11-10 09:55:00-05:00,86.95,87.05,86.91,87.035,14621.0,302.0,86.955712
MRK,2025-11-10 09:56:00-05:00,87.02,87.025,86.86,86.88,26407.0,414.0,86.913474
MRK,2025-11-10 09:57:00-05:00,86.8583,86.9,86.815,86.87,9599.0,224.0,86.854332
MRK,2025-11-10 09:58:00-05:00,86.89,86.89,86.76,86.77,12955.0,290.0,86.814251
MRK,2025-11-10 09:59:00-05:00,86.79,86.8,86.68,86.74,57858.0,624.0,86.734225
MRK,2025-11-10 10:00:00-05:00,86.74,86.89,86.74,86.825,17169.0,378.0,86.802561
MRK,2025-11-10 10:01:00-05:00,86.8201,86.9299,86.81,86.87,19689.0,247.0,86.879764
MRK,2025-11-10 10:02:00-05:00,86.87,86.93,86.82,86.8301,19646.0,265.0,86.88433
MRK,2025-11-10 10:03:00-05:00,86.83,86.88,86.81,86.83,9785.0,182.0,86.835449
MRK,2025-11-10 10:04:00-05:00,86.8,86.81,86.64,86.67,23387.0,414.0,86.714011
MRK,2025-11-10 10:05:00-05:00,86.67,86.715,86.64,86.66,17664.0,320.0,86.682733
MRK,2025-11-10 10:06:00-05:00,86.64,86.69,86.56,86.685,12438.0,252.0,86.627176
MRK,2025-11-10 10:07:00-05:00,86.7,86.78,86.6783,86.76,10679.0,223.0,86.738921
MRK,2025-11-10 10:08:00-05:00,86.74,86.745,86.6401,86.6575,11632.0,155.0,86.677315
MRK,2025-11-10 10:09:00-05:00,86.67,86.69,86.63,86.65,13304.0,259.0,86.663122
MRK,2025-11-10 10:10:00-05:00,86.67,86.75,86.64,86.75,19553.0,393.0,86.720888
MRK,2025-11-10 10:11:00-05:00,86.76,86.79,86.67,86.67,20214.0,338.0,86.748127
MRK,2025-11-10 10:12:00-05:00,86.635,86.69,86.58,86.59,23309.0,331.0,86.650167
MRK,2025-11-10 10:13:00-05:00,86.59,86.6499,86.56,86.57,22580.0,453.0,86.593688
MRK,2025-11-10 10:14:00-05:00,86.581,86.5821,86.52,86.52,10721.0,209.0,86.554946
MRK,2025-11-10 10:15:00-05:00,86.535,86.56,86.48,86.52,24118.0,412.0,86.51069
MRK,2025-11-10 10:16:00-05:00,86.52,86.52,86.3809,86.3809,12308.0,257.0,86.428288
MRK,2025-11-10 10:17:00-05:00,86.385,86.425,86.38,86.415,9724.0,260.0,86.395368
MRK,2025-11-10 10:18:00-05:00,86.39,86.495,86.38,86.49,10566.0,257.0,86.461073
MRK,2025-11-10 10:19:00-05:00,86.48,86.48,86.28,86.29,28012.0,535.0,86.351043
MRK,2025-11-10 10:20:00-05:00,86.3,86.3,86.245,86.29,15700.0,302.0,86.275025
MRK,2025-11-10 10:21:00-05:00,86.29,86.3,86.2,86.27,12363.0,213.0,86.259151
MRK,2025-11-10 10:22:00-05:00,86.27,86.3,86.2,86.2101,15584.0,273.0,86.243652
MRK,2025-11-10 10:23:00-05:00,86.2213,86.2213,86.18,86.21,22589.0,316.0,86.195074
MRK,2025-11-10 10:24:00-05:00,86.21,86.28,86.2,86.2792,12824.0,207.0,86.245376
MRK,2025-11-10 10:25:00-05:00,86.267,86.34,86.19,86.19,78074.0,1175.0,86.270942
MRK,2025-11-10 10:26:00-05:00,86.2,86.2,86.13,86.2,56291.0,300.0,86.153759
MRK,2025-11-10 10:27:00-05:00,86.18,86.26,86.16,86.16,32232.0,361.0,86.210517
MRK,2025-11-10 10:28:00-05:00,86.17,86.1899,86.12,86.12,13501.0,236.0,86.147433
MRK,2025-11-10 10:29:00-05:00,86.11,86.13,86.09,86.09,8297.0,217.0,86.108949
MRK,2025-11-10 10:30:00-05:00,86.09,86.1,86.03,86.04,19815.0,295.0,86.072939
MRK,2025-11-10 10:31:00-05:00,86.0,86.0,85.91,85.97,13944.0,400.0,85.965316
MRK,2025-11-10 10:32:00-05:00,85.9595,85.99,85.91,85.945,15387.0,209.0,85.942626
MRK,2025-11-10 10:33:00-05:00,85.96,86.06,85.945,86.06,19608.0,280.0,85.962806
MRK,2025-11-10 10:34:00-05:00,86.07,86.07,85.99,85.99,7101.0,141.0,86.029818
MRK,2025-11-10 10:35:00-05:00,85.95,85.98,85.9408,85.95,7702.0,137.0,85.954967
MRK,2025-11-10 10:36:00-05:00,85.94,85.9518,85.88,85.9,16474.0,194.0,85.923086
