symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MS,2025-11-10 09:30:00-05:00,163.81,164.47,163.81,164.47,1559.0,67.0,164.309443
MS,2025-11-10 09:31:00-05:00,164.47,164.47,164.47,164.47,121.0,8.0,164.47
MS,2025-11-10 09:32:00-05:00,164.64,164.7,164.64,164.7,583.0,16.0,164.676667
MS,2025-11-10 09:33:00-05:00,164.91,165.58,164.67,165.035,155761.0,903.0,164.958432
MS,2025-11-10 09:34:00-05:00,164.99,165.56,164.99,165.49,28033.0,411.0,165.347596
MS,2025-11-10 09:35:00-05:00,165.51,165.625,165.2787,165.5425,16392.0,287.0,165.45219
MS,2025-11-10 09:36:00-05:00,165.5,165.63,165.229,165.565,15706.0,331.0,165.487673
MS,2025-11-10 09:37:00-05:00,165.615,165.67,165.169,165.63,25016.0,401.0,165.529881
MS,2025-11-10 09:38:00-05:00,165.54,165.68,165.389,165.53,11742.0,221.0,165.548898
MS,2025-11-10 09:39:00-05:00,165.58,165.8,165.43,165.44,10309.0,254.0,165.590465
MS,2025-11-10 09:40:00-05:00,165.52,165.64,165.15,165.15,11293.0,289.0,165.405783
MS,2025-11-10 09:41:00-05:00,165.33,165.33,165.02,165.02,6356.0,180.0,165.183964
MS,2025-11-10 09:42:00-05:00,165.02,165.04,164.83,164.88,9593.0,278.0,164.938068
MS,2025-11-10 09:43:00-05:00,164.86,165.01,164.68,165.01,7206.0,223.0,164.773404
MS,2025-11-10 09:44:00-05:00,164.95,165.0101,164.74,164.98,9250.0,235.0,164.895446
MS,2025-11-10 09:45:00-05:00,165.09,165.09,164.962,165.04,3914.0,149.0,165.044071
MS,2025-11-10 09:46:00-05:00,165.05,165.29,165.04,165.29,7991.0,176.0,165.124196
MS,2025-11-10 09:47:00-05:00,165.3,165.3656,165.18,165.21,13625.0,338.0,165.268715
MS,2025-11-10 09:48:00-05:00,165.185,165.3175,164.98,165.1538,7690.0,230.0,165.085336
MS,2025-11-10 09:49:00-05:00,165.19,165.23,165.0,165.065,5787.0,163.0,165.125592
MS,2025-11-10 09:50:00-05:00,165.1063,165.1063,164.6067,164.6067,17770.0,342.0,164.907891
MS,2025-11-10 09:51:00-05:00,164.85,165.1259,164.845,164.99,7999.0,205.0,164.917558
MS,2025-11-10 09:52:00-05:00,164.85,164.8858,164.47,164.6241,12571.0,264.0,164.642539
MS,2025-11-10 09:53:00-05:00,164.45,164.6533,164.44,164.45,9536.0,167.0,164.526334
MS,2025-11-10 09:54:00-05:00,164.45,164.57,164.45,164.515,7103.0,142.0,164.503667
