symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NEE,2025-11-10 09:30:00-05:00,84.18,84.76,84.18,84.61,281159.0,2028.0,84.308728
NEE,2025-11-10 09:31:00-05:00,84.74,85.01,84.53,84.9545,48939.0,736.0,84.87935
NEE,2025-11-10 09:32:00-05:00,84.98,85.12,84.635,84.73,31862.0,461.0,84.781169
NEE,2025-11-10 09:33:00-05:00,84.71,84.84,84.47,84.775,19406.0,411.0,84.676006
NEE,2025-11-10 09:34:00-05:00,84.785,84.88,84.66,84.8789,12516.0,291.0,84.803812
NEE,2025-11-10 09:35:00-05:00,84.88,85.07,84.83,84.9,29724.0,658.0,84.947433
NEE,2025-11-10 09:36:00-05:00,84.91,85.0,84.85,84.925,24752.0,412.0,84.926973
NEE,2025-11-10 09:37:00-05:00,84.95,85.065,84.88,85.065,13068.0,310.0,84.952552
NEE,2025-11-10 09:38:00-05:00,85.06,85.06,84.85,84.855,13176.0,231.0,84.980922
NEE,2025-11-10 09:39:00-05:00,84.86,85.02,84.86,84.92,12536.0,253.0,84.960811
NEE,2025-11-10 09:40:00-05:00,84.9275,84.96,84.77,84.835,22530.0,475.0,84.860134
NEE,2025-11-10 09:41:00-05:00,84.835,84.94,84.7963,84.8599,31784.0,677.0,84.881194
NEE,2025-11-10 09:42:00-05:00,84.79,84.81,84.67,84.705,24563.0,319.0,84.726669
NEE,2025-11-10 09:43:00-05:00,84.67,84.795,84.625,84.75,14993.0,362.0,84.705924
NEE,2025-11-10 09:44:00-05:00,84.76,84.89,84.73,84.74,16292.0,325.0,84.810854
NEE,2025-11-10 09:45:00-05:00,84.73,84.84,84.69,84.84,18492.0,347.0,84.764493
NEE,2025-11-10 09:46:00-05:00,84.86,85.04,84.84,85.0013,29511.0,492.0,84.934385
NEE,2025-11-10 09:47:00-05:00,85.0,85.03,84.865,84.905,20574.0,360.0,84.944176
NEE,2025-11-10 09:48:00-05:00,84.905,84.905,84.74,84.85,26372.0,413.0,84.827079
NEE,2025-11-10 09:49:00-05:00,84.845,84.89,84.7503,84.7503,14586.0,289.0,84.834361
NEE,2025-11-10 09:50:00-05:00,84.76,84.76,84.71,84.71,11796.0,286.0,84.73328
NEE,2025-11-10 09:51:00-05:00,84.73,84.735,84.59,84.62,18088.0,335.0,84.692713
NEE,2025-11-10 09:52:00-05:00,84.62,84.74,84.615,84.74,20628.0,393.0,84.69024
NEE,2025-11-10 09:53:00-05:00,84.75,84.8104,84.75,84.79,13765.0,366.0,84.779611
NEE,2025-11-10 09:54:00-05:00,84.79,84.81,84.765,84.8,10419.0,306.0,84.784701
NEE,2025-11-10 09:55:00-05:00,84.79,84.9,84.765,84.885,8790.0,274.0,84.814907
NEE,2025-11-10 09:56:00-05:00,84.883,84.92,84.8,84.9,12009.0,315.0,84.852037
NEE,2025-11-10 09:57:00-05:00,84.88,84.96,84.875,84.92,13684.0,368.0,84.926457
NEE,2025-11-10 09:58:00-05:00,84.92,84.92,84.67,84.725,12415.0,273.0,84.826544
NEE,2025-11-10 09:59:00-05:00,84.74,84.79,84.621,84.621,17024.0,404.0,84.734198
NEE,2025-11-10 10:00:00-05:00,84.63,84.63,84.355,84.385,19107.0,398.0,84.452505
NEE,2025-11-10 10:01:00-05:00,84.38,84.39,84.26,84.335,18453.0,369.0,84.345721
NEE,2025-11-10 10:02:00-05:00,84.32,84.325,84.245,84.325,15084.0,346.0,84.301205
NEE,2025-11-10 10:03:00-05:00,84.325,84.4,84.325,84.325,17727.0,344.0,84.377395
