symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NFLX,2025-11-10 09:30:00-05:00,1106.715,1109.02,1104.05,1107.155,82757.0,6673.0,1106.701034
NFLX,2025-11-10 09:31:00-05:00,1107.9112,1112.521,1106.46,1112.521,26318.0,1649.0,1110.36443
NFLX,2025-11-10 09:32:00-05:00,1112.29,1117.69,1111.51,1117.294,31838.0,2017.0,1114.699973
NFLX,2025-11-10 09:33:00-05:00,1117.0,1119.66,1115.22,1119.585,31139.0,2138.0,1117.084715
NFLX,2025-11-10 09:34:00-05:00,1119.615,1120.0,1116.03,1118.49,26251.0,2195.0,1118.634927
NFLX,2025-11-10 09:35:00-05:00,1118.345,1119.5,1117.3615,1118.55,24327.0,1969.0,1118.624907
NFLX,2025-11-10 09:36:00-05:00,1118.48,1120.01,1118.07,1120.0,29635.0,2054.0,1119.164986
NFLX,2025-11-10 09:37:00-05:00,1120.0,1122.39,1119.05,1121.8203,46755.0,2282.0,1120.787138
NFLX,2025-11-10 09:38:00-05:00,1122.37,1123.18,1121.04,1122.01,24718.0,1772.0,1122.458991
NFLX,2025-11-10 09:39:00-05:00,1122.03,1123.23,1121.585,1123.127,22609.0,1317.0,1122.279345
NFLX,2025-11-10 09:40:00-05:00,1122.93,1123.39,1120.668,1120.85,24660.0,1497.0,1121.740543
NFLX,2025-11-10 09:41:00-05:00,1121.36,1121.69,1120.06,1120.75,22537.0,1519.0,1120.846261
NFLX,2025-11-10 09:42:00-05:00,1120.88,1123.29,1120.4,1122.71,17022.0,1254.0,1122.171032
NFLX,2025-11-10 09:43:00-05:00,1122.26,1122.52,1120.13,1122.24,14302.0,1353.0,1121.138858
NFLX,2025-11-10 09:44:00-05:00,1122.36,1123.79,1121.63,1122.6388,27076.0,1525.0,1122.818956
NFLX,2025-11-10 09:45:00-05:00,1122.445,1124.88,1122.34,1123.785,21388.0,1580.0,1123.569421
NFLX,2025-11-10 09:46:00-05:00,1123.785,1124.98,1123.17,1123.4,16697.0,1209.0,1124.245193
NFLX,2025-11-10 09:47:00-05:00,1123.5722,1125.21,1123.3,1124.48,22176.0,1671.0,1124.631028
NFLX,2025-11-10 09:48:00-05:00,1124.75,1125.7599,1123.9235,1124.42,18792.0,1447.0,1124.817073
NFLX,2025-11-10 09:49:00-05:00,1124.415,1124.42,1121.14,1123.305,18967.0,1615.0,1122.850961
NFLX,2025-11-10 09:50:00-05:00,1123.3,1123.97,1121.04,1121.435,12747.0,1190.0,1121.955985
NFLX,2025-11-10 09:51:00-05:00,1121.435,1123.68,1121.43,1123.0,12599.0,1056.0,1122.822515
NFLX,2025-11-10 09:52:00-05:00,1122.965,1123.325,1122.0,1122.575,6732.0,807.0,1122.899513
NFLX,2025-11-10 09:53:00-05:00,1122.435,1122.576,1120.45,1120.985,8771.0,881.0,1121.3945
NFLX,2025-11-10 09:54:00-05:00,1120.8,1121.98,1120.22,1120.91,7054.0,787.0,1121.210798
NFLX,2025-11-10 09:55:00-05:00,1121.2688,1122.75,1120.7,1122.38,6685.0,746.0,1121.466254
NFLX,2025-11-10 09:56:00-05:00,1122.45,1122.8,1121.325,1122.23,5190.0,654.0,1122.089052
NFLX,2025-11-10 09:57:00-05:00,1122.235,1123.0,1121.28,1121.53,9228.0,922.0,1122.490579
NFLX,2025-11-10 09:58:00-05:00,1121.525,1123.65,1121.525,1123.333,7045.0,831.0,1122.83466
NFLX,2025-11-10 09:59:00-05:00,1123.5305,1124.43,1123.17,1124.2,14354.0,1046.0,1123.794004
NFLX,2025-11-10 10:00:00-05:00,1124.21,1124.99,1123.46,1124.0666,14214.0,1150.0,1124.405417
NFLX,2025-11-10 10:01:00-05:00,1123.835,1124.4906,1123.33,1123.64,10926.0,966.0,1123.776233
NFLX,2025-11-10 10:02:00-05:00,1123.77,1123.77,1122.5,1123.02,10758.0,1075.0,1123.081766
NFLX,2025-11-10 10:03:00-05:00,1123.11,1123.41,1121.6,1122.155,15228.0,1317.0,1122.280576
NFLX,2025-11-10 10:04:00-05:00,1122.155,1122.805,1121.74,1122.01,8438.0,799.0,1122.413698
NFLX,2025-11-10 10:05:00-05:00,1121.99,1122.62,1121.74,1122.2,15731.0,1263.0,1122.054593
NFLX,2025-11-10 10:06:00-05:00,1122.1335,1122.86,1121.5825,1122.075,10308.0,1199.0,1122.431575
NFLX,2025-11-10 10:07:00-05:00,1121.66,1122.78,1120.76,1121.65,6618.0,805.0,1121.860043
NFLX,2025-11-10 10:08:00-05:00,1121.81,1122.29,1121.14,1121.335,8171.0,1022.0,1121.740172
NFLX,2025-11-10 10:09:00-05:00,1121.14,1122.59,1121.14,1122.58,4084.0,620.0,1121.659476
NFLX,2025-11-10 10:10:00-05:00,1122.58,1123.42,1122.18,1123.36,7773.0,902.0,1123.021787
NFLX,2025-11-10 10:11:00-05:00,1123.4199,1124.99,1122.91,1124.74,16520.0,1274.0,1124.332121
NFLX,2025-11-10 10:12:00-05:00,1124.815,1125.49,1124.0,1124.91,14029.0,1212.0,1124.771909
NFLX,2025-11-10 10:13:00-05:00,1125.02,1125.12,1123.42,1124.1575,10187.0,930.0,1124.138374
NFLX,2025-11-10 10:14:00-05:00,1124.2,1125.24,1124.0,1125.23,9721.0,915.0,1124.842222
NFLX,2025-11-10 10:15:00-05:00,1125.075,1125.99,1123.4,1124.35,14639.0,1296.0,1125.080158
NFLX,2025-11-10 10:16:00-05:00,1124.5,1124.5,1123.759,1124.07,8084.0,1020.0,1124.120654
NFLX,2025-11-10 10:17:00-05:00,1123.96,1124.86,1123.8701,1124.09,7133.0,837.0,1124.266789
NFLX,2025-11-10 10:18:00-05:00,1124.09,1124.25,1123.46,1123.67,8499.0,947.0,1123.883835
NFLX,2025-11-10 10:19:00-05:00,1123.705,1124.78,1123.03,1123.645,7833.0,838.0,1123.934946
NFLX,2025-11-10 10:20:00-05:00,1123.625,1124.5,1123.51,1124.37,6947.0,669.0,1123.900412
NFLX,2025-11-10 10:21:00-05:00,1124.21,1125.5,1124.04,1125.31,7366.0,1032.0,1124.734389
NFLX,2025-11-10 10:22:00-05:00,1125.4271,1126.27,1124.92,1125.6985,20025.0,1176.0,1125.63075
NFLX,2025-11-10 10:23:00-05:00,1125.55,1126.79,1125.13,1126.68,9194.0,943.0,1126.317149
NFLX,2025-11-10 10:24:00-05:00,1126.695,1127.1097,1125.58,1126.7699,18276.0,1185.0,1126.516549
NFLX,2025-11-10 10:25:00-05:00,1126.6593,1127.77,1126.11,1127.36,13339.0,1605.0,1127.029592
NFLX,2025-11-10 10:26:00-05:00,1127.65,1128.2,1126.58,1126.97,22630.0,1316.0,1127.675204
NFLX,2025-11-10 10:27:00-05:00,1126.955,1126.955,1124.6901,1125.58,10674.0,1014.0,1125.389795
NFLX,2025-11-10 10:28:00-05:00,1125.34,1126.17,1124.76,1124.91,8697.0,764.0,1125.514619
NFLX,2025-11-10 10:29:00-05:00,1124.79,1125.33,1124.48,1124.795,5751.0,734.0,1124.947892
NFLX,2025-11-10 10:30:00-05:00,1124.8,1124.98,1124.08,1124.655,5564.0,725.0,1124.510814
NFLX,2025-11-10 10:31:00-05:00,1124.86,1125.88,1124.655,1125.455,5860.0,708.0,1125.33362
NFLX,2025-11-10 10:32:00-05:00,1125.57,1125.8738,1124.21,1124.78,8000.0,677.0,1124.884355
NFLX,2025-11-10 10:33:00-05:00,1125.06,1125.48,1124.3001,1124.64,5792.0,688.0,1124.840133
NFLX,2025-11-10 10:34:00-05:00,1124.64,1125.48,1124.3401,1124.745,6405.0,780.0,1124.946146
NFLX,2025-11-10 10:35:00-05:00,1124.75,1125.4151,1124.52,1124.875,8860.0,782.0,1124.842215
NFLX,2025-11-10 10:36:00-05:00,1124.96,1126.89,1124.76,1126.765,6937.0,811.0,1126.063939
NFLX,2025-11-10 10:37:00-05:00,1126.95,1126.95,1124.55,1124.97,7622.0,819.0,1125.475906
NFLX,2025-11-10 10:38:00-05:00,1124.8,1125.2,1123.32,1123.6,8781.0,782.0,1124.384604
NFLX,2025-11-10 10:39:00-05:00,1123.6,1124.55,1123.31,1123.98,9333.0,837.0,1123.748316
