symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NKE,2025-11-10 09:30:00-05:00,61.75,62.01,61.6201,61.715,359475.0,2393.0,61.765024
NKE,2025-11-10 09:31:00-05:00,61.715,62.09,61.6531,61.6531,54554.0,689.0,61.858509
NKE,2025-11-10 09:32:00-05:00,61.72,61.775,61.24,61.24,70494.0,1281.0,61.463804
NKE,2025-11-10 09:33:00-05:00,61.24,61.46,61.21,61.37,90506.0,638.0,61.334168
NKE,2025-11-10 09:34:00-05:00,61.32,61.36,61.07,61.09,58391.0,1016.0,61.245416
NKE,2025-11-10 09:35:00-05:00,61.08,61.23,61.08,61.1865,18535.0,588.0,61.136719
NKE,2025-11-10 09:36:00-05:00,61.19,61.29,61.13,61.21,99304.0,753.0,61.223672
NKE,2025-11-10 09:37:00-05:00,61.2,61.43,61.1714,61.34,30644.0,389.0,61.31894
NKE,2025-11-10 09:38:00-05:00,61.37,61.46,61.32,61.375,35395.0,474.0,61.382471
NKE,2025-11-10 09:39:00-05:00,61.3897,61.435,61.35,61.435,29442.0,457.0,61.387059
NKE,2025-11-10 09:40:00-05:00,61.405,61.44,61.32,61.39,71742.0,685.0,61.36443
NKE,2025-11-10 09:41:00-05:00,61.39,61.49,61.38,61.415,36358.0,425.0,61.438114
NKE,2025-11-10 09:42:00-05:00,61.4325,61.48,61.4,61.425,37926.0,615.0,61.441519
NKE,2025-11-10 09:43:00-05:00,61.44,61.56,61.44,61.49,25550.0,437.0,61.493292
NKE,2025-11-10 09:44:00-05:00,61.49,61.6,61.48,61.5625,23536.0,353.0,61.529648
NKE,2025-11-10 09:45:00-05:00,61.555,61.62,61.39,61.39,84564.0,706.0,61.526904
NKE,2025-11-10 09:46:00-05:00,61.41,61.48,61.28,61.3,58549.0,676.0,61.408929
NKE,2025-11-10 09:47:00-05:00,61.32,61.5,61.31,61.46,58076.0,950.0,61.429896
NKE,2025-11-10 09:48:00-05:00,61.469,61.469,61.33,61.34,32130.0,470.0,61.39474
NKE,2025-11-10 09:49:00-05:00,61.34,61.44,61.335,61.365,51095.0,575.0,61.391751
NKE,2025-11-10 09:50:00-05:00,61.385,61.45,61.3488,61.35,30904.0,441.0,61.402087
NKE,2025-11-10 09:51:00-05:00,61.36,61.369,61.25,61.25,31779.0,611.0,61.308272
NKE,2025-11-10 09:52:00-05:00,61.24,61.36,61.23,61.315,38718.0,473.0,61.317952
NKE,2025-11-10 09:53:00-05:00,61.33,61.33,61.22,61.25,33686.0,399.0,61.271776
NKE,2025-11-10 09:54:00-05:00,61.25,61.3,61.23,61.285,55245.0,661.0,61.264564
NKE,2025-11-10 09:55:00-05:00,61.28,61.365,61.27,61.36,29214.0,376.0,61.327508
NKE,2025-11-10 09:56:00-05:00,61.35,61.38,61.295,61.3,49753.0,741.0,61.339366
NKE,2025-11-10 09:57:00-05:00,61.305,61.35,61.305,61.35,33513.0,338.0,61.326918
NKE,2025-11-10 09:58:00-05:00,61.345,61.36,61.27,61.329,32035.0,442.0,61.320259
NKE,2025-11-10 09:59:00-05:00,61.33,61.35,61.21,61.2799,23940.0,345.0,61.301866
NKE,2025-11-10 10:00:00-05:00,61.25,61.39,61.23,61.305,46036.0,721.0,61.329955
NKE,2025-11-10 10:01:00-05:00,61.29,61.34,61.2,61.24,32268.0,527.0,61.283347
NKE,2025-11-10 10:02:00-05:00,61.24,61.24,61.08,61.13,27325.0,539.0,61.140276
NKE,2025-11-10 10:03:00-05:00,61.13,61.29,61.1221,61.265,25559.0,355.0,61.229348
NKE,2025-11-10 10:04:00-05:00,61.265,61.3,61.2,61.21,19906.0,347.0,61.259022
NKE,2025-11-10 10:05:00-05:00,61.232,61.28,61.19,61.225,91119.0,1362.0,61.22962
NKE,2025-11-10 10:06:00-05:00,61.225,61.23,61.145,61.22,17171.0,330.0,61.195279
NKE,2025-11-10 10:07:00-05:00,61.2499,61.2499,61.1375,61.205,30858.0,404.0,61.195363
NKE,2025-11-10 10:08:00-05:00,61.205,61.225,61.18,61.225,18691.0,306.0,61.199194
NKE,2025-11-10 10:09:00-05:00,61.225,61.29,61.2,61.29,11524.0,388.0,61.249659
NKE,2025-11-10 10:10:00-05:00,61.3,61.31,61.23,61.23,28795.0,426.0,61.27771
NKE,2025-11-10 10:11:00-05:00,61.23,61.27,61.22,61.23,7959.0,231.0,61.237909
NKE,2025-11-10 10:12:00-05:00,61.23,61.25,61.19,61.2,13550.0,288.0,61.218244
NKE,2025-11-10 10:13:00-05:00,61.2088,61.2488,61.17,61.22,14950.0,269.0,61.20619
NKE,2025-11-10 10:14:00-05:00,61.21,61.29,61.21,61.25,9369.0,200.0,61.254578
NKE,2025-11-10 10:15:00-05:00,61.26,61.31,61.23,61.24,20307.0,247.0,61.277194
NKE,2025-11-10 10:16:00-05:00,61.25,61.26,61.19,61.225,22629.0,297.0,61.230987
NKE,2025-11-10 10:17:00-05:00,61.225,61.23,61.14,61.17,32815.0,480.0,61.19604
NKE,2025-11-10 10:18:00-05:00,61.17,61.185,61.09,61.1,49689.0,520.0,61.139941
NKE,2025-11-10 10:19:00-05:00,61.09,61.1,61.06,61.0699,19453.0,390.0,61.078541
NKE,2025-11-10 10:20:00-05:00,61.0602,61.08,61.04,61.04,19770.0,373.0,61.060264
NKE,2025-11-10 10:21:00-05:00,61.0499,61.06,60.99,61.0499,43740.0,852.0,61.012026
NKE,2025-11-10 10:22:00-05:00,61.05,61.07,61.0,61.0,28552.0,426.0,61.023134
NKE,2025-11-10 10:23:00-05:00,60.99,61.055,60.99,61.055,25315.0,318.0,61.022906
NKE,2025-11-10 10:24:00-05:00,61.04,61.05,60.96,60.9897,33218.0,456.0,61.005601
NKE,2025-11-10 10:25:00-05:00,60.98,61.0,60.96,60.965,17390.0,322.0,60.980306
NKE,2025-11-10 10:26:00-05:00,60.9501,60.955,60.925,60.94,25821.0,370.0,60.940214
NKE,2025-11-10 10:27:00-05:00,60.93,60.98,60.895,60.97,48236.0,601.0,60.930599
NKE,2025-11-10 10:28:00-05:00,60.97,60.9999,60.95,60.9903,32255.0,307.0,60.970126
NKE,2025-11-10 10:29:00-05:00,61.0,61.0,60.96,60.9652,23108.0,362.0,60.97944
NKE,2025-11-10 10:30:00-05:00,60.96,61.01,60.95,60.96,20828.0,270.0,60.982946
NKE,2025-11-10 10:31:00-05:00,60.97,61.0,60.93,61.0,11830.0,281.0,60.966928
NKE,2025-11-10 10:32:00-05:00,61.005,61.1,60.99,61.0901,51774.0,482.0,61.030059
NKE,2025-11-10 10:33:00-05:00,61.1,61.1,61.02,61.07,47521.0,372.0,61.075705
