symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NOC,2025-11-10 09:30:00-05:00,564.8,564.805,562.29,563.2,12273.0,385.0,564.458434
NOC,2025-11-10 09:31:00-05:00,563.095,564.28,563.095,564.03,1372.0,85.0,563.586993
NOC,2025-11-10 09:32:00-05:00,564.03,564.8399,561.81,561.81,2251.0,176.0,563.466876
NOC,2025-11-10 09:33:00-05:00,562.175,562.175,559.82,559.92,4660.0,289.0,560.516661
NOC,2025-11-10 09:34:00-05:00,560.89,562.52,559.94,562.43,3437.0,221.0,561.403439
NOC,2025-11-10 09:35:00-05:00,562.415,563.3799,562.07,562.07,1927.0,88.0,562.844114
NOC,2025-11-10 09:36:00-05:00,562.56,563.74,562.56,563.34,1626.0,94.0,563.123985
NOC,2025-11-10 09:37:00-05:00,563.43,563.48,562.85,562.85,600.0,54.0,563.19544
NOC,2025-11-10 09:38:00-05:00,562.73,564.086,562.72,563.57,1162.0,85.0,563.196401
NOC,2025-11-10 09:39:00-05:00,562.7608,565.53,562.7608,565.53,858.0,59.0,564.104523
NOC,2025-11-10 09:40:00-05:00,565.65,567.06,565.65,566.175,1557.0,83.0,566.413456
NOC,2025-11-10 09:41:00-05:00,565.36,565.64,565.23,565.23,375.0,49.0,565.41
NOC,2025-11-10 09:42:00-05:00,565.23,565.23,564.6152,564.72,359.0,41.0,564.978359
NOC,2025-11-10 09:43:00-05:00,564.58,565.3,564.435,564.66,1348.0,65.0,564.820154
NOC,2025-11-10 09:44:00-05:00,564.66,565.3,563.78,563.78,1350.0,79.0,564.539278
NOC,2025-11-10 09:45:00-05:00,563.47,563.965,563.42,563.79,780.0,49.0,563.765027
NOC,2025-11-10 09:46:00-05:00,563.17,564.13,563.14,563.8,1250.0,89.0,563.601386
NOC,2025-11-10 09:47:00-05:00,563.845,565.24,563.7,564.782,4811.0,196.0,564.165535
NOC,2025-11-10 09:48:00-05:00,564.4,565.2936,564.0,565.2936,1501.0,93.0,564.494935
NOC,2025-11-10 09:49:00-05:00,564.84,564.84,564.4715,564.665,389.0,51.0,564.653167
NOC,2025-11-10 09:50:00-05:00,564.25,564.3747,563.49,563.49,1142.0,78.0,563.819408
NOC,2025-11-10 09:51:00-05:00,563.84,563.865,563.55,563.865,552.0,72.0,563.807674
NOC,2025-11-10 09:52:00-05:00,563.865,564.46,563.535,564.46,2233.0,156.0,563.900092
NOC,2025-11-10 09:53:00-05:00,564.06,564.5,563.85,564.09,682.0,77.0,564.0625
NOC,2025-11-10 09:54:00-05:00,563.83,563.86,562.81,562.89,4149.0,205.0,563.354882
NOC,2025-11-10 09:55:00-05:00,562.89,563.56,562.62,563.075,4235.0,205.0,563.135895
NOC,2025-11-10 09:56:00-05:00,563.075,563.5,563.075,563.075,1316.0,107.0,563.40091
NOC,2025-11-10 09:57:00-05:00,563.075,563.075,563.04,563.04,340.0,67.0,563.054
NOC,2025-11-10 09:58:00-05:00,562.82,562.82,562.64,562.64,556.0,78.0,562.73
NOC,2025-11-10 09:59:00-05:00,562.63,562.63,561.745,561.92,1106.0,137.0,562.127379
NOC,2025-11-10 10:00:00-05:00,561.65,562.22,561.65,562.105,944.0,159.0,562.022222
NOC,2025-11-10 10:01:00-05:00,562.42,562.67,561.6601,562.59,1800.0,140.0,562.424261
NOC,2025-11-10 10:02:00-05:00,562.64,562.64,562.555,562.555,275.0,52.0,562.6
NOC,2025-11-10 10:03:00-05:00,562.715,563.0,562.715,562.735,719.0,67.0,562.886622
NOC,2025-11-10 10:04:00-05:00,562.73,563.2201,562.73,563.2201,385.0,62.0,563.001061
NOC,2025-11-10 10:05:00-05:00,562.73,562.73,561.275,561.56,1681.0,115.0,561.768433
NOC,2025-11-10 10:06:00-05:00,560.95,561.03,560.64,560.64,550.0,84.0,560.862353
NOC,2025-11-10 10:07:00-05:00,561.03,561.75,560.825,561.49,2547.0,133.0,561.347066
NOC,2025-11-10 10:08:00-05:00,562.0,562.18,562.0,562.075,529.0,47.0,562.081667
NOC,2025-11-10 10:09:00-05:00,561.95,562.295,561.95,562.295,718.0,56.0,562.228598
NOC,2025-11-10 10:10:00-05:00,562.19,562.8475,562.19,562.8475,1337.0,101.0,562.29284
NOC,2025-11-10 10:11:00-05:00,562.49,562.49,562.11,562.11,872.0,67.0,562.296559
NOC,2025-11-10 10:12:00-05:00,562.48,564.22,562.48,564.22,1989.0,134.0,563.277507
NOC,2025-11-10 10:13:00-05:00,563.885,563.885,563.085,563.085,1784.0,140.0,563.458414
NOC,2025-11-10 10:14:00-05:00,562.37,562.37,561.65,561.65,401.0,60.0,562.075952
NOC,2025-11-10 10:15:00-05:00,561.67,562.27,561.67,562.27,452.0,42.0,561.92
NOC,2025-11-10 10:16:00-05:00,561.63,562.27,561.63,562.27,1101.0,60.0,562.19233
NOC,2025-11-10 10:17:00-05:00,562.01,562.39,562.01,562.02,1298.0,61.0,562.037835
NOC,2025-11-10 10:18:00-05:00,562.02,562.96,562.01,562.655,3312.0,170.0,562.36558
NOC,2025-11-10 10:19:00-05:00,562.655,563.32,562.655,563.155,2724.0,83.0,562.804705
NOC,2025-11-10 10:20:00-05:00,563.77,563.82,563.77,563.82,398.0,45.0,563.795
NOC,2025-11-10 10:21:00-05:00,563.635,564.11,563.29,563.43,8789.0,241.0,563.690336
NOC,2025-11-10 10:22:00-05:00,563.1033,563.9,563.1033,563.845,490.0,50.0,563.673461
NOC,2025-11-10 10:23:00-05:00,564.1,564.625,564.1,564.355,2823.0,103.0,564.556219
NOC,2025-11-10 10:24:00-05:00,564.545,564.55,564.54,564.55,503.0,89.0,564.547233
NOC,2025-11-10 10:25:00-05:00,564.55,564.55,564.03,564.395,1121.0,75.0,564.276931
NOC,2025-11-10 10:26:00-05:00,564.39,564.39,562.56,563.37,7386.0,169.0,562.868917
