symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NUE,2025-11-10 09:30:00-05:00,144.78,144.98,144.685,144.685,19362.0,249.0,144.779012
NUE,2025-11-10 09:31:00-05:00,144.84,144.84,144.37,144.44,4079.0,102.0,144.661531
NUE,2025-11-10 09:32:00-05:00,144.47,144.54,144.17,144.17,4784.0,195.0,144.31322
NUE,2025-11-10 09:33:00-05:00,144.52,144.6,143.99,144.15,4270.0,123.0,144.3515
NUE,2025-11-10 09:34:00-05:00,144.15,144.15,144.0461,144.145,828.0,35.0,144.12622
NUE,2025-11-10 09:35:00-05:00,144.45,144.45,143.91,143.99,1218.0,52.0,144.096107
NUE,2025-11-10 09:36:00-05:00,144.13,144.13,143.99,143.99,1404.0,63.0,144.06
NUE,2025-11-10 09:37:00-05:00,143.914,144.1852,143.914,144.1852,1753.0,39.0,143.973532
NUE,2025-11-10 09:38:00-05:00,143.71,143.71,143.2856,143.2856,2145.0,71.0,143.544378
NUE,2025-11-10 09:39:00-05:00,143.68,143.77,143.67,143.74,2063.0,61.0,143.705385
NUE,2025-11-10 09:40:00-05:00,143.7,143.93,143.7,143.7,1147.0,50.0,143.74
NUE,2025-11-10 09:41:00-05:00,143.675,143.86,143.675,143.855,1297.0,43.0,143.816667
NUE,2025-11-10 09:42:00-05:00,143.53,143.54,143.51,143.51,1728.0,79.0,143.526028
NUE,2025-11-10 09:43:00-05:00,143.9317,143.9317,143.4,143.4,1138.0,41.0,143.617974
NUE,2025-11-10 09:44:00-05:00,143.22,143.69,143.22,143.69,1686.0,49.0,143.442727
NUE,2025-11-10 09:45:00-05:00,143.595,144.06,143.595,143.97,3703.0,73.0,143.871797
NUE,2025-11-10 09:46:00-05:00,144.09,144.09,144.09,144.09,672.0,29.0,144.09
NUE,2025-11-10 09:47:00-05:00,144.09,144.22,143.85,144.085,1824.0,53.0,144.040556
NUE,2025-11-10 09:48:00-05:00,143.79,143.79,143.65,143.65,1346.0,55.0,143.732
NUE,2025-11-10 09:49:00-05:00,143.61,143.61,143.3,143.395,1795.0,57.0,143.3985
NUE,2025-11-10 09:50:00-05:00,143.35,143.51,143.32,143.32,1565.0,52.0,143.419909
NUE,2025-11-10 09:51:00-05:00,143.4,143.4,143.4,143.4,386.0,17.0,143.4
NUE,2025-11-10 09:52:00-05:00,143.39,143.42,143.15,143.42,6074.0,124.0,143.289663
NUE,2025-11-10 09:53:00-05:00,143.34,143.42,143.29,143.29,1723.0,58.0,143.37
NUE,2025-11-10 09:54:00-05:00,143.3,143.33,142.78,142.78,3883.0,105.0,143.06125
