symbol,timestamp,open,high,low,close,volume,trade_count,vwap
O,2025-11-10 09:30:00-05:00,56.88,57.03,56.77,56.83,139556.0,2852.0,56.870613
O,2025-11-10 09:31:00-05:00,56.8233,56.95,56.817,56.895,25372.0,508.0,56.896435
O,2025-11-10 09:32:00-05:00,56.9,56.905,56.81,56.81,13490.0,405.0,56.863087
O,2025-11-10 09:33:00-05:00,56.835,56.88,56.73,56.73,19044.0,569.0,56.788516
O,2025-11-10 09:34:00-05:00,56.73,56.84,56.73,56.84,8887.0,315.0,56.759461
O,2025-11-10 09:35:00-05:00,56.81,56.85,56.665,56.665,28482.0,857.0,56.759824
O,2025-11-10 09:36:00-05:00,56.665,56.7,56.6187,56.62,30080.0,815.0,56.6654
O,2025-11-10 09:37:00-05:00,56.62,56.65,56.58,56.65,21222.0,629.0,56.616831
O,2025-11-10 09:38:00-05:00,56.645,56.645,56.575,56.595,10589.0,304.0,56.608832
O,2025-11-10 09:39:00-05:00,56.6,56.61,56.585,56.595,7463.0,264.0,56.603074
O,2025-11-10 09:40:00-05:00,56.5941,56.61,56.535,56.535,24571.0,500.0,56.58032
O,2025-11-10 09:41:00-05:00,56.54,56.5686,56.5201,56.525,14723.0,370.0,56.542646
O,2025-11-10 09:42:00-05:00,56.52,56.52,56.465,56.5,38947.0,838.0,56.497446
O,2025-11-10 09:43:00-05:00,56.47,56.54,56.46,56.54,24975.0,485.0,56.500773
O,2025-11-10 09:44:00-05:00,56.53,56.59,56.45,56.45,25592.0,586.0,56.544653
O,2025-11-10 09:45:00-05:00,56.46,56.59,56.46,56.59,14339.0,299.0,56.508863
O,2025-11-10 09:46:00-05:00,56.59,56.59,56.51,56.528,19557.0,310.0,56.546415
O,2025-11-10 09:47:00-05:00,56.51,56.51,56.46,56.485,22769.0,359.0,56.487108
O,2025-11-10 09:48:00-05:00,56.49,56.57,56.47,56.5646,18011.0,381.0,56.528257
O,2025-11-10 09:49:00-05:00,56.55,56.57,56.51,56.515,14345.0,358.0,56.537075
O,2025-11-10 09:50:00-05:00,56.53,56.6065,56.515,56.57,27457.0,406.0,56.568068
O,2025-11-10 09:51:00-05:00,56.58,56.623,56.55,56.57,13879.0,300.0,56.58989
O,2025-11-10 09:52:00-05:00,56.58,56.64,56.58,56.63,9101.0,203.0,56.614899
