symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PANW,2025-11-10 09:30:00-05:00,214.24,215.065,214.15,214.815,95631.0,1345.0,214.445569
PANW,2025-11-10 09:31:00-05:00,214.53,215.41,214.51,215.25,21618.0,511.0,214.946602
PANW,2025-11-10 09:32:00-05:00,215.45,215.45,214.035,214.3,32999.0,626.0,214.533233
PANW,2025-11-10 09:33:00-05:00,214.3,214.575,213.7201,213.7201,24411.0,604.0,214.262781
PANW,2025-11-10 09:34:00-05:00,214.09,214.7,214.09,214.7,12311.0,412.0,214.438305
PANW,2025-11-10 09:35:00-05:00,214.455,215.1891,214.39,214.7765,24616.0,521.0,214.746086
PANW,2025-11-10 09:36:00-05:00,215.065,215.065,214.71,214.77,7176.0,168.0,214.898042
PANW,2025-11-10 09:37:00-05:00,214.73,215.28,214.61,215.1,7078.0,240.0,214.958028
PANW,2025-11-10 09:38:00-05:00,215.1,215.3199,214.7163,215.05,7627.0,198.0,214.954135
PANW,2025-11-10 09:39:00-05:00,215.319,215.319,214.8025,214.825,6627.0,229.0,215.024206
PANW,2025-11-10 09:40:00-05:00,214.7858,215.13,214.7401,214.9,9440.0,264.0,214.916839
PANW,2025-11-10 09:41:00-05:00,214.95,215.03,214.45,214.45,10274.0,369.0,214.698617
PANW,2025-11-10 09:42:00-05:00,214.39,214.48,214.09,214.19,13302.0,353.0,214.32016
PANW,2025-11-10 09:43:00-05:00,214.0,214.0919,213.6,213.865,13352.0,412.0,213.870522
PANW,2025-11-10 09:44:00-05:00,213.95,214.09,213.71,213.71,6761.0,228.0,213.832819
PANW,2025-11-10 09:45:00-05:00,213.95,214.24,213.764,214.15,8323.0,226.0,214.086789
PANW,2025-11-10 09:46:00-05:00,214.135,214.27,213.77,213.95,14034.0,424.0,214.040601
PANW,2025-11-10 09:47:00-05:00,214.14,214.2458,213.8341,214.025,3869.0,161.0,214.03229
PANW,2025-11-10 09:48:00-05:00,214.025,214.08,213.5,213.73,10262.0,280.0,213.774397
PANW,2025-11-10 09:49:00-05:00,213.74,214.0,213.65,213.65,5779.0,230.0,213.861896
PANW,2025-11-10 09:50:00-05:00,213.68,213.8216,213.31,213.48,9370.0,265.0,213.586336
PANW,2025-11-10 09:51:00-05:00,213.516,213.72,213.516,213.61,4811.0,141.0,213.587633
PANW,2025-11-10 09:52:00-05:00,213.49,213.6,213.415,213.415,5444.0,313.0,213.467609
PANW,2025-11-10 09:53:00-05:00,213.415,213.66,213.415,213.625,5541.0,605.0,213.548974
PANW,2025-11-10 09:54:00-05:00,213.67,213.87,213.54,213.645,10013.0,491.0,213.726494
PANW,2025-11-10 09:55:00-05:00,213.625,213.85,213.5,213.85,7724.0,348.0,213.592741
PANW,2025-11-10 09:56:00-05:00,213.72,213.79,213.59,213.6267,5689.0,211.0,213.733339
PANW,2025-11-10 09:57:00-05:00,213.67,213.81,213.58,213.645,3634.0,176.0,213.669808
PANW,2025-11-10 09:58:00-05:00,213.69,213.705,213.54,213.63,4429.0,170.0,213.622407
PANW,2025-11-10 09:59:00-05:00,213.63,213.75,213.51,213.51,16991.0,352.0,213.633791
PANW,2025-11-10 10:00:00-05:00,213.515,213.85,213.17,213.295,13759.0,415.0,213.511464
PANW,2025-11-10 10:01:00-05:00,213.295,213.67,213.27,213.48,11917.0,359.0,213.447265
PANW,2025-11-10 10:02:00-05:00,213.39,213.47,213.3168,213.395,3848.0,148.0,213.374728
PANW,2025-11-10 10:03:00-05:00,213.3869,213.53,213.34,213.49,6242.0,191.0,213.438455
PANW,2025-11-10 10:04:00-05:00,213.49,213.625,213.3314,213.56,7806.0,177.0,213.481945
PANW,2025-11-10 10:05:00-05:00,213.45,213.6,213.45,213.49,5073.0,110.0,213.493899
PANW,2025-11-10 10:06:00-05:00,213.33,213.76,213.32,213.76,8740.0,266.0,213.482723
PANW,2025-11-10 10:07:00-05:00,213.635,213.635,213.12,213.125,7994.0,267.0,213.373017
PANW,2025-11-10 10:08:00-05:00,213.1,213.1,212.79,212.87,15793.0,441.0,212.948344
PANW,2025-11-10 10:09:00-05:00,213.11,213.24,213.0,213.125,5615.0,218.0,213.096981
PANW,2025-11-10 10:10:00-05:00,213.3299,213.3299,212.935,212.935,7668.0,242.0,213.115173
PANW,2025-11-10 10:11:00-05:00,212.935,213.105,212.86,213.105,5369.0,152.0,212.953587
PANW,2025-11-10 10:12:00-05:00,213.13,213.375,213.125,213.29,5298.0,165.0,213.257177
PANW,2025-11-10 10:13:00-05:00,213.3999,213.6,213.25,213.6,6679.0,224.0,213.376939
PANW,2025-11-10 10:14:00-05:00,213.62,213.67,213.26,213.39,8876.0,267.0,213.436903
PANW,2025-11-10 10:15:00-05:00,213.35,213.435,213.35,213.435,2126.0,114.0,213.403252
PANW,2025-11-10 10:16:00-05:00,213.435,213.435,213.2,213.26,4746.0,172.0,213.303602
PANW,2025-11-10 10:17:00-05:00,213.36,213.5,213.32,213.325,3390.0,157.0,213.395331
PANW,2025-11-10 10:18:00-05:00,213.33,213.42,213.31,213.42,3733.0,130.0,213.347378
PANW,2025-11-10 10:19:00-05:00,213.33,213.43,213.315,213.385,5318.0,161.0,213.348733
PANW,2025-11-10 10:20:00-05:00,213.39,213.89,213.335,213.89,7901.0,245.0,213.674148
PANW,2025-11-10 10:21:00-05:00,213.795,214.0,213.7,213.755,13376.0,378.0,213.846307
PANW,2025-11-10 10:22:00-05:00,213.76,213.76,213.49,213.49,9091.0,287.0,213.607128
PANW,2025-11-10 10:23:00-05:00,213.5918,213.72,213.525,213.695,6439.0,442.0,213.613133
PANW,2025-11-10 10:24:00-05:00,213.59,213.87,213.59,213.845,3867.0,140.0,213.773035
PANW,2025-11-10 10:25:00-05:00,213.9,214.26,213.9,214.1,7480.0,227.0,214.07572
PANW,2025-11-10 10:26:00-05:00,214.13,214.13,213.98,214.0324,5897.0,213.0,214.043084
PANW,2025-11-10 10:27:00-05:00,214.1299,214.1299,213.93,214.03,8477.0,171.0,214.074787
PANW,2025-11-10 10:28:00-05:00,214.19,214.2,214.08,214.1,3919.0,126.0,214.160793
PANW,2025-11-10 10:29:00-05:00,214.2,214.31,214.03,214.06,6020.0,216.0,214.099166
PANW,2025-11-10 10:30:00-05:00,214.135,214.16,213.81,213.87,9952.0,350.0,213.943698
PANW,2025-11-10 10:31:00-05:00,213.96,214.14,213.96,214.13,5289.0,164.0,214.050069
PANW,2025-11-10 10:32:00-05:00,214.1727,214.34,213.93,214.09,8838.0,239.0,214.079905
PANW,2025-11-10 10:33:00-05:00,214.0,214.09,213.85,213.995,6398.0,208.0,213.983715
PANW,2025-11-10 10:34:00-05:00,214.09,214.15,213.98,214.15,5605.0,123.0,214.097332
PANW,2025-11-10 10:35:00-05:00,213.9679,214.11,213.665,213.715,11500.0,312.0,213.927558
PANW,2025-11-10 10:36:00-05:00,213.71,213.86,213.54,213.63,6006.0,227.0,213.694793
PANW,2025-11-10 10:37:00-05:00,213.512,213.57,213.36,213.3604,4902.0,156.0,213.439924
PANW,2025-11-10 10:38:00-05:00,213.57,213.65,213.04,213.04,5470.0,231.0,213.342666
PANW,2025-11-10 10:39:00-05:00,213.32,213.38,213.255,213.38,2550.0,115.0,213.274
PANW,2025-11-10 10:40:00-05:00,213.26,213.67,213.26,213.585,8794.0,259.0,213.499651
PANW,2025-11-10 10:41:00-05:00,213.47,213.515,213.0643,213.27,8373.0,198.0,213.307038
PANW,2025-11-10 10:42:00-05:00,213.42,213.42,213.16,213.315,4865.0,132.0,213.184773
