symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PEP,2025-11-10 09:30:00-05:00,142.49,142.68,142.0,142.675,121135.0,1929.0,142.464713
PEP,2025-11-10 09:31:00-05:00,142.675,142.92,142.63,142.75,17497.0,372.0,142.803185
PEP,2025-11-10 09:32:00-05:00,142.75,142.8,142.41,142.43,20869.0,293.0,142.607749
PEP,2025-11-10 09:33:00-05:00,142.465,142.78,142.465,142.6,8105.0,253.0,142.622873
PEP,2025-11-10 09:34:00-05:00,142.6,142.65,142.48,142.64,9132.0,234.0,142.58488
PEP,2025-11-10 09:35:00-05:00,142.65,142.66,142.34,142.35,7613.0,321.0,142.45422
PEP,2025-11-10 09:36:00-05:00,142.4,142.4,142.07,142.07,11704.0,301.0,142.228787
PEP,2025-11-10 09:37:00-05:00,142.12,142.335,142.035,142.325,8252.0,248.0,142.178331
PEP,2025-11-10 09:38:00-05:00,142.27,142.35,141.975,141.975,17467.0,398.0,142.164996
PEP,2025-11-10 09:39:00-05:00,141.97,142.17,141.96,141.96,13429.0,378.0,142.052961
PEP,2025-11-10 09:40:00-05:00,141.94,142.04,141.8,141.8,19485.0,593.0,141.910403
PEP,2025-11-10 09:41:00-05:00,141.79,141.835,141.68,141.7,14590.0,489.0,141.764305
PEP,2025-11-10 09:42:00-05:00,141.68,141.69,141.37,141.37,28577.0,663.0,141.528871
PEP,2025-11-10 09:43:00-05:00,141.37,141.4985,141.26,141.4985,12059.0,466.0,141.381274
PEP,2025-11-10 09:44:00-05:00,141.46,141.58,141.32,141.33,21678.0,347.0,141.432427
PEP,2025-11-10 09:45:00-05:00,141.39,141.58,141.345,141.5,20309.0,417.0,141.438716
PEP,2025-11-10 09:46:00-05:00,141.55,141.57,141.4001,141.55,17052.0,298.0,141.496451
PEP,2025-11-10 09:47:00-05:00,141.5699,141.68,141.5125,141.65,16185.0,393.0,141.579548
PEP,2025-11-10 09:48:00-05:00,141.56,141.74,141.51,141.65,10662.0,302.0,141.650441
PEP,2025-11-10 09:49:00-05:00,141.7,141.78,141.665,141.77,9219.0,254.0,141.723493
PEP,2025-11-10 09:50:00-05:00,141.8,141.95,141.77,141.915,21258.0,327.0,141.886006
PEP,2025-11-10 09:51:00-05:00,141.88,141.93,141.76,141.825,17296.0,392.0,141.853346
PEP,2025-11-10 09:52:00-05:00,141.88,142.1,141.88,142.1,11765.0,275.0,142.007068
PEP,2025-11-10 09:53:00-05:00,142.095,142.14,141.9,141.915,8362.0,229.0,142.042019
PEP,2025-11-10 09:54:00-05:00,141.97,141.999,141.8,141.86,9660.0,271.0,141.891014
PEP,2025-11-10 09:55:00-05:00,141.86,141.9,141.69,141.71,12411.0,301.0,141.799196
PEP,2025-11-10 09:56:00-05:00,141.74,141.8099,141.635,141.75,9584.0,285.0,141.732781
PEP,2025-11-10 09:57:00-05:00,141.81,141.94,141.81,141.94,5655.0,232.0,141.862636
