symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PFE,2025-11-10 09:30:00-05:00,24.66,24.75,24.6,24.71,100004.0,737.0,24.709966
PFE,2025-11-10 09:31:00-05:00,24.71,24.78,24.68,24.69,98039.0,593.0,24.74661
PFE,2025-11-10 09:32:00-05:00,24.69,24.73,24.69,24.71,69259.0,347.0,24.713749
PFE,2025-11-10 09:33:00-05:00,24.72,24.78,24.7,24.72,149473.0,894.0,24.7412
PFE,2025-11-10 09:34:00-05:00,24.73,24.87,24.71,24.835,3556563.0,7714.0,24.765424
PFE,2025-11-10 09:35:00-05:00,24.835,24.855,24.73,24.755,1482792.0,2801.0,24.760819
PFE,2025-11-10 09:36:00-05:00,24.75,24.83,24.75,24.815,365656.0,1564.0,24.796366
PFE,2025-11-10 09:37:00-05:00,24.8107,24.84,24.78,24.785,253162.0,962.0,24.813762
PFE,2025-11-10 09:38:00-05:00,24.785,24.8,24.7102,24.7611,340031.0,1325.0,24.762595
PFE,2025-11-10 09:39:00-05:00,24.76,24.83,24.76,24.83,338889.0,1252.0,24.800477
PFE,2025-11-10 09:40:00-05:00,24.82,24.83,24.79,24.805,273360.0,896.0,24.808057
PFE,2025-11-10 09:41:00-05:00,24.8099,24.835,24.78,24.7909,374969.0,1168.0,24.808568
PFE,2025-11-10 09:42:00-05:00,24.795,24.8,24.725,24.76,195587.0,1005.0,24.764365
PFE,2025-11-10 09:43:00-05:00,24.755,24.815,24.74,24.8105,191141.0,850.0,24.784573
PFE,2025-11-10 09:44:00-05:00,24.81,24.82,24.79,24.795,140543.0,558.0,24.804301
PFE,2025-11-10 09:45:00-05:00,24.8,24.83,24.79,24.795,352674.0,1077.0,24.809036
PFE,2025-11-10 09:46:00-05:00,24.795,24.81,24.7901,24.8065,126167.0,509.0,24.803929
PFE,2025-11-10 09:47:00-05:00,24.805,24.82,24.7601,24.775,211691.0,1069.0,24.795496
PFE,2025-11-10 09:48:00-05:00,24.7703,24.78,24.73,24.755,229876.0,900.0,24.748822
PFE,2025-11-10 09:49:00-05:00,24.755,24.77,24.725,24.735,156978.0,625.0,24.74951
PFE,2025-11-10 09:50:00-05:00,24.73,24.7699,24.71,24.76,346432.0,1029.0,24.732484
PFE,2025-11-10 09:51:00-05:00,24.765,24.825,24.755,24.825,408242.0,1266.0,24.796866
PFE,2025-11-10 09:52:00-05:00,24.8201,24.87,24.8201,24.855,505464.0,1356.0,24.849506
PFE,2025-11-10 09:53:00-05:00,24.86,24.86,24.83,24.845,221334.0,850.0,24.846257
PFE,2025-11-10 09:54:00-05:00,24.845,24.885,24.845,24.8703,538139.0,1171.0,24.87101
PFE,2025-11-10 09:55:00-05:00,24.87,24.875,24.815,24.825,437706.0,1507.0,24.833329
