symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PG,2025-11-10 09:30:00-05:00,146.38,146.45,146.06,146.08,8186.0,198.0,146.305981
PG,2025-11-10 09:31:00-05:00,146.06,146.62,146.04,146.24,236015.0,2165.0,146.138647
PG,2025-11-10 09:32:00-05:00,146.29,146.32,145.85,145.94,460199.0,1871.0,146.00624
PG,2025-11-10 09:33:00-05:00,145.96,146.02,145.395,145.425,371659.0,1596.0,145.873385
PG,2025-11-10 09:34:00-05:00,145.445,145.595,145.33,145.555,35809.0,725.0,145.472262
PG,2025-11-10 09:35:00-05:00,145.555,145.73,145.25,145.25,48709.0,828.0,145.508883
PG,2025-11-10 09:36:00-05:00,145.23,145.48,145.16,145.17,33179.0,647.0,145.304772
PG,2025-11-10 09:37:00-05:00,145.2391,145.2391,144.98,145.13,65328.0,1156.0,145.077258
PG,2025-11-10 09:38:00-05:00,145.1475,145.23,144.91,144.99,28610.0,653.0,145.071259
PG,2025-11-10 09:39:00-05:00,144.99,145.2,144.96,145.13,28248.0,398.0,145.101318
PG,2025-11-10 09:40:00-05:00,145.1342,145.21,145.02,145.12,26435.0,467.0,145.122779
PG,2025-11-10 09:41:00-05:00,145.14,145.21,144.91,145.18,30259.0,684.0,145.04055
PG,2025-11-10 09:42:00-05:00,145.13,145.17,145.01,145.07,21556.0,502.0,145.085645
PG,2025-11-10 09:43:00-05:00,145.04,145.34,144.97,145.34,43435.0,797.0,145.097007
PG,2025-11-10 09:44:00-05:00,145.28,145.29,145.11,145.16,35457.0,671.0,145.229316
PG,2025-11-10 09:45:00-05:00,145.12,145.19,144.985,144.985,36352.0,780.0,145.111629
PG,2025-11-10 09:46:00-05:00,144.985,144.985,144.85,144.865,30610.0,717.0,144.909963
PG,2025-11-10 09:47:00-05:00,144.9,145.05,144.86,144.99,34513.0,736.0,144.967403
PG,2025-11-10 09:48:00-05:00,144.93,145.19,144.855,145.11,17992.0,526.0,145.052691
PG,2025-11-10 09:49:00-05:00,145.09,145.4297,145.09,145.33,18280.0,434.0,145.266086
PG,2025-11-10 09:50:00-05:00,145.33,145.57,145.33,145.48,31036.0,531.0,145.46342
PG,2025-11-10 09:51:00-05:00,145.36,145.44,145.21,145.3912,19648.0,419.0,145.307218
PG,2025-11-10 09:52:00-05:00,145.405,145.57,145.4001,145.53,22257.0,386.0,145.502011
PG,2025-11-10 09:53:00-05:00,145.5008,145.5008,145.355,145.428,22544.0,434.0,145.421724
PG,2025-11-10 09:54:00-05:00,145.44,145.445,145.33,145.37,15246.0,370.0,145.401174
PG,2025-11-10 09:55:00-05:00,145.375,145.5536,145.365,145.5536,9459.0,248.0,145.488878
PG,2025-11-10 09:56:00-05:00,145.55,145.55,145.365,145.47,14347.0,304.0,145.43817
PG,2025-11-10 09:57:00-05:00,145.46,145.58,145.37,145.56,14603.0,296.0,145.47131
PG,2025-11-10 09:58:00-05:00,145.57,145.62,145.425,145.455,33877.0,638.0,145.562944
PG,2025-11-10 09:59:00-05:00,145.44,145.71,145.41,145.655,44269.0,631.0,145.593997
PG,2025-11-10 10:00:00-05:00,145.7,145.7296,145.6,145.675,35832.0,718.0,145.671581
PG,2025-11-10 10:01:00-05:00,145.685,145.92,145.6201,145.8901,35860.0,577.0,145.761049
PG,2025-11-10 10:02:00-05:00,145.92,145.94,145.755,145.8,22300.0,577.0,145.854909
PG,2025-11-10 10:03:00-05:00,145.8,145.83,145.72,145.73,20529.0,616.0,145.770838
PG,2025-11-10 10:04:00-05:00,145.72,145.72,145.55,145.58,14326.0,570.0,145.630122
PG,2025-11-10 10:05:00-05:00,145.57,145.59,145.4,145.5718,15669.0,545.0,145.503722
PG,2025-11-10 10:06:00-05:00,145.55,145.64,145.46,145.53,20762.0,598.0,145.559328
PG,2025-11-10 10:07:00-05:00,145.49,145.72,145.49,145.6701,17557.0,499.0,145.617375
PG,2025-11-10 10:08:00-05:00,145.67,145.685,145.59,145.62,16300.0,478.0,145.642914
PG,2025-11-10 10:09:00-05:00,145.64,145.69,145.615,145.67,16770.0,446.0,145.675548
PG,2025-11-10 10:10:00-05:00,145.66,145.85,145.65,145.8385,9175.0,421.0,145.751295
PG,2025-11-10 10:11:00-05:00,145.82,145.82,145.64,145.68,14939.0,507.0,145.731592
PG,2025-11-10 10:12:00-05:00,145.65,145.65,145.4542,145.48,13764.0,776.0,145.536132
PG,2025-11-10 10:13:00-05:00,145.4851,145.605,145.46,145.585,14189.0,500.0,145.548073
PG,2025-11-10 10:14:00-05:00,145.56,145.6,145.5336,145.59,7474.0,389.0,145.561323
PG,2025-11-10 10:15:00-05:00,145.595,145.5963,145.4215,145.46,25777.0,589.0,145.526976
PG,2025-11-10 10:16:00-05:00,145.46,145.47,145.3,145.3,37572.0,724.0,145.377686
PG,2025-11-10 10:17:00-05:00,145.345,145.41,145.3,145.41,8596.0,478.0,145.344911
PG,2025-11-10 10:18:00-05:00,145.405,145.44,145.37,145.4,10299.0,476.0,145.408968
PG,2025-11-10 10:19:00-05:00,145.39,145.39,145.13,145.13,15663.0,678.0,145.288478
PG,2025-11-10 10:20:00-05:00,145.15,145.19,145.11,145.11,14289.0,553.0,145.141925
PG,2025-11-10 10:21:00-05:00,145.13,145.15,145.07,145.12,9713.0,412.0,145.112753
PG,2025-11-10 10:22:00-05:00,145.125,145.235,145.125,145.225,13475.0,488.0,145.185544
