symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PLD,2025-11-10 09:30:00-05:00,125.43,125.54,124.95,125.47,36444.0,202.0,125.425602
PLD,2025-11-10 09:31:00-05:00,125.95,125.97,125.64,125.65,932.0,37.0,125.813333
PLD,2025-11-10 09:32:00-05:00,125.93,125.93,125.38,125.67,10358.0,108.0,125.653813
PLD,2025-11-10 09:33:00-05:00,125.67,125.88,125.3863,125.3863,1869.0,54.0,125.629157
PLD,2025-11-10 09:34:00-05:00,125.635,125.635,125.51,125.57,1092.0,50.0,125.565851
PLD,2025-11-10 09:35:00-05:00,125.5525,125.5525,125.22,125.365,3206.0,89.0,125.354086
PLD,2025-11-10 09:36:00-05:00,125.34,125.34,125.34,125.34,430.0,24.0,125.34
PLD,2025-11-10 09:37:00-05:00,125.39,125.39,125.25,125.25,1658.0,60.0,125.329444
PLD,2025-11-10 09:38:00-05:00,125.335,125.335,125.194,125.194,1397.0,60.0,125.225828
PLD,2025-11-10 09:39:00-05:00,125.37,125.39,125.37,125.375,1418.0,62.0,125.377381
PLD,2025-11-10 09:40:00-05:00,125.375,125.54,125.33,125.33,2088.0,76.0,125.415626
PLD,2025-11-10 09:41:00-05:00,125.555,125.555,125.555,125.555,1680.0,64.0,125.555
PLD,2025-11-10 09:42:00-05:00,125.555,125.555,125.37,125.37,2840.0,71.0,125.511563
PLD,2025-11-10 09:43:00-05:00,125.415,125.495,125.29,125.495,7990.0,167.0,125.36863
PLD,2025-11-10 09:44:00-05:00,125.4978,125.4978,125.3384,125.395,7126.0,76.0,125.462292
PLD,2025-11-10 09:45:00-05:00,125.395,125.54,125.32,125.46,4471.0,114.0,125.412495
PLD,2025-11-10 09:46:00-05:00,125.455,125.54,125.39,125.54,2510.0,87.0,125.475593
PLD,2025-11-10 09:47:00-05:00,125.44,125.54,125.32,125.47,5714.0,137.0,125.412989
PLD,2025-11-10 09:48:00-05:00,125.335,125.49,125.33,125.49,5029.0,123.0,125.39148
PLD,2025-11-10 09:49:00-05:00,125.52,125.52,125.33,125.36,7353.0,156.0,125.39044
PLD,2025-11-10 09:50:00-05:00,125.3,125.39,125.27,125.31,6293.0,109.0,125.322094
PLD,2025-11-10 09:51:00-05:00,125.195,125.21,125.0,125.06,2775.0,95.0,125.129018
PLD,2025-11-10 09:52:00-05:00,125.05,125.05,124.97,125.045,3149.0,40.0,125.042906
PLD,2025-11-10 09:53:00-05:00,124.95,124.97,124.77,124.77,1461.0,56.0,124.914569
PLD,2025-11-10 09:54:00-05:00,125.0,125.08,125.0,125.0175,6018.0,104.0,125.021287
PLD,2025-11-10 09:55:00-05:00,125.075,125.14,125.055,125.055,2907.0,98.0,125.095446
PLD,2025-11-10 09:56:00-05:00,125.0,125.01,124.88,124.935,1978.0,65.0,124.9565
PLD,2025-11-10 09:57:00-05:00,125.02,125.085,125.005,125.085,3112.0,73.0,125.030258
PLD,2025-11-10 09:58:00-05:00,125.17,125.235,125.03,125.03,3580.0,93.0,125.151024
PLD,2025-11-10 09:59:00-05:00,125.0,125.16,124.84,124.84,1802.0,62.0,124.918676
PLD,2025-11-10 10:00:00-05:00,124.915,125.0199,124.78,124.78,2688.0,90.0,124.904987
PLD,2025-11-10 10:01:00-05:00,124.82,125.025,124.82,125.025,2907.0,77.0,124.938571
PLD,2025-11-10 10:02:00-05:00,124.9193,125.02,124.9193,124.9775,2289.0,72.0,124.964154
PLD,2025-11-10 10:03:00-05:00,124.995,125.06,124.87,124.88,8010.0,200.0,124.948508
PLD,2025-11-10 10:04:00-05:00,124.88,124.88,124.835,124.86,1849.0,64.0,124.858636
PLD,2025-11-10 10:05:00-05:00,124.8,125.005,124.8,125.005,5605.0,77.0,124.871234
PLD,2025-11-10 10:06:00-05:00,125.055,125.14,125.035,125.1,8281.0,115.0,125.08233
PLD,2025-11-10 10:07:00-05:00,125.065,125.065,125.0545,125.065,1852.0,59.0,125.062152
PLD,2025-11-10 10:08:00-05:00,125.0,125.0,125.0,125.0,1018.0,40.0,125.0
PLD,2025-11-10 10:09:00-05:00,125.005,125.0599,124.9046,125.04,35207.0,116.0,124.998027
PLD,2025-11-10 10:10:00-05:00,125.0,125.1439,124.9375,125.04,9853.0,155.0,125.036101
PLD,2025-11-10 10:11:00-05:00,125.025,125.025,125.01,125.01,1600.0,49.0,125.018621
PLD,2025-11-10 10:12:00-05:00,125.01,125.04,124.85,124.86,4040.0,133.0,124.957273
PLD,2025-11-10 10:13:00-05:00,124.865,124.865,124.78,124.79,1394.0,47.0,124.822667
PLD,2025-11-10 10:14:00-05:00,124.79,124.84,124.75,124.775,1910.0,59.0,124.79251
PLD,2025-11-10 10:15:00-05:00,124.74,124.755,124.74,124.755,944.0,39.0,124.75
PLD,2025-11-10 10:16:00-05:00,124.735,124.735,124.66,124.675,3957.0,95.0,124.7078
PLD,2025-11-10 10:17:00-05:00,124.75,124.755,124.71,124.71,1130.0,40.0,124.744
PLD,2025-11-10 10:18:00-05:00,124.65,124.67,124.57,124.57,2382.0,89.0,124.636037
PLD,2025-11-10 10:19:00-05:00,124.51,124.58,124.435,124.46,5035.0,123.0,124.510166
PLD,2025-11-10 10:20:00-05:00,124.52,124.67,124.4295,124.54,6619.0,50.0,124.529268
PLD,2025-11-10 10:21:00-05:00,124.55,124.66,124.55,124.66,5289.0,87.0,124.581323
PLD,2025-11-10 10:22:00-05:00,124.66,124.66,124.61,124.654,2961.0,55.0,124.656901
PLD,2025-11-10 10:23:00-05:00,124.67,124.78,124.67,124.78,5202.0,146.0,124.752879
PLD,2025-11-10 10:25:00-05:00,124.71,124.71,124.7,124.71,665.0,33.0,124.706667
PLD,2025-11-10 10:26:00-05:00,124.76,124.78,124.68,124.69,5326.0,171.0,124.736305
PLD,2025-11-10 10:27:00-05:00,124.59,124.615,124.57,124.58,2565.0,90.0,124.59549
PLD,2025-11-10 10:28:00-05:00,124.52,124.61,124.49,124.5875,7769.0,74.0,124.598267
PLD,2025-11-10 10:29:00-05:00,124.555,124.63,124.55,124.6,3062.0,96.0,124.585913
PLD,2025-11-10 10:30:00-05:00,124.54,124.59,124.51,124.58,2747.0,99.0,124.565833
PLD,2025-11-10 10:31:00-05:00,124.52,124.55,124.52,124.55,773.0,35.0,124.541758
PLD,2025-11-10 10:32:00-05:00,124.56,124.63,124.56,124.59,4552.0,95.0,124.569502
PLD,2025-11-10 10:33:00-05:00,124.5,124.5,124.37,124.37,3188.0,90.0,124.389175
PLD,2025-11-10 10:34:00-05:00,124.51,124.51,124.42,124.42,907.0,37.0,124.465
PLD,2025-11-10 10:35:00-05:00,124.475,124.51,124.4718,124.51,1121.0,44.0,124.482547
PLD,2025-11-10 10:36:00-05:00,124.52,124.6051,124.51,124.54,3091.0,95.0,124.539118
PLD,2025-11-10 10:37:00-05:00,124.5525,124.5525,124.5525,124.5525,824.0,38.0,124.5525
PLD,2025-11-10 10:38:00-05:00,124.475,124.495,124.475,124.49,1532.0,51.0,124.488064
PLD,2025-11-10 10:39:00-05:00,124.54,124.54,124.48,124.48,1425.0,63.0,124.51
PLD,2025-11-10 10:41:00-05:00,124.46,124.46,124.4295,124.4295,1605.0,67.0,124.4374
PLD,2025-11-10 10:42:00-05:00,124.3961,124.57,124.3961,124.52,4583.0,150.0,124.497772
PLD,2025-11-10 10:43:00-05:00,124.53,124.61,124.5138,124.61,2039.0,69.0,124.559526
PLD,2025-11-10 10:44:00-05:00,124.5455,124.63,124.53,124.56,3730.0,87.0,124.558305
PLD,2025-11-10 10:45:00-05:00,124.58,124.69,124.58,124.69,6003.0,98.0,124.637035
PLD,2025-11-10 10:46:00-05:00,124.61,124.64,124.58,124.58,1786.0,73.0,124.605289
PLD,2025-11-10 10:47:00-05:00,124.5583,124.5583,124.5583,124.5583,688.0,36.0,124.5583
PLD,2025-11-10 10:48:00-05:00,124.6,124.63,124.6,124.62,1494.0,56.0,124.624695
PLD,2025-11-10 10:49:00-05:00,124.69,124.69,124.5694,124.5694,1176.0,44.0,124.617862
PLD,2025-11-10 10:50:00-05:00,124.605,124.605,124.55,124.55,1369.0,72.0,124.571667
PLD,2025-11-10 10:51:00-05:00,124.5,124.5,124.38,124.38,3399.0,137.0,124.425415
PLD,2025-11-10 10:52:00-05:00,124.3,124.3,124.22,124.275,3564.0,83.0,124.252245
PLD,2025-11-10 10:53:00-05:00,124.305,124.35,124.305,124.35,1585.0,78.0,124.332795
PLD,2025-11-10 10:54:00-05:00,124.425,124.425,124.425,124.425,997.0,49.0,124.425
PLD,2025-11-10 10:55:00-05:00,124.43,124.435,124.4,124.435,1484.0,50.0,124.424375
PLD,2025-11-10 10:56:00-05:00,124.4,124.55,124.4,124.55,3028.0,87.0,124.472905
PLD,2025-11-10 10:57:00-05:00,124.55,124.55,124.46,124.46,4577.0,77.0,124.524721
PLD,2025-11-10 10:58:00-05:00,124.57,124.57,124.57,124.57,945.0,41.0,124.57
PLD,2025-11-10 10:59:00-05:00,124.53,124.5385,124.53,124.5385,836.0,46.0,124.53425
PLD,2025-11-10 11:00:00-05:00,124.48,124.48,124.32,124.32,1839.0,94.0,124.368333
PLD,2025-11-10 11:01:00-05:00,124.28,124.33,124.2575,124.305,2587.0,54.0,124.302085
PLD,2025-11-10 11:02:00-05:00,124.305,124.305,124.3,124.3,1000.0,51.0,124.3025
PLD,2025-11-10 11:03:00-05:00,124.2882,124.2882,124.2,124.2,2469.0,68.0,124.25308
PLD,2025-11-10 11:04:00-05:00,124.205,124.22,124.13,124.17,2859.0,64.0,124.179736
