symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PM,2025-11-10 09:30:00-05:00,152.1,152.53,151.35,151.97,94149.0,626.0,152.00683
PM,2025-11-10 09:31:00-05:00,152.205,152.85,152.095,152.84,8719.0,214.0,152.425716
PM,2025-11-10 09:32:00-05:00,152.84,152.85,152.46,152.738,25389.0,411.0,152.650057
PM,2025-11-10 09:33:00-05:00,152.71,153.44,152.67,153.11,26834.0,539.0,153.111699
PM,2025-11-10 09:34:00-05:00,153.16,153.32,153.1,153.29,7053.0,196.0,153.207877
PM,2025-11-10 09:35:00-05:00,153.45,153.78,153.39,153.39,10113.0,286.0,153.564794
PM,2025-11-10 09:36:00-05:00,153.39,153.39,152.91,152.97,7821.0,171.0,153.172804
PM,2025-11-10 09:37:00-05:00,152.97,153.03,152.55,152.55,7918.0,214.0,152.907792
PM,2025-11-10 09:38:00-05:00,152.67,153.1,152.67,152.88,6260.0,124.0,152.910516
PM,2025-11-10 09:39:00-05:00,152.7854,152.915,152.59,152.6,7958.0,192.0,152.762878
PM,2025-11-10 09:40:00-05:00,152.6,152.65,152.3355,152.65,6146.0,137.0,152.450007
PM,2025-11-10 09:41:00-05:00,152.74,152.79,152.47,152.4851,9099.0,157.0,152.540604
PM,2025-11-10 09:42:00-05:00,152.4,152.45,152.31,152.42,6228.0,177.0,152.405385
PM,2025-11-10 09:43:00-05:00,152.445,152.6,152.445,152.6,6708.0,165.0,152.559118
PM,2025-11-10 09:44:00-05:00,152.575,152.71,152.56,152.605,10546.0,224.0,152.626085
PM,2025-11-10 09:45:00-05:00,152.6,152.6,152.3,152.33,10404.0,136.0,152.437181
PM,2025-11-10 09:46:00-05:00,152.29,152.47,152.1711,152.465,12735.0,232.0,152.315011
PM,2025-11-10 09:47:00-05:00,152.315,152.79,152.315,152.79,12553.0,249.0,152.565995
PM,2025-11-10 09:48:00-05:00,152.8,152.89,152.625,152.815,10756.0,236.0,152.752662
PM,2025-11-10 09:49:00-05:00,152.735,152.9,152.725,152.805,6414.0,140.0,152.812476
PM,2025-11-10 09:50:00-05:00,152.805,152.81,152.65,152.78,17346.0,269.0,152.771301
PM,2025-11-10 09:51:00-05:00,152.78,153.0,152.68,152.985,10432.0,230.0,152.79815
PM,2025-11-10 09:52:00-05:00,153.1,153.15,152.98,152.98,3010.0,125.0,153.050008
PM,2025-11-10 09:53:00-05:00,152.99,153.0132,152.87,152.99,7280.0,191.0,152.962863
PM,2025-11-10 09:54:00-05:00,153.05,153.13,153.05,153.105,1597.0,94.0,153.08375
PM,2025-11-10 09:55:00-05:00,153.1095,153.33,153.1095,153.225,14158.0,86.0,153.310859
PM,2025-11-10 09:56:00-05:00,153.31,153.32,153.225,153.235,3525.0,98.0,153.255926
PM,2025-11-10 09:57:00-05:00,153.32,153.32,153.235,153.24,1370.0,80.0,153.25875
PM,2025-11-10 09:58:00-05:00,153.17,153.235,153.07,153.12,8943.0,139.0,153.141102
PM,2025-11-10 09:59:00-05:00,153.1516,153.1516,152.85,152.97,8062.0,121.0,153.024664
PM,2025-11-10 10:00:00-05:00,152.9,153.0,152.86,152.94,7851.0,186.0,152.926443
PM,2025-11-10 10:01:00-05:00,152.855,152.98,152.81,152.98,15322.0,184.0,152.906928
PM,2025-11-10 10:02:00-05:00,153.02,153.23,152.97,153.23,5386.0,182.0,153.122401
PM,2025-11-10 10:03:00-05:00,153.12,153.17,153.09,153.125,6101.0,108.0,153.127224
PM,2025-11-10 10:04:00-05:00,153.125,153.2699,153.125,153.18,7008.0,101.0,153.247672
PM,2025-11-10 10:05:00-05:00,153.18,153.23,152.96,152.96,8285.0,190.0,153.034755
PM,2025-11-10 10:06:00-05:00,152.96,153.26,152.95,153.26,9605.0,173.0,153.140215
PM,2025-11-10 10:07:00-05:00,153.36,153.51,153.36,153.41,5028.0,97.0,153.376662
PM,2025-11-10 10:08:00-05:00,153.515,153.515,153.125,153.125,6642.0,149.0,153.260698
PM,2025-11-10 10:09:00-05:00,153.19,153.22,153.005,153.1199,8535.0,106.0,153.112926
