symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PYPL,2025-11-10 09:30:00-05:00,67.06,67.3,67.01,67.16,278386.0,3148.0,67.091319
PYPL,2025-11-10 09:31:00-05:00,67.16,67.31,67.065,67.1,102968.0,921.0,67.199999
PYPL,2025-11-10 09:32:00-05:00,67.095,67.23,66.95,67.1501,61927.0,650.0,67.100802
PYPL,2025-11-10 09:33:00-05:00,67.195,67.3,66.965,66.98,101957.0,709.0,67.148841
PYPL,2025-11-10 09:34:00-05:00,66.98,67.21,66.98,67.09,32071.0,497.0,67.089862
PYPL,2025-11-10 09:35:00-05:00,67.12,67.13,67.02,67.095,39048.0,491.0,67.069588
PYPL,2025-11-10 09:36:00-05:00,67.07,67.21,67.06,67.16,40547.0,637.0,67.136524
PYPL,2025-11-10 09:37:00-05:00,67.17,67.348,67.1688,67.3199,59059.0,585.0,67.244965
PYPL,2025-11-10 09:38:00-05:00,67.325,67.39,67.25,67.3,73604.0,713.0,67.313804
PYPL,2025-11-10 09:39:00-05:00,67.3,67.3918,67.27,67.3918,38163.0,489.0,67.311076
PYPL,2025-11-10 09:40:00-05:00,67.39,67.43,67.29,67.32,88614.0,813.0,67.357479
PYPL,2025-11-10 09:41:00-05:00,67.31,67.315,67.11,67.18,46643.0,608.0,67.18685
PYPL,2025-11-10 09:42:00-05:00,67.145,67.1837,67.1115,67.1499,36154.0,423.0,67.154574
PYPL,2025-11-10 09:43:00-05:00,67.13,67.3399,67.13,67.315,38004.0,566.0,67.225918
PYPL,2025-11-10 09:44:00-05:00,67.315,67.36,67.05,67.075,68307.0,615.0,67.231265
PYPL,2025-11-10 09:45:00-05:00,67.09,67.185,67.0632,67.185,25108.0,345.0,67.120607
PYPL,2025-11-10 09:46:00-05:00,67.185,67.21,67.12,67.19,19843.0,321.0,67.171445
PYPL,2025-11-10 09:47:00-05:00,67.18,67.18,67.045,67.07,34613.0,496.0,67.096551
PYPL,2025-11-10 09:48:00-05:00,67.08,67.08,66.94,66.945,43977.0,681.0,67.036036
PYPL,2025-11-10 09:49:00-05:00,66.95,66.99,66.85,66.895,56782.0,562.0,66.936144
PYPL,2025-11-10 09:50:00-05:00,66.895,66.9086,66.7708,66.7708,35771.0,490.0,66.85196
PYPL,2025-11-10 09:51:00-05:00,66.79,66.79,66.67,66.725,32362.0,400.0,66.722913
PYPL,2025-11-10 09:52:00-05:00,66.7399,66.75,66.64,66.645,25202.0,361.0,66.695837
PYPL,2025-11-10 09:53:00-05:00,66.645,66.6625,66.565,66.66,37889.0,463.0,66.604239
PYPL,2025-11-10 09:54:00-05:00,66.66,66.71,66.58,66.65,60053.0,610.0,66.655322
PYPL,2025-11-10 09:55:00-05:00,66.65,66.905,66.64,66.88,49023.0,458.0,66.764864
PYPL,2025-11-10 09:56:00-05:00,66.86,66.86,66.77,66.7907,15947.0,308.0,66.810336
PYPL,2025-11-10 09:57:00-05:00,66.8,66.805,66.661,66.75,31257.0,327.0,66.735282
PYPL,2025-11-10 09:58:00-05:00,66.76,66.84,66.76,66.84,40382.0,394.0,66.800165
PYPL,2025-11-10 09:59:00-05:00,66.8407,66.8407,66.73,66.75,14696.0,279.0,66.791548
PYPL,2025-11-10 10:00:00-05:00,66.75,66.8514,66.75,66.8514,28426.0,434.0,66.807471
PYPL,2025-11-10 10:01:00-05:00,66.85,66.85,66.775,66.78,29269.0,444.0,66.804272
PYPL,2025-11-10 10:02:00-05:00,66.77,66.795,66.71,66.71,32597.0,417.0,66.755023
PYPL,2025-11-10 10:03:00-05:00,66.71,66.755,66.71,66.73,28832.0,427.0,66.735757
PYPL,2025-11-10 10:04:00-05:00,66.72,66.775,66.65,66.67,27537.0,358.0,66.689376
PYPL,2025-11-10 10:05:00-05:00,66.69,66.69,66.58,66.65,19576.0,330.0,66.632263
PYPL,2025-11-10 10:06:00-05:00,66.655,66.66,66.61,66.6435,26137.0,400.0,66.634622
PYPL,2025-11-10 10:07:00-05:00,66.65,66.685,66.64,66.6758,31447.0,382.0,66.660766
PYPL,2025-11-10 10:08:00-05:00,66.68,66.68,66.6201,66.655,27467.0,334.0,66.643549
PYPL,2025-11-10 10:09:00-05:00,66.6499,66.675,66.61,66.675,20676.0,304.0,66.644186
PYPL,2025-11-10 10:10:00-05:00,66.68,66.775,66.68,66.7167,19165.0,288.0,66.726288
PYPL,2025-11-10 10:11:00-05:00,66.71,66.76,66.695,66.76,24879.0,475.0,66.723158
PYPL,2025-11-10 10:12:00-05:00,66.76,66.78,66.725,66.78,16775.0,318.0,66.748817
PYPL,2025-11-10 10:13:00-05:00,66.765,66.7991,66.75,66.77,26498.0,282.0,66.773305
PYPL,2025-11-10 10:14:00-05:00,66.77,66.785,66.6901,66.71,21413.0,313.0,66.743019
PYPL,2025-11-10 10:15:00-05:00,66.69,66.77,66.69,66.75,14876.0,243.0,66.744965
PYPL,2025-11-10 10:16:00-05:00,66.74,66.76,66.585,66.62,30733.0,378.0,66.672761
PYPL,2025-11-10 10:17:00-05:00,66.63,66.7,66.63,66.64,29743.0,455.0,66.667586
PYPL,2025-11-10 10:18:00-05:00,66.63,66.665,66.62,66.62,13339.0,253.0,66.639743
PYPL,2025-11-10 10:19:00-05:00,66.62,66.625,66.52,66.54,29029.0,345.0,66.556886
PYPL,2025-11-10 10:20:00-05:00,66.535,66.585,66.515,66.58,22434.0,378.0,66.549742
PYPL,2025-11-10 10:21:00-05:00,66.57,66.615,66.57,66.615,17471.0,243.0,66.588583
PYPL,2025-11-10 10:22:00-05:00,66.6176,66.6176,66.4901,66.51,29462.0,488.0,66.525519
PYPL,2025-11-10 10:23:00-05:00,66.5197,66.54,66.495,66.5369,15798.0,217.0,66.524027
PYPL,2025-11-10 10:24:00-05:00,66.525,66.53,66.5,66.525,13442.0,284.0,66.516618
PYPL,2025-11-10 10:25:00-05:00,66.515,66.56,66.5128,66.54,19778.0,227.0,66.534358
PYPL,2025-11-10 10:26:00-05:00,66.53,66.585,66.53,66.575,19063.0,322.0,66.55783
PYPL,2025-11-10 10:27:00-05:00,66.58,66.58,66.515,66.52,27626.0,347.0,66.544766
PYPL,2025-11-10 10:28:00-05:00,66.53,66.54,66.45,66.4709,46760.0,495.0,66.508692
PYPL,2025-11-10 10:29:00-05:00,66.475,66.49,66.42,66.445,51256.0,549.0,66.464681
PYPL,2025-11-10 10:30:00-05:00,66.44,66.48,66.41,66.4316,19378.0,272.0,66.440597
PYPL,2025-11-10 10:31:00-05:00,66.42,66.4285,66.3709,66.4,24373.0,440.0,66.400137
