symbol,timestamp,open,high,low,close,volume,trade_count,vwap
RIVN,2025-11-10 09:30:00-05:00,15.54,15.66,15.4,15.49,740309.0,3369.0,15.544582
RIVN,2025-11-10 09:31:00-05:00,15.49,15.54,15.35,15.38,211413.0,1035.0,15.468186
RIVN,2025-11-10 09:32:00-05:00,15.37,15.44,15.35,15.425,178346.0,968.0,15.39379
RIVN,2025-11-10 09:33:00-05:00,15.425,15.605,15.415,15.45,196915.0,913.0,15.529551
RIVN,2025-11-10 09:34:00-05:00,15.45,15.48,15.375,15.405,107896.0,588.0,15.433182
RIVN,2025-11-10 09:35:00-05:00,15.41,15.46,15.36,15.3799,161479.0,733.0,15.403471
RIVN,2025-11-10 09:36:00-05:00,15.37,15.465,15.37,15.4499,102246.0,684.0,15.433743
RIVN,2025-11-10 09:37:00-05:00,15.445,15.455,15.32,15.325,211520.0,849.0,15.387874
RIVN,2025-11-10 09:38:00-05:00,15.33,15.3366,15.24,15.255,197769.0,1081.0,15.285438
RIVN,2025-11-10 09:39:00-05:00,15.255,15.29,15.2301,15.235,128946.0,718.0,15.258347
RIVN,2025-11-10 09:40:00-05:00,15.24,15.2606,15.13,15.13,293383.0,872.0,15.202055
RIVN,2025-11-10 09:41:00-05:00,15.135,15.16,15.0814,15.1065,223994.0,983.0,15.108397
RIVN,2025-11-10 09:42:00-05:00,15.105,15.11,15.01,15.04,201877.0,708.0,15.052495
RIVN,2025-11-10 09:43:00-05:00,15.04,15.09,15.025,15.06,217126.0,773.0,15.057637
RIVN,2025-11-10 09:44:00-05:00,15.0668,15.105,15.06,15.09,96828.0,498.0,15.080007
RIVN,2025-11-10 09:45:00-05:00,15.09,15.16,15.09,15.125,259116.0,1034.0,15.136514
RIVN,2025-11-10 09:46:00-05:00,15.13,15.165,15.09,15.15,121383.0,585.0,15.131975
RIVN,2025-11-10 09:47:00-05:00,15.145,15.15,15.11,15.1498,103020.0,525.0,15.137442
RIVN,2025-11-10 09:48:00-05:00,15.145,15.17,15.115,15.155,148660.0,628.0,15.135949
RIVN,2025-11-10 09:49:00-05:00,15.155,15.19,15.12,15.185,125457.0,620.0,15.148819
RIVN,2025-11-10 09:50:00-05:00,15.1899,15.24,15.165,15.175,133053.0,697.0,15.198831
RIVN,2025-11-10 09:51:00-05:00,15.18,15.18,15.1,15.145,111543.0,589.0,15.132792
RIVN,2025-11-10 09:52:00-05:00,15.14,15.18,15.13,15.135,83335.0,413.0,15.149955
RIVN,2025-11-10 09:53:00-05:00,15.14,15.18,15.13,15.18,78918.0,465.0,15.157478
RIVN,2025-11-10 09:54:00-05:00,15.175,15.18,15.135,15.135,66990.0,370.0,15.164934
