symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SCHW,2025-11-10 09:30:00-05:00,94.9,95.42,94.81,95.28,132303.0,632.0,94.983984
SCHW,2025-11-10 09:31:00-05:00,95.265,95.41,95.265,95.33,4556.0,82.0,95.324749
SCHW,2025-11-10 09:32:00-05:00,95.405,95.405,95.23,95.265,8902.0,131.0,95.282113
SCHW,2025-11-10 09:33:00-05:00,95.28,95.4558,95.26,95.37,19918.0,300.0,95.343675
SCHW,2025-11-10 09:34:00-05:00,95.365,95.4741,95.24,95.32,28656.0,330.0,95.379172
SCHW,2025-11-10 09:35:00-05:00,95.265,95.45,95.265,95.4499,14148.0,164.0,95.384946
SCHW,2025-11-10 09:36:00-05:00,95.385,95.46,95.34,95.43,16743.0,279.0,95.392847
SCHW,2025-11-10 09:37:00-05:00,95.405,95.44,95.33,95.38,26084.0,349.0,95.390159
SCHW,2025-11-10 09:38:00-05:00,95.36,95.46,95.34,95.415,16577.0,213.0,95.391688
SCHW,2025-11-10 09:39:00-05:00,95.415,95.45,95.315,95.375,37749.0,480.0,95.38279
SCHW,2025-11-10 09:40:00-05:00,95.375,95.43,95.31,95.37,24642.0,344.0,95.381939
SCHW,2025-11-10 09:41:00-05:00,95.4,95.41,95.17,95.175,17366.0,269.0,95.348502
SCHW,2025-11-10 09:42:00-05:00,95.2,95.245,95.13,95.13,19341.0,205.0,95.16761
SCHW,2025-11-10 09:43:00-05:00,95.125,95.125,94.94,95.115,11523.0,256.0,95.055517
SCHW,2025-11-10 09:44:00-05:00,95.085,95.1513,95.085,95.12,7341.0,145.0,95.110032
SCHW,2025-11-10 09:45:00-05:00,95.11,95.1751,95.09,95.16,24596.0,243.0,95.154499
SCHW,2025-11-10 09:46:00-05:00,95.155,95.41,95.13,95.38,18966.0,299.0,95.257152
SCHW,2025-11-10 09:47:00-05:00,95.405,95.64,95.37,95.43,63282.0,937.0,95.495244
SCHW,2025-11-10 09:48:00-05:00,95.4,95.4925,95.4,95.4722,19207.0,269.0,95.433231
SCHW,2025-11-10 09:49:00-05:00,95.51,95.535,95.4432,95.48,11316.0,174.0,95.494221
SCHW,2025-11-10 09:50:00-05:00,95.48,95.49,95.39,95.44,20632.0,292.0,95.430187
SCHW,2025-11-10 09:51:00-05:00,95.48,95.52,95.46,95.46,32188.0,372.0,95.487562
SCHW,2025-11-10 09:52:00-05:00,95.47,95.47,95.405,95.46,9464.0,208.0,95.436188
SCHW,2025-11-10 09:53:00-05:00,95.45,95.49,95.44,95.46,9201.0,165.0,95.459791
SCHW,2025-11-10 09:54:00-05:00,95.47,95.515,95.47,95.5,10675.0,210.0,95.493489
SCHW,2025-11-10 09:55:00-05:00,95.505,95.51,95.45,95.5,14977.0,204.0,95.481299
SCHW,2025-11-10 09:56:00-05:00,95.495,95.495,95.27,95.4,18433.0,198.0,95.374513
SCHW,2025-11-10 09:57:00-05:00,95.4,95.51,95.4,95.46,34362.0,322.0,95.484951
SCHW,2025-11-10 09:58:00-05:00,95.44,95.47,95.41,95.47,9414.0,191.0,95.436357
SCHW,2025-11-10 09:59:00-05:00,95.445,95.45,95.32,95.35,14087.0,237.0,95.378023
SCHW,2025-11-10 10:00:00-05:00,95.365,95.3899,95.32,95.33,19186.0,253.0,95.350831
SCHW,2025-11-10 10:01:00-05:00,95.3685,95.42,95.28,95.405,18729.0,287.0,95.329605
SCHW,2025-11-10 10:02:00-05:00,95.37,95.37,95.25,95.3152,9280.0,162.0,95.306003
SCHW,2025-11-10 10:03:00-05:00,95.32,95.33,95.17,95.2,13370.0,206.0,95.247558
SCHW,2025-11-10 10:04:00-05:00,95.21,95.29,95.21,95.21,12088.0,227.0,95.251005
SCHW,2025-11-10 10:05:00-05:00,95.18,95.21,95.11,95.21,11803.0,201.0,95.151442
SCHW,2025-11-10 10:06:00-05:00,95.185,95.25,95.13,95.15,8537.0,182.0,95.191955
SCHW,2025-11-10 10:07:00-05:00,95.16,95.21,95.13,95.165,6634.0,147.0,95.1556
SCHW,2025-11-10 10:08:00-05:00,95.16,95.16,94.93,95.01,22594.0,354.0,95.068342
SCHW,2025-11-10 10:09:00-05:00,95.005,95.005,94.8212,94.8212,18276.0,288.0,94.920374
SCHW,2025-11-10 10:10:00-05:00,94.87,95.03,94.86,94.98,14472.0,255.0,94.961012
SCHW,2025-11-10 10:11:00-05:00,94.96,94.96,94.86,94.925,12873.0,212.0,94.915571
SCHW,2025-11-10 10:12:00-05:00,94.93,94.94,94.815,94.84,16179.0,245.0,94.894168
SCHW,2025-11-10 10:13:00-05:00,94.8099,94.86,94.79,94.86,14276.0,242.0,94.821666
SCHW,2025-11-10 10:14:00-05:00,94.87,94.91,94.785,94.91,13259.0,177.0,94.849055
SCHW,2025-11-10 10:15:00-05:00,94.9012,94.985,94.9012,94.95,9949.0,142.0,94.944241
SCHW,2025-11-10 10:16:00-05:00,94.965,95.085,94.965,95.085,15658.0,248.0,95.007544
SCHW,2025-11-10 10:17:00-05:00,95.075,95.16,95.065,95.14,7133.0,147.0,95.110705
SCHW,2025-11-10 10:18:00-05:00,95.15,95.15,95.08,95.13,8557.0,178.0,95.108339
SCHW,2025-11-10 10:19:00-05:00,95.1298,95.1445,95.02,95.05,9603.0,159.0,95.072511
SCHW,2025-11-10 10:20:00-05:00,95.04,95.09,95.04,95.09,5536.0,97.0,95.063388
SCHW,2025-11-10 10:21:00-05:00,95.1,95.13,95.1,95.12,7681.0,149.0,95.114137
SCHW,2025-11-10 10:22:00-05:00,95.15,95.2381,95.15,95.21,6488.0,107.0,95.198937
SCHW,2025-11-10 10:23:00-05:00,95.22,95.265,95.155,95.21,29760.0,224.0,95.218399
SCHW,2025-11-10 10:24:00-05:00,95.21,95.3,95.21,95.29,7813.0,153.0,95.277503
SCHW,2025-11-10 10:25:00-05:00,95.3,95.37,95.28,95.289,16311.0,193.0,95.332766
SCHW,2025-11-10 10:26:00-05:00,95.2701,95.2986,95.17,95.21,21411.0,269.0,95.216486
SCHW,2025-11-10 10:27:00-05:00,95.23,95.27,95.22,95.26,14129.0,159.0,95.232322
SCHW,2025-11-10 10:28:00-05:00,95.25,95.26,95.23,95.23,14805.0,250.0,95.243138
SCHW,2025-11-10 10:29:00-05:00,95.25,95.36,95.25,95.35,9633.0,215.0,95.298156
SCHW,2025-11-10 10:30:00-05:00,95.34,95.3596,95.32,95.33,7630.0,122.0,95.332099
SCHW,2025-11-10 10:31:00-05:00,95.33,95.33,95.24,95.27,19192.0,343.0,95.285482
SCHW,2025-11-10 10:32:00-05:00,95.26,95.26,95.175,95.19,16925.0,247.0,95.236763
SCHW,2025-11-10 10:33:00-05:00,95.17,95.17,95.02,95.045,40302.0,415.0,95.060472
SCHW,2025-11-10 10:34:00-05:00,95.045,95.12,95.045,95.085,23722.0,313.0,95.078952
SCHW,2025-11-10 10:35:00-05:00,95.075,95.135,95.05,95.13,18732.0,315.0,95.079624
SCHW,2025-11-10 10:36:00-05:00,95.13,95.315,95.125,95.295,37392.0,288.0,95.232512
SCHW,2025-11-10 10:37:00-05:00,95.28,95.28,95.185,95.22,12729.0,194.0,95.224455
SCHW,2025-11-10 10:38:00-05:00,95.21,95.21,95.14,95.1415,11444.0,159.0,95.165538
SCHW,2025-11-10 10:39:00-05:00,95.17,95.17,95.1101,95.12,7936.0,177.0,95.134912
SCHW,2025-11-10 10:40:00-05:00,95.12,95.14,95.08,95.09,11369.0,223.0,95.108686
SCHW,2025-11-10 10:41:00-05:00,95.09,95.14,95.075,95.104,14200.0,247.0,95.117224
SCHW,2025-11-10 10:42:00-05:00,95.115,95.115,95.05,95.08,11163.0,158.0,95.087159
SCHW,2025-11-10 10:43:00-05:00,95.079,95.079,95.04,95.04,6211.0,128.0,95.0564
SCHW,2025-11-10 10:44:00-05:00,95.04,95.04,94.9,94.9,10410.0,217.0,94.963894
SCHW,2025-11-10 10:45:00-05:00,94.887,94.9425,94.887,94.94,6383.0,136.0,94.91137
SCHW,2025-11-10 10:46:00-05:00,94.92,94.94,94.76,94.79,33640.0,442.0,94.818436
SCHW,2025-11-10 10:47:00-05:00,94.79,94.805,94.72,94.795,30045.0,422.0,94.76234
