symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SHW,2025-11-10 09:30:00-05:00,338.86,340.4,338.325,339.405,18810.0,250.0,338.928827
SHW,2025-11-10 09:31:00-05:00,339.405,340.76,339.035,339.695,3898.0,135.0,339.654464
SHW,2025-11-10 09:32:00-05:00,338.83,339.695,337.88,338.865,2606.0,117.0,338.680691
SHW,2025-11-10 09:33:00-05:00,338.875,338.875,337.54,338.105,2976.0,74.0,338.501855
SHW,2025-11-10 09:34:00-05:00,338.105,338.91,338.105,338.735,2452.0,103.0,338.794847
SHW,2025-11-10 09:35:00-05:00,338.73,338.73,337.36,337.905,1748.0,72.0,338.004754
SHW,2025-11-10 09:36:00-05:00,337.905,338.11,337.905,338.11,767.0,28.0,337.956442
SHW,2025-11-10 09:37:00-05:00,337.87,338.2,337.3601,337.81,1819.0,44.0,337.638927
SHW,2025-11-10 09:38:00-05:00,337.8,338.0,337.37,337.685,1819.0,81.0,337.70519
SHW,2025-11-10 09:39:00-05:00,337.68,337.69,337.39,337.69,531.0,37.0,337.633333
SHW,2025-11-10 09:40:00-05:00,337.83,337.83,337.18,337.64,14448.0,289.0,337.485191
SHW,2025-11-10 09:41:00-05:00,337.6,337.89,337.465,337.76,4468.0,147.0,337.724643
SHW,2025-11-10 09:42:00-05:00,337.77,338.135,337.77,338.09,1976.0,79.0,337.916645
SHW,2025-11-10 09:43:00-05:00,338.06,338.32,337.52,338.32,4500.0,150.0,337.878548
SHW,2025-11-10 09:44:00-05:00,338.17,338.18,337.9,337.9,702.0,33.0,338.15
SHW,2025-11-10 09:45:00-05:00,337.8278,338.03,337.8278,338.01,1052.0,43.0,337.937644
SHW,2025-11-10 09:46:00-05:00,337.85,338.22,337.67,337.855,3983.0,122.0,337.806829
SHW,2025-11-10 09:47:00-05:00,337.53,337.7,337.0,337.06,10132.0,178.0,337.278577
SHW,2025-11-10 09:48:00-05:00,337.28,337.69,337.16,337.635,4002.0,117.0,337.379309
SHW,2025-11-10 09:49:00-05:00,337.49,337.99,337.1,337.17,5737.0,239.0,337.501738
SHW,2025-11-10 09:50:00-05:00,337.18,337.41,336.94,336.94,1773.0,57.0,337.166711
SHW,2025-11-10 09:51:00-05:00,337.135,337.19,336.76,336.945,2697.0,89.0,336.888157
SHW,2025-11-10 09:52:00-05:00,336.68,337.0,336.62,336.8397,1624.0,83.0,336.735006
SHW,2025-11-10 09:53:00-05:00,336.85,337.4,336.85,337.05,2689.0,130.0,337.051075
SHW,2025-11-10 09:54:00-05:00,337.18,337.195,336.89,337.195,621.0,39.0,337.075816
SHW,2025-11-10 09:55:00-05:00,337.45,338.16,337.245,338.16,2755.0,121.0,337.637758
SHW,2025-11-10 09:56:00-05:00,338.08,338.08,336.67,337.14,8511.0,238.0,337.250762
SHW,2025-11-10 09:57:00-05:00,336.85,336.915,336.61,336.85,1859.0,71.0,336.792095
SHW,2025-11-10 09:58:00-05:00,337.02,337.31,336.98,337.0,1583.0,70.0,337.010146
SHW,2025-11-10 09:59:00-05:00,337.0,337.0,336.28,336.29,2670.0,176.0,336.711172
SHW,2025-11-10 10:00:00-05:00,336.31,336.74,336.135,336.27,3135.0,142.0,336.469449
SHW,2025-11-10 10:01:00-05:00,336.54,336.6,336.285,336.285,2799.0,144.0,336.480321
SHW,2025-11-10 10:02:00-05:00,336.0937,336.99,336.0937,336.84,8397.0,193.0,336.666269
SHW,2025-11-10 10:03:00-05:00,336.97,336.97,336.735,336.735,946.0,48.0,336.768571
SHW,2025-11-10 10:04:00-05:00,336.94,336.94,336.41,336.71,1746.0,115.0,336.606811
SHW,2025-11-10 10:05:00-05:00,336.54,336.87,336.52,336.87,2104.0,100.0,336.596655
SHW,2025-11-10 10:06:00-05:00,336.86,336.86,335.99,335.99,7863.0,256.0,336.257955
SHW,2025-11-10 10:07:00-05:00,336.125,336.79,336.125,336.79,1534.0,68.0,336.388143
SHW,2025-11-10 10:08:00-05:00,336.88,337.2,336.57,336.57,2921.0,159.0,336.911072
SHW,2025-11-10 10:09:00-05:00,336.49,336.7,336.479,336.68,1956.0,123.0,336.548152
SHW,2025-11-10 10:10:00-05:00,336.84,337.1713,336.73,336.89,3077.0,143.0,336.9768
SHW,2025-11-10 10:11:00-05:00,336.96,337.38,336.96,337.26,1965.0,63.0,337.210531
SHW,2025-11-10 10:12:00-05:00,337.64,338.0,337.62,338.0,3621.0,108.0,337.792677
SHW,2025-11-10 10:13:00-05:00,337.85,337.94,337.815,337.82,1391.0,62.0,337.850646
SHW,2025-11-10 10:14:00-05:00,337.825,337.825,337.52,337.785,1364.0,72.0,337.726724
SHW,2025-11-10 10:15:00-05:00,337.86,337.86,337.46,337.55,2002.0,123.0,337.586892
SHW,2025-11-10 10:16:00-05:00,337.53,337.6326,337.11,337.205,3827.0,143.0,337.300934
SHW,2025-11-10 10:17:00-05:00,337.33,337.33,336.95,337.055,2652.0,130.0,337.105404
SHW,2025-11-10 10:18:00-05:00,337.05,337.05,336.94,337.05,914.0,50.0,337.013333
SHW,2025-11-10 10:19:00-05:00,337.05,337.25,336.9455,336.99,2565.0,120.0,337.096382
SHW,2025-11-10 10:20:00-05:00,336.91,336.955,336.46,336.66,3614.0,146.0,336.707839
SHW,2025-11-10 10:21:00-05:00,336.62,337.0885,336.52,337.0885,1619.0,78.0,336.919349
SHW,2025-11-10 10:22:00-05:00,337.2,337.57,336.995,337.57,3117.0,112.0,337.194805
SHW,2025-11-10 10:23:00-05:00,337.5061,337.86,337.485,337.86,2400.0,80.0,337.617329
SHW,2025-11-10 10:24:00-05:00,337.53,338.12,337.53,338.03,1108.0,63.0,337.849374
SHW,2025-11-10 10:25:00-05:00,338.03,338.03,337.39,337.4935,3657.0,148.0,337.683826
SHW,2025-11-10 10:26:00-05:00,337.505,337.505,336.57,337.29,6179.0,172.0,336.897998
SHW,2025-11-10 10:27:00-05:00,337.28,337.455,337.24,337.455,1642.0,66.0,337.327337
SHW,2025-11-10 10:28:00-05:00,337.43,338.1,337.43,338.02,4793.0,75.0,337.842295
SHW,2025-11-10 10:29:00-05:00,338.09,338.47,337.92,338.47,1738.0,90.0,338.194212
SHW,2025-11-10 10:30:00-05:00,338.19,338.27,337.94,338.27,4856.0,218.0,338.07397
SHW,2025-11-10 10:31:00-05:00,338.08,338.08,338.06,338.06,1736.0,82.0,338.068805
SHW,2025-11-10 10:32:00-05:00,338.065,338.2,337.82,337.85,3394.0,187.0,337.974068
SHW,2025-11-10 10:33:00-05:00,337.7983,338.47,337.7983,338.42,4506.0,120.0,338.044138
SHW,2025-11-10 10:34:00-05:00,338.38,338.65,338.38,338.44,3640.0,123.0,338.479757
SHW,2025-11-10 10:35:00-05:00,338.64,338.93,338.53,338.91,3731.0,143.0,338.809806
SHW,2025-11-10 10:36:00-05:00,338.9,339.13,338.64,338.64,4541.0,204.0,338.910049
SHW,2025-11-10 10:37:00-05:00,338.615,338.65,338.1,338.33,4799.0,198.0,338.371662
SHW,2025-11-10 10:38:00-05:00,338.34,338.34,337.98,338.15,2965.0,134.0,338.15642
SHW,2025-11-10 10:39:00-05:00,338.15,338.19,337.78,337.78,1974.0,100.0,337.984398
SHW,2025-11-10 10:40:00-05:00,337.87,337.92,337.87,337.92,1098.0,65.0,337.890069
SHW,2025-11-10 10:41:00-05:00,337.94,338.11,337.85,338.015,3675.0,129.0,338.003502
SHW,2025-11-10 10:42:00-05:00,338.14,338.45,338.14,338.33,1066.0,78.0,338.288595
SHW,2025-11-10 10:43:00-05:00,338.04,338.67,338.04,338.35,4828.0,170.0,338.425847
SHW,2025-11-10 10:44:00-05:00,338.26,338.45,338.2,338.2,2268.0,112.0,338.353724
SHW,2025-11-10 10:45:00-05:00,338.12,338.28,338.12,338.28,1422.0,102.0,338.200606
SHW,2025-11-10 10:46:00-05:00,338.34,338.46,338.33,338.335,1045.0,64.0,338.365683
SHW,2025-11-10 10:47:00-05:00,338.3082,338.56,338.3082,338.5,1496.0,72.0,338.41977
SHW,2025-11-10 10:48:00-05:00,338.62,338.67,338.3801,338.43,1495.0,85.0,338.575991
SHW,2025-11-10 10:49:00-05:00,338.59,338.66,338.39,338.66,2587.0,113.0,338.521279
SHW,2025-11-10 10:50:00-05:00,338.84,339.01,338.77,338.78,2717.0,158.0,338.837002
SHW,2025-11-10 10:51:00-05:00,338.95,338.98,338.69,338.78,3060.0,161.0,338.787854
SHW,2025-11-10 10:52:00-05:00,338.845,339.09,338.845,339.05,2957.0,158.0,338.975998
SHW,2025-11-10 10:53:00-05:00,338.97,338.99,338.75,338.96,11986.0,350.0,338.822626
SHW,2025-11-10 10:54:00-05:00,339.0,339.05,338.64,338.82,11432.0,284.0,338.902285
SHW,2025-11-10 10:55:00-05:00,338.82,338.91,338.77,338.91,2592.0,105.0,338.818575
SHW,2025-11-10 10:56:00-05:00,338.83,338.83,338.53,338.645,2518.0,104.0,338.659321
SHW,2025-11-10 10:57:00-05:00,338.76,338.95,338.66,338.66,2998.0,99.0,338.737779
