symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SOL/USD,2025-11-09 02:41:00-05:00,159.051351,159.7,159.051351,159.34,7.275491263,5.0,159.6562958872
SOL/USD,2025-11-09 02:42:00-05:00,159.01,159.5,159.01,159.5,0.028342901,1.0,159.01
SOL/USD,2025-11-09 02:43:00-05:00,159.395,159.6,159.2575,159.2575,0.0268,1.0,159.6
SOL/USD,2025-11-09 02:44:00-05:00,159.325,159.325,159.325,159.325,0.0,0.0,159.325
SOL/USD,2025-11-09 02:45:00-05:00,159.425,159.425,159.425,159.425,0.0,0.0,159.425
SOL/USD,2025-11-09 02:46:00-05:00,159.5165,159.5165,159.415,159.415,0.0,0.0,159.46575
SOL/USD,2025-11-09 02:47:00-05:00,159.3265,159.3265,159.265,159.265,0.0,0.0,159.29575
SOL/USD,2025-11-09 02:48:00-05:00,159.3485,159.427,159.3485,159.427,0.0,0.0,159.38775
SOL/USD,2025-11-09 02:49:00-05:00,159.52,159.52,159.4325,159.4325,0.0,0.0,159.47625
SOL/USD,2025-11-09 02:50:00-05:00,159.5,159.5,159.3675,159.4275,0.0,0.0,159.43375
SOL/USD,2025-11-09 02:51:00-05:00,159.35,159.35,159.35,159.35,0.0,0.0,159.35
SOL/USD,2025-11-09 02:52:00-05:00,159.274,159.274,159.19,159.19,0.0,0.0,159.232
SOL/USD,2025-11-09 02:56:00-05:00,159.259,159.259,159.259,159.259,0.0,0.0,159.259
SOL/USD,2025-11-09 02:58:00-05:00,159.351,159.351,159.204,159.204,0.0,0.0,159.2775
SOL/USD,2025-11-09 02:59:00-05:00,159.3,159.3,159.3,159.3,0.0,0.0,159.3
SOL/USD,2025-11-09 03:01:00-05:00,159.1715,159.1715,159.09,159.09,0.0,0.0,159.13075
SOL/USD,2025-11-09 03:02:00-05:00,159.1715,159.1715,159.1715,159.1715,0.0,0.0,159.1715
SOL/USD,2025-11-09 03:03:00-05:00,159.078,159.1,159.05,159.1,0.0,0.0,159.075
SOL/USD,2025-11-09 03:04:00-05:00,159.01,159.35,158.962,159.095,0.652774445,1.0,159.35
SOL/USD,2025-11-09 03:05:00-05:00,158.98,158.98,158.98,158.98,0.0,0.0,158.98
SOL/USD,2025-11-09 03:08:00-05:00,159.0275,159.0275,159.0275,159.0275,0.0,0.0,159.0275
SOL/USD,2025-11-09 03:09:00-05:00,159.1615,159.1615,159.06,159.13,0.0,0.0,159.11075
SOL/USD,2025-11-09 03:12:00-05:00,159.2255,159.3,159.2255,159.3,0.0,0.0,159.26275
SOL/USD,2025-11-09 03:13:00-05:00,159.395,159.4725,159.395,159.4725,0.0,0.0,159.43375
SOL/USD,2025-11-09 03:14:00-05:00,159.5535,159.5535,159.5535,159.5535,0.0,0.0,159.5535
SOL/USD,2025-11-09 03:15:00-05:00,159.66,159.66,159.385,159.385,0.0,0.0,159.5225
SOL/USD,2025-11-09 03:16:00-05:00,159.445,159.445,159.445,159.445,0.0,0.0,159.445
SOL/USD,2025-11-09 03:17:00-05:00,159.359,159.448,159.359,159.37,0.0,0.0,159.4035
SOL/USD,2025-11-09 03:18:00-05:00,159.475,159.475,159.35,159.35,0.0,0.0,159.4125
SOL/USD,2025-11-09 03:20:00-05:00,159.307,159.307,159.15,159.15,0.0,0.0,159.2285
SOL/USD,2025-11-09 03:21:00-05:00,159.013,159.013,159.013,159.013,0.0,0.0,159.013
SOL/USD,2025-11-09 03:22:00-05:00,158.997,158.997,158.856,158.856,0.0,0.0,158.9265
SOL/USD,2025-11-09 03:23:00-05:00,158.8,158.89,158.8,158.89,0.0,0.0,158.845
SOL/USD,2025-11-09 03:24:00-05:00,158.933,159.05,158.933,159.05,0.0,0.0,158.9915
SOL/USD,2025-11-09 03:25:00-05:00,158.95,158.95,158.95,158.95,0.0,0.0,158.95
SOL/USD,2025-11-09 03:26:00-05:00,159.005,159.005,159.005,159.005,0.0,0.0,159.005
SOL/USD,2025-11-09 03:27:00-05:00,159.1115,159.1115,159.1115,159.1115,0.0,0.0,159.1115
SOL/USD,2025-11-09 03:28:00-05:00,159.0255,159.1155,159.0255,159.03,0.0,0.0,159.0705
SOL/USD,2025-11-09 03:29:00-05:00,159.13,159.13,159.13,159.13,0.0,0.0,159.13
SOL/USD,2025-11-09 03:30:00-05:00,159.2065,159.2065,159.2065,159.2065,0.0,0.0,159.2065
SOL/USD,2025-11-09 03:31:00-05:00,159.35,159.537,159.35,159.4285,0.0,0.0,159.4435
SOL/USD,2025-11-09 03:32:00-05:00,159.515,159.575,159.51,159.51,0.0,0.0,159.5425
SOL/USD,2025-11-09 03:33:00-05:00,159.4415,159.4415,159.4415,159.4415,0.0,0.0,159.4415
SOL/USD,2025-11-09 03:34:00-05:00,159.315,159.315,159.249,159.249,0.0,0.0,159.282
SOL/USD,2025-11-09 03:35:00-05:00,159.2,159.2,159.2,159.2,0.0,0.0,159.2
SOL/USD,2025-11-09 03:36:00-05:00,159.275,159.385,159.275,159.385,0.0,0.0,159.33
SOL/USD,2025-11-09 03:37:00-05:00,159.245,159.245,159.115,159.22,0.0,0.0,159.18
SOL/USD,2025-11-09 03:38:00-05:00,159.25,159.358,159.25,159.358,0.0,0.0,159.304
SOL/USD,2025-11-09 03:39:00-05:00,159.3,159.3,159.3,159.3,0.0,0.0,159.3
SOL/USD,2025-11-09 03:40:00-05:00,159.39,159.451,159.39,159.451,0.0,0.0,159.4205
SOL/USD,2025-11-09 03:42:00-05:00,159.33,159.33,159.33,159.33,0.0,0.0,159.33
SOL/USD,2025-11-09 03:43:00-05:00,159.435,159.435,159.435,159.435,0.0,0.0,159.435
SOL/USD,2025-11-09 03:44:00-05:00,159.51,159.51,159.51,159.51,0.0,0.0,159.51
SOL/USD,2025-11-09 03:45:00-05:00,159.45,159.45,159.376,159.376,0.0,0.0,159.413
SOL/USD,2025-11-09 03:46:00-05:00,159.265,159.265,159.185,159.185,0.0,0.0,159.225
SOL/USD,2025-11-09 03:48:00-05:00,159.2755,159.2755,159.098,159.098,0.0,0.0,159.18675
SOL/USD,2025-11-09 03:49:00-05:00,159.0005,159.013,158.9,159.013,0.0,0.0,158.9565
SOL/USD,2025-11-09 03:50:00-05:00,159.08,159.08,159.02,159.02,0.0,0.0,159.05
SOL/USD,2025-11-09 03:52:00-05:00,159.0805,159.0805,159.0805,159.0805,0.0,0.0,159.0805
SOL/USD,2025-11-09 03:54:00-05:00,159.2,159.2,159.2,159.2,0.0,0.0,159.2
SOL/USD,2025-11-09 03:55:00-05:00,159.25,159.25,159.1755,159.1755,0.0,0.0,159.21275
SOL/USD,2025-11-09 03:56:00-05:00,159.265,159.265,159.265,159.265,0.0,0.0,159.265
SOL/USD,2025-11-09 03:57:00-05:00,159.162,159.162,159.162,159.162,0.0,0.0,159.162
SOL/USD,2025-11-09 03:59:00-05:00,159.287,159.44,159.287,159.44,0.0,0.0,159.3635
SOL/USD,2025-11-09 04:00:00-05:00,159.5,159.549,159.5,159.549,0.0,0.0,159.5245
SOL/USD,2025-11-09 04:01:00-05:00,159.65,159.65,159.5515,159.5515,0.0,0.0,159.60075
SOL/USD,2025-11-09 04:02:00-05:00,159.515,159.65,159.515,159.65,0.0,0.0,159.5825
SOL/USD,2025-11-09 04:04:00-05:00,159.5875,159.5875,159.497,159.583,0.0,0.0,159.54225
SOL/USD,2025-11-09 04:06:00-05:00,159.675,159.675,159.572,159.572,0.0,0.0,159.6235
SOL/USD,2025-11-09 04:07:00-05:00,159.6615,159.6615,159.6615,159.6615,0.0,0.0,159.6615
SOL/USD,2025-11-09 04:08:00-05:00,159.5685,159.5685,159.5685,159.5685,0.0,0.0,159.5685
SOL/USD,2025-11-09 04:09:00-05:00,159.645,159.8485,159.5865,159.5865,0.0,0.0,159.7175
SOL/USD,2025-11-09 04:10:00-05:00,159.48,159.5755,159.48,159.495,0.0,0.0,159.52775
SOL/USD,2025-11-09 04:11:00-05:00,159.59,159.59,159.59,159.59,0.0,0.0,159.59
SOL/USD,2025-11-09 04:12:00-05:00,159.65,159.65,159.65,159.65,0.0,0.0,159.65
SOL/USD,2025-11-09 04:13:00-05:00,159.605,159.9,159.5915,159.5915,0.414597358,1.0,159.9
SOL/USD,2025-11-09 04:14:00-05:00,159.51,159.51,159.4,159.4,0.0,0.0,159.455
SOL/USD,2025-11-09 04:16:00-05:00,159.2925,159.2925,159.21,159.21,0.0,0.0,159.25125
SOL/USD,2025-11-09 04:17:00-05:00,159.17,159.2825,159.17,159.2825,0.0,0.0,159.22625
SOL/USD,2025-11-09 04:18:00-05:00,159.4045,159.739,159.34851265,159.34851265,0.648238812,1.0,159.739
SOL/USD,2025-11-09 04:19:00-05:00,159.41351265,159.44851265,159.41351265,159.44851265,0.0,0.0,159.43101265
SOL/USD,2025-11-09 04:20:00-05:00,159.47801265,159.53501265,159.47801265,159.53501265,0.0,0.0,159.50651265
SOL/USD,2025-11-09 04:21:00-05:00,159.53501265,159.5970253,159.53501265,159.53501265,0.0207,1.0,159.5970253
SOL/USD,2025-11-09 04:22:00-05:00,159.49851265,159.54851265,159.49851265,159.54851265,0.0,0.0,159.52351265
SOL/USD,2025-11-09 04:24:00-05:00,159.55851265,159.55851265,159.55851265,159.55851265,0.0,0.0,159.55851265
SOL/USD,2025-11-09 04:25:00-05:00,159.54851265,159.54851265,159.44851265,159.44851265,0.0,0.0,159.49851265
SOL/USD,2025-11-09 04:26:00-05:00,159.2795,159.2795,159.225,159.225,0.0,0.0,159.25225
SOL/USD,2025-11-09 04:27:00-05:00,159.1325,159.1325,159.1,159.1,0.0,0.0,159.11625
SOL/USD,2025-11-09 04:28:00-05:00,158.9405,159.086,158.875,159.086,0.0,0.0,158.9805
SOL/USD,2025-11-09 04:29:00-05:00,158.9975,158.9975,158.9975,158.9975,0.0,0.0,158.9975
SOL/USD,2025-11-09 04:30:00-05:00,159.071,159.071,159.071,159.071,0.0,0.0,159.071
SOL/USD,2025-11-09 04:31:00-05:00,158.975,158.975,158.89,158.89,0.0,0.0,158.9325
SOL/USD,2025-11-09 04:32:00-05:00,158.8135,158.8135,158.8135,158.8135,0.0,0.0,158.8135
SOL/USD,2025-11-09 04:33:00-05:00,158.886,158.886,158.85,158.85,0.0,0.0,158.868
SOL/USD,2025-11-09 04:34:00-05:00,158.7155,158.965,158.7155,158.965,0.0,0.0,158.84025
SOL/USD,2025-11-09 04:35:00-05:00,158.9,159.005,158.9,159.005,0.0,0.0,158.9525
SOL/USD,2025-11-09 04:36:00-05:00,159.025,159.025,158.9655,158.9655,0.0,0.0,158.99525
SOL/USD,2025-11-09 04:37:00-05:00,158.864,158.969,158.8,158.969,0.0,0.0,158.8845
SOL/USD,2025-11-09 04:38:00-05:00,158.864,158.9635,158.864,158.9635,0.0,0.0,158.91375
SOL/USD,2025-11-09 04:39:00-05:00,159.0,159.1455,159.0,159.0095,0.0,0.0,159.07275
SOL/USD,2025-11-09 04:40:00-05:00,158.95,158.95,158.95,158.95,0.0,0.0,158.95
SOL/USD,2025-11-09 04:43:00-05:00,158.903,158.903,158.903,158.903,0.0,0.0,158.903
SOL/USD,2025-11-09 04:44:00-05:00,158.7425,158.7425,158.7165,158.7165,0.0,0.0,158.7295
SOL/USD,2025-11-09 04:45:00-05:00,158.63,158.677,158.5475,158.677,0.0,0.0,158.61225
SOL/USD,2025-11-09 04:46:00-05:00,158.82,158.82,158.82,158.82,0.0,0.0,158.82
SOL/USD,2025-11-09 04:47:00-05:00,158.74,158.74,158.55,158.55,0.0,0.0,158.645
