symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SO,2025-11-10 09:30:00-05:00,91.165,91.2,90.91,90.98,3797.0,63.0,91.016739
SO,2025-11-10 09:31:00-05:00,90.99,91.08,90.99,91.03,1221.0,19.0,91.007
SO,2025-11-10 09:32:00-05:00,91.085,91.085,90.9,90.97,2976.0,25.0,90.962785
SO,2025-11-10 09:33:00-05:00,90.93,90.93,90.6,90.62,16406.0,218.0,90.757638
SO,2025-11-10 09:34:00-05:00,90.76,90.88,90.76,90.78,2136.0,30.0,90.788205
SO,2025-11-10 09:35:00-05:00,90.85,91.04,90.71,90.75,317466.0,1113.0,90.8848
SO,2025-11-10 09:36:00-05:00,90.7525,90.87,90.74,90.81,34083.0,435.0,90.791301
SO,2025-11-10 09:37:00-05:00,90.81,90.99,90.8,90.9001,16983.0,258.0,90.89139
SO,2025-11-10 09:38:00-05:00,90.925,90.98,90.85,90.91,14794.0,204.0,90.904899
SO,2025-11-10 09:39:00-05:00,90.93,90.99,90.75,90.75,11603.0,190.0,90.903943
SO,2025-11-10 09:40:00-05:00,90.7579,90.82,90.68,90.68,35335.0,528.0,90.739236
SO,2025-11-10 09:41:00-05:00,90.675,90.73,90.58,90.65,45253.0,450.0,90.652583
SO,2025-11-10 09:42:00-05:00,90.64,90.76,90.64,90.67,12664.0,241.0,90.686969
SO,2025-11-10 09:43:00-05:00,90.66,90.87,90.6387,90.87,17661.0,234.0,90.714057
SO,2025-11-10 09:44:00-05:00,90.87,90.93,90.73,90.73,9457.0,152.0,90.85153
SO,2025-11-10 09:45:00-05:00,90.71,90.85,90.71,90.805,12481.0,182.0,90.775396
SO,2025-11-10 09:46:00-05:00,90.77,90.905,90.74,90.905,11565.0,206.0,90.789443
SO,2025-11-10 09:47:00-05:00,90.94,91.06,90.94,91.05,17224.0,193.0,90.979764
SO,2025-11-10 09:48:00-05:00,91.04,91.04,90.91,91.035,29868.0,272.0,90.992619
SO,2025-11-10 09:49:00-05:00,91.05,91.22,91.05,91.18,13417.0,243.0,91.168578
SO,2025-11-10 09:50:00-05:00,91.18,91.23,91.13,91.23,9526.0,155.0,91.191938
SO,2025-11-10 09:51:00-05:00,91.17,91.245,91.15,91.2,13588.0,206.0,91.204351
SO,2025-11-10 09:52:00-05:00,91.185,91.26,91.15,91.235,16089.0,299.0,91.190177
SO,2025-11-10 09:53:00-05:00,91.235,91.2629,91.195,91.26,9149.0,182.0,91.229145
SO,2025-11-10 09:54:00-05:00,91.29,91.29,91.17,91.17,5650.0,130.0,91.234635
SO,2025-11-10 09:55:00-05:00,91.2,91.28,91.19,91.25,6352.0,117.0,91.245976
SO,2025-11-10 09:56:00-05:00,91.25,91.26,91.14,91.22,24581.0,434.0,91.206784
SO,2025-11-10 09:57:00-05:00,91.2316,91.2316,91.155,91.155,10563.0,236.0,91.189947
SO,2025-11-10 09:58:00-05:00,91.16,91.2,91.11,91.135,8980.0,166.0,91.151923
SO,2025-11-10 09:59:00-05:00,91.14,91.14,90.98,90.985,16759.0,290.0,91.040989
SO,2025-11-10 10:00:00-05:00,90.99,90.99,90.84,90.84,24561.0,455.0,90.914569
SO,2025-11-10 10:01:00-05:00,90.86,90.9,90.77,90.85,34066.0,536.0,90.81833
SO,2025-11-10 10:02:00-05:00,90.87,90.94,90.87,90.935,29499.0,377.0,90.910557
SO,2025-11-10 10:03:00-05:00,90.95,90.98,90.885,90.895,17066.0,274.0,90.932359
SO,2025-11-10 10:04:00-05:00,90.88,90.88,90.81,90.825,8881.0,139.0,90.833466
SO,2025-11-10 10:05:00-05:00,90.8,90.93,90.8,90.84,15571.0,238.0,90.851935
SO,2025-11-10 10:06:00-05:00,90.83,90.88,90.82,90.87,11209.0,184.0,90.842514
SO,2025-11-10 10:07:00-05:00,90.89,91.08,90.89,91.08,8670.0,136.0,90.988738
SO,2025-11-10 10:08:00-05:00,91.085,91.175,91.085,91.1,43194.0,376.0,91.119726
SO,2025-11-10 10:09:00-05:00,91.09,91.15,91.08,91.15,14104.0,220.0,91.125599
SO,2025-11-10 10:10:00-05:00,91.14,91.265,91.13,91.2569,14327.0,206.0,91.191434
SO,2025-11-10 10:11:00-05:00,91.26,91.305,91.24,91.29,16630.0,264.0,91.266755
SO,2025-11-10 10:12:00-05:00,91.295,91.315,91.26,91.275,16496.0,242.0,91.296263
SO,2025-11-10 10:13:00-05:00,91.28,91.35,91.27,91.31,13370.0,207.0,91.310171
SO,2025-11-10 10:14:00-05:00,91.33,91.33,91.26,91.26,4712.0,93.0,91.278046
SO,2025-11-10 10:15:00-05:00,91.26,91.28,91.2199,91.225,9667.0,180.0,91.242761
SO,2025-11-10 10:16:00-05:00,91.225,91.23,91.2,91.22,19319.0,268.0,91.21541
SO,2025-11-10 10:17:00-05:00,91.22,91.24,91.2,91.24,8626.0,152.0,91.226738
SO,2025-11-10 10:18:00-05:00,91.24,91.24,91.11,91.13,9994.0,183.0,91.19084
SO,2025-11-10 10:19:00-05:00,91.1101,91.235,91.1101,91.22,17220.0,274.0,91.174077
