symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPG,2025-11-10 09:30:00-05:00,184.38,184.47,183.6,184.45,15039.0,149.0,184.353886
SPG,2025-11-10 09:31:00-05:00,184.42,184.42,184.0,184.0,376.0,15.0,184.140033
SPG,2025-11-10 09:32:00-05:00,184.345,184.4656,184.345,184.4656,409.0,37.0,184.4053
SPG,2025-11-10 09:33:00-05:00,184.24,184.24,183.82,183.895,1947.0,57.0,183.93627
SPG,2025-11-10 09:34:00-05:00,183.84,184.055,183.75,183.76,952.0,31.0,183.938571
SPG,2025-11-10 09:35:00-05:00,184.08,184.08,183.82,183.82,838.0,61.0,183.95
SPG,2025-11-10 09:36:00-05:00,183.82,183.84,183.69,183.84,1460.0,82.0,183.768322
SPG,2025-11-10 09:38:00-05:00,183.725,183.725,183.62,183.725,772.0,36.0,183.701667
SPG,2025-11-10 09:39:00-05:00,183.78,184.01,183.78,184.01,1253.0,57.0,183.825817
SPG,2025-11-10 09:40:00-05:00,183.975,183.975,183.86,183.875,1971.0,43.0,183.872727
SPG,2025-11-10 09:41:00-05:00,183.825,183.885,183.825,183.885,1134.0,42.0,183.854886
SPG,2025-11-10 09:42:00-05:00,183.885,184.065,183.84,184.015,3493.0,70.0,183.918974
SPG,2025-11-10 09:43:00-05:00,183.935,184.19,183.79,184.19,3241.0,71.0,183.89575
SPG,2025-11-10 09:44:00-05:00,184.2001,184.2001,184.1,184.14,3143.0,70.0,184.174813
SPG,2025-11-10 09:45:00-05:00,184.3,184.43,184.29,184.425,2814.0,51.0,184.326433
SPG,2025-11-10 09:46:00-05:00,184.475,184.82,184.4575,184.7125,3117.0,84.0,184.582878
SPG,2025-11-10 09:47:00-05:00,184.71,184.71,184.54,184.605,2090.0,77.0,184.612189
SPG,2025-11-10 09:48:00-05:00,184.78,184.78,184.78,184.78,520.0,50.0,184.78
SPG,2025-11-10 09:49:00-05:00,184.78,184.78,184.61,184.64,2104.0,71.0,184.71234
SPG,2025-11-10 09:50:00-05:00,184.51,184.51,184.49,184.49,477.0,40.0,184.5
SPG,2025-11-10 09:51:00-05:00,184.44,184.45,184.22,184.24,2050.0,70.0,184.345714
SPG,2025-11-10 09:52:00-05:00,184.16,184.16,183.83,184.02,1453.0,42.0,183.991821
SPG,2025-11-10 09:53:00-05:00,183.83,183.83,183.64,183.71,941.0,41.0,183.7475
SPG,2025-11-10 09:54:00-05:00,183.81,183.81,183.76,183.76,823.0,36.0,183.793333
SPG,2025-11-10 09:55:00-05:00,183.83,183.83,183.82,183.82,1081.0,46.0,183.826667
SPG,2025-11-10 09:56:00-05:00,183.65,183.65,183.65,183.65,759.0,35.0,183.65
SPG,2025-11-10 09:57:00-05:00,183.9,183.9,183.9,183.9,1014.0,48.0,183.9
SPG,2025-11-10 09:58:00-05:00,183.9,183.9,183.9,183.9,942.0,46.0,183.9
SPG,2025-11-10 09:59:00-05:00,183.845,183.86,183.845,183.86,552.0,24.0,183.8525
SPG,2025-11-10 10:00:00-05:00,183.9,184.004,183.865,184.004,1388.0,54.0,183.887555
SPG,2025-11-10 10:01:00-05:00,183.77,183.92,183.77,183.92,1026.0,43.0,183.851667
SPG,2025-11-10 10:02:00-05:00,183.865,183.865,183.865,183.865,1160.0,34.0,183.865
SPG,2025-11-10 10:04:00-05:00,183.91,183.91,183.775,183.775,1207.0,51.0,183.838
SPG,2025-11-10 10:05:00-05:00,183.8,183.88,183.8,183.88,871.0,41.0,183.847581
SPG,2025-11-10 10:06:00-05:00,183.88,184.01,183.726,183.81,3188.0,88.0,183.892571
SPG,2025-11-10 10:07:00-05:00,183.74,183.74,183.73,183.735,1002.0,50.0,183.735
SPG,2025-11-10 10:08:00-05:00,183.65,183.65,183.53,183.53,1664.0,62.0,183.583333
SPG,2025-11-10 10:09:00-05:00,183.42,183.42,183.32,183.39,1421.0,51.0,183.390833
SPG,2025-11-10 10:10:00-05:00,183.6144,183.62,183.6144,183.62,932.0,49.0,183.615943
SPG,2025-11-10 10:11:00-05:00,183.62,183.63,183.455,183.455,4601.0,91.0,183.581198
SPG,2025-11-10 10:12:00-05:00,183.505,183.54,183.505,183.535,1776.0,52.0,183.5285
