symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TGT,2025-11-10 09:30:00-05:00,91.815,92.5,91.75,92.49,13581.0,178.0,91.95426
TGT,2025-11-10 09:31:00-05:00,92.52,93.43,92.3298,92.59,181941.0,2156.0,92.689098
TGT,2025-11-10 09:32:00-05:00,92.585,92.67,92.0101,92.075,29436.0,455.0,92.396877
TGT,2025-11-10 09:33:00-05:00,92.08,92.38,92.08,92.19,31707.0,428.0,92.232141
TGT,2025-11-10 09:34:00-05:00,92.21,92.57,92.01,92.095,29417.0,386.0,92.365594
TGT,2025-11-10 09:35:00-05:00,92.16,92.21,91.87,91.91,25234.0,456.0,92.072092
TGT,2025-11-10 09:36:00-05:00,91.96,92.21,91.81,91.9,19295.0,376.0,92.006848
TGT,2025-11-10 09:37:00-05:00,91.94,92.15,91.8626,91.935,26292.0,409.0,92.006457
TGT,2025-11-10 09:38:00-05:00,91.935,92.05,91.75,91.79,25971.0,401.0,91.872742
TGT,2025-11-10 09:39:00-05:00,91.785,92.05,91.74,91.82,19158.0,314.0,91.876055
TGT,2025-11-10 09:40:00-05:00,91.76,91.8,91.62,91.7,45048.0,716.0,91.685748
TGT,2025-11-10 09:41:00-05:00,91.715,91.76,91.62,91.71,18790.0,367.0,91.693567
TGT,2025-11-10 09:42:00-05:00,91.69,91.715,91.275,91.275,37442.0,539.0,91.48548
TGT,2025-11-10 09:43:00-05:00,91.31,91.77,91.24,91.66,26484.0,524.0,91.520109
TGT,2025-11-10 09:44:00-05:00,91.61,91.63,91.15,91.195,19717.0,323.0,91.439093
TGT,2025-11-10 09:45:00-05:00,91.215,91.215,91.06,91.08,40657.0,463.0,91.16019
TGT,2025-11-10 09:46:00-05:00,91.11,91.1415,91.01,91.095,19577.0,324.0,91.087135
TGT,2025-11-10 09:47:00-05:00,91.095,91.11,90.89,90.94,28576.0,390.0,91.004358
TGT,2025-11-10 09:48:00-05:00,90.94,90.94,90.64,90.87,20793.0,350.0,90.833948
TGT,2025-11-10 09:49:00-05:00,90.87,90.91,90.675,90.71,38032.0,621.0,90.772368
TGT,2025-11-10 09:50:00-05:00,90.66,90.98,90.45,90.921,36249.0,553.0,90.738699
TGT,2025-11-10 09:51:00-05:00,90.977,91.01,90.6331,90.635,15224.0,278.0,90.849568
TGT,2025-11-10 09:52:00-05:00,90.61,90.66,90.45,90.47,48235.0,657.0,90.560037
TGT,2025-11-10 09:53:00-05:00,90.475,90.64,90.45,90.615,47038.0,395.0,90.499772
TGT,2025-11-10 09:54:00-05:00,90.645,90.68,90.4601,90.595,41231.0,383.0,90.591576
TGT,2025-11-10 09:55:00-05:00,90.57,90.59,90.52,90.55,16140.0,325.0,90.548981
TGT,2025-11-10 09:56:00-05:00,90.53,90.53,90.34,90.39,23089.0,404.0,90.440338
TGT,2025-11-10 09:57:00-05:00,90.42,90.62,90.42,90.59,15597.0,349.0,90.546183
TGT,2025-11-10 09:58:00-05:00,90.55,90.575,90.443,90.505,7312.0,217.0,90.504404
TGT,2025-11-10 09:59:00-05:00,90.539,90.57,90.27,90.35,130801.0,626.0,90.450054
TGT,2025-11-10 10:00:00-05:00,90.36,90.535,90.32,90.32,48092.0,417.0,90.384955
TGT,2025-11-10 10:01:00-05:00,90.335,90.45,90.24,90.26,31136.0,455.0,90.32061
TGT,2025-11-10 10:02:00-05:00,90.3,90.37,90.21,90.35,32192.0,427.0,90.278176
TGT,2025-11-10 10:03:00-05:00,90.39,90.53,90.33,90.365,23018.0,329.0,90.42126
TGT,2025-11-10 10:04:00-05:00,90.365,90.39,90.24,90.35,13116.0,293.0,90.307333
TGT,2025-11-10 10:05:00-05:00,90.35,90.3599,90.21,90.3599,22964.0,472.0,90.256894
TGT,2025-11-10 10:06:00-05:00,90.345,90.55,90.325,90.46,42303.0,357.0,90.464967
TGT,2025-11-10 10:07:00-05:00,90.48,90.55,90.45,90.5,21651.0,311.0,90.503155
TGT,2025-11-10 10:08:00-05:00,90.5,90.72,90.5,90.625,17680.0,263.0,90.639961
TGT,2025-11-10 10:09:00-05:00,90.625,90.625,90.5327,90.61,16573.0,334.0,90.585641
TGT,2025-11-10 10:10:00-05:00,90.6,90.7,90.56,90.6,21546.0,279.0,90.652751
TGT,2025-11-10 10:11:00-05:00,90.58,90.8399,90.58,90.665,13087.0,225.0,90.725572
TGT,2025-11-10 10:12:00-05:00,90.645,90.66,90.535,90.58,9069.0,228.0,90.603638
TGT,2025-11-10 10:13:00-05:00,90.575,90.705,90.565,90.685,8421.0,158.0,90.609666
TGT,2025-11-10 10:14:00-05:00,90.675,90.675,90.485,90.59,23292.0,322.0,90.543173
TGT,2025-11-10 10:15:00-05:00,90.59,90.61,90.5,90.53,11840.0,259.0,90.554946
TGT,2025-11-10 10:16:00-05:00,90.52,90.5499,90.41,90.4596,27588.0,331.0,90.440099
TGT,2025-11-10 10:17:00-05:00,90.46,90.52,90.415,90.42,11037.0,241.0,90.443529
TGT,2025-11-10 10:18:00-05:00,90.44,90.44,90.3449,90.375,8302.0,192.0,90.379689
