symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TMUS,2025-11-10 09:30:00-05:00,206.51,206.676,205.52,206.44,68189.0,1137.0,206.125169
TMUS,2025-11-10 09:31:00-05:00,206.73,206.73,206.375,206.375,1309.0,52.0,206.413755
TMUS,2025-11-10 09:32:00-05:00,206.625,206.86,206.44,206.575,13332.0,232.0,206.653025
TMUS,2025-11-10 09:33:00-05:00,206.51,206.65,206.05,206.2,5228.0,143.0,206.33945
TMUS,2025-11-10 09:34:00-05:00,206.396,206.9,206.0,206.845,6703.0,225.0,206.294876
TMUS,2025-11-10 09:35:00-05:00,206.86,207.0,206.315,206.455,10277.0,230.0,206.698907
TMUS,2025-11-10 09:36:00-05:00,206.6,206.6,206.02,206.12,4829.0,105.0,206.36332
TMUS,2025-11-10 09:37:00-05:00,206.12,206.285,205.97,206.285,7995.0,165.0,206.12311
TMUS,2025-11-10 09:38:00-05:00,206.315,206.315,205.705,205.96,9491.0,185.0,205.906172
TMUS,2025-11-10 09:39:00-05:00,205.985,206.1799,205.61,206.005,8781.0,182.0,205.886121
TMUS,2025-11-10 09:40:00-05:00,206.005,206.34,206.005,206.165,11703.0,315.0,206.178002
TMUS,2025-11-10 09:41:00-05:00,206.24,206.24,205.79,206.125,20071.0,333.0,206.079918
TMUS,2025-11-10 09:42:00-05:00,206.1,206.125,205.6,205.8,9206.0,215.0,205.854223
TMUS,2025-11-10 09:43:00-05:00,205.81,206.15,205.805,206.1,4856.0,172.0,206.005749
TMUS,2025-11-10 09:44:00-05:00,206.105,206.3,205.94,206.065,4224.0,98.0,206.221905
TMUS,2025-11-10 09:45:00-05:00,206.15,206.5,205.99,206.42,11232.0,230.0,206.170786
TMUS,2025-11-10 09:46:00-05:00,206.39,206.46,206.33,206.46,9906.0,174.0,206.411828
TMUS,2025-11-10 09:47:00-05:00,206.43,206.82,206.39,206.585,12311.0,366.0,206.590051
TMUS,2025-11-10 09:48:00-05:00,206.57,206.94,206.5,206.77,4551.0,145.0,206.756899
TMUS,2025-11-10 09:49:00-05:00,206.795,206.98,206.68,206.68,2977.0,121.0,206.831133
TMUS,2025-11-10 09:50:00-05:00,206.585,207.0,206.585,207.0,5387.0,174.0,206.862401
TMUS,2025-11-10 09:51:00-05:00,206.89,207.185,206.85,207.15,3612.0,130.0,207.081507
TMUS,2025-11-10 09:52:00-05:00,207.04,207.1795,206.99,207.145,4757.0,149.0,207.092136
TMUS,2025-11-10 09:53:00-05:00,207.115,207.115,206.8402,206.988,4801.0,160.0,207.045291
TMUS,2025-11-10 09:54:00-05:00,206.9772,206.985,206.84,206.92,4331.0,110.0,206.968666
TMUS,2025-11-10 09:55:00-05:00,206.925,207.0,206.84,206.9,6230.0,145.0,206.905676
TMUS,2025-11-10 09:56:00-05:00,206.88,206.88,206.69,206.85,5207.0,159.0,206.81385
TMUS,2025-11-10 09:57:00-05:00,206.89,206.91,206.7834,206.7834,3865.0,68.0,206.81857
