symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2025-11-10 09:30:00-05:00,439.6,442.7181,439.0,442.67,1455837.0,38103.0,440.581964
TSLA,2025-11-10 09:31:00-05:00,442.485,443.38,439.83,440.0786,739165.0,13744.0,441.864235
TSLA,2025-11-10 09:32:00-05:00,440.03,441.97,438.24,439.94,531395.0,11335.0,439.846701
TSLA,2025-11-10 09:33:00-05:00,439.86,440.93,439.2,439.28,358277.0,9235.0,440.020283
TSLA,2025-11-10 09:34:00-05:00,439.24,439.45,435.5,436.655,475763.0,12950.0,437.979938
TSLA,2025-11-10 09:35:00-05:00,436.62,437.4,434.8,434.86,590069.0,16526.0,436.203007
TSLA,2025-11-10 09:36:00-05:00,434.8301,436.32,434.61,436.14,472387.0,8939.0,435.436696
TSLA,2025-11-10 09:37:00-05:00,436.12,436.17,434.88,435.2928,399803.0,8768.0,435.50067
TSLA,2025-11-10 09:38:00-05:00,435.31,435.39,433.36,434.43,558975.0,11909.0,434.093166
TSLA,2025-11-10 09:39:00-05:00,434.4018,434.99,433.7,434.93,315210.0,7681.0,434.171218
TSLA,2025-11-10 09:40:00-05:00,434.8725,436.79,434.8725,436.285,534476.0,10896.0,435.987857
TSLA,2025-11-10 09:41:00-05:00,436.3,436.54,434.69,435.21,393270.0,8580.0,435.588915
TSLA,2025-11-10 09:42:00-05:00,435.155,437.12,435.145,437.115,368342.0,6921.0,436.225381
TSLA,2025-11-10 09:43:00-05:00,437.14,438.38,436.83,438.3098,495613.0,8799.0,437.812788
TSLA,2025-11-10 09:44:00-05:00,438.305,438.62,437.24,438.305,382975.0,7257.0,437.998956
TSLA,2025-11-10 09:45:00-05:00,438.35,438.53,436.86,437.17,339161.0,6879.0,437.908275
TSLA,2025-11-10 09:46:00-05:00,437.23,437.89,436.21,437.52,293633.0,5947.0,437.008351
TSLA,2025-11-10 09:47:00-05:00,437.545,438.45,436.9245,438.02,252744.0,5429.0,437.778353
TSLA,2025-11-10 09:48:00-05:00,437.995,438.96,435.69,436.6,414407.0,8035.0,437.274757
TSLA,2025-11-10 09:49:00-05:00,436.61,436.99,435.36,436.9899,293247.0,5841.0,435.985359
TSLA,2025-11-10 09:50:00-05:00,436.99,437.3,436.02,436.91,214012.0,4218.0,436.743469
TSLA,2025-11-10 09:51:00-05:00,436.9,437.3,436.37,436.695,212234.0,4220.0,436.79108
TSLA,2025-11-10 09:52:00-05:00,436.65,437.36,435.5,435.96,299923.0,5421.0,436.449825
TSLA,2025-11-10 09:53:00-05:00,435.9172,436.68,434.95,435.1955,326810.0,6422.0,435.468853
TSLA,2025-11-10 09:54:00-05:00,435.205,436.79,435.1,436.55,208320.0,4174.0,435.901533
TSLA,2025-11-10 09:55:00-05:00,436.52,436.6,435.25,435.7096,188874.0,3988.0,435.871367
TSLA,2025-11-10 09:56:00-05:00,435.73,437.2,435.35,437.2,238810.0,4289.0,436.190882
TSLA,2025-11-10 09:57:00-05:00,437.25,437.95,436.24,437.8578,281181.0,4478.0,437.29061
TSLA,2025-11-10 09:58:00-05:00,437.83,438.57,437.38,438.48,300745.0,5617.0,437.967987
TSLA,2025-11-10 09:59:00-05:00,438.433,439.5,438.16,439.45,351227.0,6317.0,438.848765
TSLA,2025-11-10 10:00:00-05:00,439.42,439.83,438.63,439.7251,338142.0,6487.0,439.276534
TSLA,2025-11-10 10:01:00-05:00,439.6975,441.015,439.45,440.91,473843.0,8492.0,440.138469
TSLA,2025-11-10 10:02:00-05:00,440.91,441.0299,440.08,440.875,423695.0,10183.0,440.67186
TSLA,2025-11-10 10:03:00-05:00,440.8887,442.0,440.7001,441.2884,404961.0,10009.0,441.318386
TSLA,2025-11-10 10:04:00-05:00,441.23,441.32,440.07,440.66,271995.0,7454.0,440.577861
TSLA,2025-11-10 10:05:00-05:00,440.69,441.24,440.32,441.208,204989.0,6291.0,440.813558
TSLA,2025-11-10 10:06:00-05:00,441.1677,442.61,440.925,441.9999,406508.0,9459.0,441.7603
TSLA,2025-11-10 10:07:00-05:00,441.957,442.5099,441.28,441.62,305648.0,7324.0,441.900929
TSLA,2025-11-10 10:08:00-05:00,441.6,442.34,441.18,442.1154,249589.0,6839.0,441.793679
TSLA,2025-11-10 10:09:00-05:00,442.135,442.1678,441.6,442.13,246375.0,6449.0,441.863764
TSLA,2025-11-10 10:10:00-05:00,442.12,443.28,441.79,442.998,425574.0,9623.0,442.665429
TSLA,2025-11-10 10:11:00-05:00,443.0,444.3,442.66,443.115,515865.0,11073.0,443.54974
TSLA,2025-11-10 10:12:00-05:00,443.1465,443.55,442.31,442.5014,357296.0,8238.0,442.965292
TSLA,2025-11-10 10:13:00-05:00,442.452,443.0791,441.29,441.89,342168.0,8475.0,442.172743
TSLA,2025-11-10 10:14:00-05:00,441.937,442.35,440.54,440.7827,283347.0,8215.0,441.539164
TSLA,2025-11-10 10:15:00-05:00,440.73,441.6,440.4301,441.6,256449.0,6932.0,441.048955
TSLA,2025-11-10 10:16:00-05:00,441.58,442.22,441.4,441.9099,233950.0,6590.0,441.84977
TSLA,2025-11-10 10:17:00-05:00,441.91,442.5,441.64,441.84,202378.0,6425.0,442.112784
TSLA,2025-11-10 10:18:00-05:00,441.85,442.119,441.14,441.29,202598.0,6324.0,441.562716
TSLA,2025-11-10 10:19:00-05:00,441.29,441.5275,440.3,440.9445,243866.0,7007.0,440.972443
TSLA,2025-11-10 10:20:00-05:00,440.955,442.09,440.83,442.06,188667.0,8297.0,441.550504
TSLA,2025-11-10 10:21:00-05:00,442.035,443.15,442.0,443.0992,289955.0,7973.0,442.564442
TSLA,2025-11-10 10:22:00-05:00,443.07,443.15,442.04,442.195,192367.0,6278.0,442.514617
TSLA,2025-11-10 10:23:00-05:00,442.195,442.25,441.4,442.14,171177.0,6110.0,441.847852
TSLA,2025-11-10 10:24:00-05:00,442.1001,443.25,442.0,442.96,210322.0,6400.0,442.762722
TSLA,2025-11-10 10:25:00-05:00,442.91,444.52,442.8,443.38,461765.0,10125.0,443.745626
TSLA,2025-11-10 10:26:00-05:00,443.35,444.89,443.2001,444.8301,375844.0,8870.0,444.363287
TSLA,2025-11-10 10:27:00-05:00,444.81,445.3499,443.9,444.6999,466108.0,11713.0,444.760657
TSLA,2025-11-10 10:28:00-05:00,444.5901,444.97,444.0,444.72,236565.0,6494.0,444.482017
TSLA,2025-11-10 10:29:00-05:00,444.72,444.91,444.4601,444.8,212219.0,6481.0,444.67016
TSLA,2025-11-10 10:30:00-05:00,444.75,444.98,443.6901,444.32,258266.0,6840.0,444.427545
TSLA,2025-11-10 10:31:00-05:00,444.29,445.25,444.22,444.9305,261083.0,6793.0,444.765873
TSLA,2025-11-10 10:32:00-05:00,444.89,445.5,444.45,445.215,285427.0,7490.0,445.068006
TSLA,2025-11-10 10:33:00-05:00,445.22,445.73,444.4,444.65,329889.0,7688.0,445.1365
TSLA,2025-11-10 10:34:00-05:00,444.665,446.12,444.58,445.83,354495.0,8110.0,445.616455
TSLA,2025-11-10 10:35:00-05:00,445.83,446.21,445.13,445.131,264221.0,6408.0,445.716274
