symbol,timestamp,open,high,low,close,volume,trade_count,vwap
T,2025-11-10 09:30:00-05:00,24.74,24.77,24.7,24.735,566982.0,1975.0,24.714212
T,2025-11-10 09:31:00-05:00,24.73,24.75,24.67,24.685,119156.0,824.0,24.709561
T,2025-11-10 09:32:00-05:00,24.6838,24.735,24.65,24.685,124151.0,883.0,24.685782
T,2025-11-10 09:33:00-05:00,24.685,24.72,24.66,24.695,107476.0,682.0,24.693938
T,2025-11-10 09:34:00-05:00,24.695,24.735,24.625,24.735,229593.0,987.0,24.65859
T,2025-11-10 09:35:00-05:00,24.74,24.755,24.695,24.705,117481.0,584.0,24.731543
T,2025-11-10 09:36:00-05:00,24.705,24.7065,24.655,24.665,115345.0,867.0,24.677316
T,2025-11-10 09:37:00-05:00,24.665,24.7,24.655,24.685,174532.0,666.0,24.672894
T,2025-11-10 09:38:00-05:00,24.6845,24.7199,24.67,24.695,99467.0,645.0,24.691197
T,2025-11-10 09:39:00-05:00,24.695,24.735,24.69,24.715,126349.0,826.0,24.709051
T,2025-11-10 09:40:00-05:00,24.7138,24.76,24.705,24.715,109344.0,626.0,24.735536
T,2025-11-10 09:41:00-05:00,24.715,24.7478,24.705,24.745,55763.0,396.0,24.723822
T,2025-11-10 09:42:00-05:00,24.74,24.755,24.69,24.705,97175.0,597.0,24.718479
T,2025-11-10 09:43:00-05:00,24.7,24.745,24.695,24.745,129727.0,529.0,24.713135
T,2025-11-10 09:44:00-05:00,24.75,24.77,24.735,24.735,101577.0,433.0,24.750708
T,2025-11-10 09:45:00-05:00,24.735,24.785,24.7201,24.775,103131.0,619.0,24.754178
T,2025-11-10 09:46:00-05:00,24.775,24.79,24.76,24.78,89207.0,616.0,24.776951
T,2025-11-10 09:47:00-05:00,24.775,24.815,24.77,24.815,82434.0,514.0,24.795299
T,2025-11-10 09:48:00-05:00,24.81,24.875,24.8,24.875,64176.0,557.0,24.842008
T,2025-11-10 09:49:00-05:00,24.875,24.9,24.815,24.845,110491.0,649.0,24.865835
T,2025-11-10 09:50:00-05:00,24.845,24.89,24.84,24.885,50704.0,341.0,24.860941
T,2025-11-10 09:51:00-05:00,24.885,24.93,24.87,24.902,57049.0,303.0,24.90193
T,2025-11-10 09:52:00-05:00,24.905,24.94,24.895,24.93,53432.0,328.0,24.915574
T,2025-11-10 09:53:00-05:00,24.925,24.93,24.91,24.91,55939.0,371.0,24.918644
T,2025-11-10 09:54:00-05:00,24.9035,24.92,24.9,24.905,22197.0,169.0,24.911157
T,2025-11-10 09:55:00-05:00,24.9,24.91,24.89,24.895,32675.0,256.0,24.900581
T,2025-11-10 09:56:00-05:00,24.8912,24.8912,24.8701,24.875,24879.0,200.0,24.880276
T,2025-11-10 09:57:00-05:00,24.8767,24.88,24.86,24.875,35055.0,266.0,24.872032
T,2025-11-10 09:58:00-05:00,24.875,24.89,24.87,24.8752,62673.0,305.0,24.880711
T,2025-11-10 09:59:00-05:00,24.875,24.875,24.85,24.85,39838.0,336.0,24.858116
T,2025-11-10 10:00:00-05:00,24.845,24.85,24.7802,24.81,155298.0,1021.0,24.824322
T,2025-11-10 10:01:00-05:00,24.8,24.8455,24.795,24.835,92805.0,551.0,24.822902
T,2025-11-10 10:02:00-05:00,24.835,24.85,24.82,24.82,49266.0,335.0,24.838797
T,2025-11-10 10:03:00-05:00,24.82,24.825,24.81,24.81,59490.0,334.0,24.816563
T,2025-11-10 10:04:00-05:00,24.8,24.81,24.794,24.8001,55075.0,356.0,24.800859
