symbol,timestamp,open,high,low,close,volume,trade_count,vwap
UNH,2025-11-10 09:30:00-05:00,319.99,322.6,319.99,321.68,230598.0,4259.0,320.649363
UNH,2025-11-10 09:31:00-05:00,321.5928,322.56,320.83,321.4075,83178.0,1982.0,321.79947
UNH,2025-11-10 09:32:00-05:00,321.475,322.02,320.2439,320.86,66561.0,1682.0,321.039385
UNH,2025-11-10 09:33:00-05:00,320.5584,322.8,320.5584,322.8,46643.0,1634.0,321.976947
UNH,2025-11-10 09:34:00-05:00,322.6,323.2999,322.54,323.2999,53855.0,2002.0,322.953137
UNH,2025-11-10 09:35:00-05:00,323.06,323.67,322.2879,323.0,49487.0,1578.0,323.03556
UNH,2025-11-10 09:36:00-05:00,322.9464,323.94,322.8683,323.75,61720.0,2030.0,323.620927
UNH,2025-11-10 09:37:00-05:00,323.7701,324.25,323.49,323.825,97587.0,2409.0,323.951195
UNH,2025-11-10 09:38:00-05:00,323.83,324.03,323.22,323.94,38210.0,1483.0,323.626738
UNH,2025-11-10 09:39:00-05:00,323.92,324.1,323.63,323.96,37465.0,1213.0,323.886732
UNH,2025-11-10 09:40:00-05:00,323.9766,324.2,323.68,324.08,34380.0,1173.0,323.937528
UNH,2025-11-10 09:41:00-05:00,324.08,324.19,323.15,323.47,40794.0,1191.0,323.734392
UNH,2025-11-10 09:42:00-05:00,323.64,323.9013,323.27,323.72,29381.0,1013.0,323.560872
UNH,2025-11-10 09:43:00-05:00,323.61,323.7799,323.12,323.58,25410.0,878.0,323.460488
UNH,2025-11-10 09:44:00-05:00,323.595,323.61,322.46,322.54,36735.0,1157.0,322.915724
UNH,2025-11-10 09:45:00-05:00,322.52,323.0,322.4338,322.79,26354.0,1003.0,322.720968
UNH,2025-11-10 09:46:00-05:00,322.68,322.71,321.57,322.0479,31525.0,1342.0,322.034683
UNH,2025-11-10 09:47:00-05:00,322.1,322.2,320.61,321.0,48689.0,1574.0,321.390545
UNH,2025-11-10 09:48:00-05:00,320.91,321.82,320.63,321.5251,30362.0,998.0,321.159568
UNH,2025-11-10 09:49:00-05:00,321.5,321.55,321.0,321.13,22223.0,906.0,321.249143
UNH,2025-11-10 09:50:00-05:00,321.0004,321.26,320.8109,321.1601,49786.0,1598.0,321.019055
UNH,2025-11-10 09:51:00-05:00,321.16,321.52,320.85,321.18,33351.0,1145.0,321.1604
UNH,2025-11-10 09:52:00-05:00,321.31,321.565,321.0,321.51,21822.0,921.0,321.27501
UNH,2025-11-10 09:53:00-05:00,321.42,321.4958,320.13,320.6,44458.0,1692.0,320.747062
UNH,2025-11-10 09:54:00-05:00,320.74,320.75,320.34,320.36,21434.0,1202.0,320.505603
UNH,2025-11-10 09:55:00-05:00,320.35,321.32,320.26,320.97,30140.0,1261.0,320.90732
UNH,2025-11-10 09:56:00-05:00,321.189,321.2799,320.71,321.06,26826.0,951.0,321.048479
UNH,2025-11-10 09:57:00-05:00,321.0495,321.35,320.72,321.3,19454.0,753.0,320.967082
UNH,2025-11-10 09:58:00-05:00,321.19,321.7,321.11,321.48,24361.0,923.0,321.416283
UNH,2025-11-10 09:59:00-05:00,321.61,321.61,321.21,321.3153,13356.0,607.0,321.411023
UNH,2025-11-10 10:00:00-05:00,321.295,322.2799,321.05,322.005,29255.0,1003.0,321.764849
UNH,2025-11-10 10:01:00-05:00,321.88,322.91,321.76,322.79,38924.0,1128.0,322.465727
UNH,2025-11-10 10:02:00-05:00,322.73,322.85,322.16,322.275,28006.0,940.0,322.604875
UNH,2025-11-10 10:03:00-05:00,322.275,322.9,322.22,322.65,17768.0,750.0,322.507035
UNH,2025-11-10 10:04:00-05:00,322.8,323.1399,322.61,323.025,22234.0,1328.0,322.830849
UNH,2025-11-10 10:05:00-05:00,323.0001,323.98,323.0,323.75,29774.0,975.0,323.564236
UNH,2025-11-10 10:06:00-05:00,323.715,324.0198,323.5,323.975,29189.0,784.0,323.780389
UNH,2025-11-10 10:07:00-05:00,323.98,323.98,323.36,323.56,30325.0,820.0,323.727341
UNH,2025-11-10 10:08:00-05:00,323.48,323.8,323.4001,323.515,19656.0,691.0,323.632352
