symbol,timestamp,open,high,low,close,volume,trade_count,vwap
XOM,2025-11-10 09:30:00-05:00,117.44,117.5,117.325,117.49,8151.0,173.0,117.445082
XOM,2025-11-10 09:31:00-05:00,117.44,117.5094,117.22,117.32,6742.0,193.0,117.284227
XOM,2025-11-10 09:32:00-05:00,117.31,117.31,117.16,117.16,6910.0,324.0,117.229912
XOM,2025-11-10 09:33:00-05:00,117.22,117.22,117.0,117.025,7708.0,190.0,117.080444
XOM,2025-11-10 09:34:00-05:00,117.1,117.1,116.76,116.94,19170.0,364.0,116.85668
XOM,2025-11-10 09:35:00-05:00,116.9,117.04,116.75,116.775,8191.0,184.0,116.877287
XOM,2025-11-10 09:36:00-05:00,116.815,116.9,116.3,116.405,437650.0,4873.0,116.756815
XOM,2025-11-10 09:37:00-05:00,116.39,116.56,116.28,116.41,64049.0,1409.0,116.408049
XOM,2025-11-10 09:38:00-05:00,116.41,116.47,116.11,116.1675,60822.0,1296.0,116.251841
XOM,2025-11-10 09:39:00-05:00,116.18,116.24,116.05,116.08,41751.0,673.0,116.125101
XOM,2025-11-10 09:40:00-05:00,116.12,116.26,116.09,116.26,35808.0,572.0,116.191108
XOM,2025-11-10 09:41:00-05:00,116.26,116.29,115.83,115.86,54579.0,995.0,116.01395
XOM,2025-11-10 09:42:00-05:00,115.85,115.945,115.66,115.84,71635.0,1081.0,115.792129
XOM,2025-11-10 09:43:00-05:00,115.85,116.03,115.77,115.97,38791.0,751.0,115.851525
XOM,2025-11-10 09:44:00-05:00,115.95,116.0,115.84,115.9,42900.0,605.0,115.908429
XOM,2025-11-10 09:45:00-05:00,115.91,116.02,115.84,115.91,66542.0,857.0,115.957243
XOM,2025-11-10 09:46:00-05:00,115.885,116.05,115.82,115.95,47260.0,804.0,115.910469
XOM,2025-11-10 09:47:00-05:00,115.98,116.13,115.93,116.08,46344.0,1027.0,116.010195
XOM,2025-11-10 09:48:00-05:00,116.06,116.19,115.99,116.03,39994.0,745.0,116.102049
XOM,2025-11-10 09:49:00-05:00,115.98,116.09,115.9308,115.952,35459.0,460.0,115.998208
XOM,2025-11-10 09:50:00-05:00,115.93,116.04,115.88,115.94,55009.0,973.0,115.954024
XOM,2025-11-10 09:51:00-05:00,115.955,115.955,115.76,115.85,46332.0,933.0,115.850942
XOM,2025-11-10 09:52:00-05:00,115.84,115.98,115.82,115.94,42449.0,586.0,115.923943
XOM,2025-11-10 09:53:00-05:00,115.935,115.935,115.855,115.91,35248.0,401.0,115.887777
XOM,2025-11-10 09:54:00-05:00,115.94,115.95,115.795,115.87,20605.0,419.0,115.885642
XOM,2025-11-10 09:55:00-05:00,115.855,115.86,115.76,115.84,39787.0,776.0,115.81758
XOM,2025-11-10 09:56:00-05:00,115.81,115.87,115.72,115.855,50796.0,967.0,115.821779
XOM,2025-11-10 09:57:00-05:00,115.87,116.02,115.865,115.9103,22280.0,466.0,115.933229
XOM,2025-11-10 09:58:00-05:00,115.925,115.925,115.71,115.73,27702.0,469.0,115.819104
XOM,2025-11-10 09:59:00-05:00,115.75,115.8499,115.73,115.735,32068.0,527.0,115.807257
XOM,2025-11-10 10:00:00-05:00,115.735,115.82,115.62,115.74,30645.0,620.0,115.731028
XOM,2025-11-10 10:01:00-05:00,115.73,115.77,115.54,115.5401,27614.0,564.0,115.64631
XOM,2025-11-10 10:02:00-05:00,115.57,115.69,115.51,115.675,30295.0,546.0,115.619498
XOM,2025-11-10 10:03:00-05:00,115.67,115.8,115.67,115.77,20452.0,429.0,115.747391
XOM,2025-11-10 10:04:00-05:00,115.7976,115.89,115.675,115.71,22953.0,391.0,115.816762
XOM,2025-11-10 10:05:00-05:00,115.705,115.77,115.68,115.74,21848.0,500.0,115.727136
XOM,2025-11-10 10:06:00-05:00,115.76,115.76,115.61,115.63,29258.0,421.0,115.687319
XOM,2025-11-10 10:07:00-05:00,115.625,115.65,115.53,115.58,75072.0,898.0,115.572734
XOM,2025-11-10 10:08:00-05:00,115.6,115.71,115.52,115.7,29655.0,526.0,115.571172
XOM,2025-11-10 10:09:00-05:00,115.71,115.715,115.606,115.66,17598.0,414.0,115.674949
XOM,2025-11-10 10:10:00-05:00,115.66,115.7,115.55,115.57,23979.0,370.0,115.595271
XOM,2025-11-10 10:11:00-05:00,115.57,115.625,115.455,115.52,38642.0,609.0,115.52099
XOM,2025-11-10 10:12:00-05:00,115.505,115.63,115.5,115.62,38201.0,579.0,115.558087
XOM,2025-11-10 10:13:00-05:00,115.62,115.71,115.61,115.65,27986.0,555.0,115.657062
XOM,2025-11-10 10:14:00-05:00,115.64,115.64,115.58,115.635,15400.0,393.0,115.609615
XOM,2025-11-10 10:15:00-05:00,115.63,115.79,115.61,115.7698,22792.0,427.0,115.724775
XOM,2025-11-10 10:16:00-05:00,115.77,115.82,115.73,115.78,28148.0,596.0,115.753922
XOM,2025-11-10 10:17:00-05:00,115.79,115.817,115.7,115.7,20672.0,400.0,115.756282
XOM,2025-11-10 10:18:00-05:00,115.7,115.85,115.69,115.82,12427.0,335.0,115.785444
XOM,2025-11-10 10:19:00-05:00,115.83,115.89,115.8,115.845,21548.0,615.0,115.838971
XOM,2025-11-10 10:20:00-05:00,115.86,115.93,115.86,115.93,25084.0,595.0,115.899717
XOM,2025-11-10 10:21:00-05:00,115.92,116.08,115.92,116.06,22648.0,403.0,116.021548
XOM,2025-11-10 10:22:00-05:00,116.07,116.27,116.0401,116.2201,25424.0,412.0,116.169393
XOM,2025-11-10 10:23:00-05:00,116.24,116.31,116.2,116.29,25000.0,402.0,116.26769
XOM,2025-11-10 10:24:00-05:00,116.283,116.37,116.283,116.32,12580.0,256.0,116.318287
XOM,2025-11-10 10:25:00-05:00,116.32,116.32,116.215,116.27,21429.0,426.0,116.25205
XOM,2025-11-10 10:26:00-05:00,116.26,116.27,116.18,116.18,14128.0,338.0,116.236349
XOM,2025-11-10 10:27:00-05:00,116.18,116.42,116.18,116.37,31290.0,555.0,116.334276
XOM,2025-11-10 10:28:00-05:00,116.38,116.48,116.38,116.4,52628.0,430.0,116.410534
XOM,2025-11-10 10:29:00-05:00,116.41,116.41,116.33,116.337,15892.0,300.0,116.36449
XOM,2025-11-10 10:30:00-05:00,116.34,116.35,116.21,116.27,28872.0,464.0,116.269791
XOM,2025-11-10 10:31:00-05:00,116.27,116.44,116.265,116.405,30915.0,574.0,116.365544
XOM,2025-11-10 10:32:00-05:00,116.42,116.42,116.31,116.34,21556.0,318.0,116.354579
XOM,2025-11-10 10:33:00-05:00,116.34,116.45,116.31,116.42,15952.0,335.0,116.394433
XOM,2025-11-10 10:34:00-05:00,116.43,116.49,116.43,116.49,21800.0,404.0,116.459713
XOM,2025-11-10 10:35:00-05:00,116.48,116.49,116.385,116.385,23997.0,410.0,116.443675
XOM,2025-11-10 10:36:00-05:00,116.4,116.54,116.3901,116.52,25945.0,487.0,116.497738
XOM,2025-11-10 10:37:00-05:00,116.52,116.54,116.41,116.42,28437.0,431.0,116.472426
XOM,2025-11-10 10:38:00-05:00,116.43,116.46,116.3822,116.39,31988.0,470.0,116.42797
XOM,2025-11-10 10:39:00-05:00,116.44,116.465,116.37,116.37,17683.0,386.0,116.418018
XOM,2025-11-10 10:40:00-05:00,116.37,116.42,116.28,116.28,19525.0,371.0,116.363981
XOM,2025-11-10 10:41:00-05:00,116.27,116.5,116.2664,116.42,29356.0,547.0,116.398996
XOM,2025-11-10 10:42:00-05:00,116.43,116.48,116.375,116.3825,26533.0,492.0,116.450912
XOM,2025-11-10 10:43:00-05:00,116.38,116.43,116.34,116.365,23885.0,459.0,116.379691
XOM,2025-11-10 10:44:00-05:00,116.37,116.46,116.37,116.45,15801.0,349.0,116.420354
XOM,2025-11-10 10:45:00-05:00,116.459,116.6,116.459,116.51,31547.0,473.0,116.507504
XOM,2025-11-10 10:46:00-05:00,116.49,116.4999,116.41,116.47,14352.0,319.0,116.441272
XOM,2025-11-10 10:47:00-05:00,116.44,116.49,116.42,116.48,19868.0,356.0,116.451234
XOM,2025-11-10 10:48:00-05:00,116.48,116.58,116.475,116.56,26741.0,293.0,116.541471
XOM,2025-11-10 10:49:00-05:00,116.57,116.58,116.52,116.52,23119.0,297.0,116.552818
XOM,2025-11-10 10:50:00-05:00,116.52,116.5293,116.44,116.4975,25185.0,337.0,116.485052
XOM,2025-11-10 10:51:00-05:00,116.5,116.545,116.4706,116.54,14576.0,279.0,116.513758
XOM,2025-11-10 10:52:00-05:00,116.54,116.55,116.485,116.52,23706.0,293.0,116.51586
XOM,2025-11-10 10:53:00-05:00,116.515,116.628,116.5,116.605,22928.0,469.0,116.577575
XOM,2025-11-10 10:54:00-05:00,116.605,116.72,116.6,116.69,16325.0,345.0,116.649468
XOM,2025-11-10 10:55:00-05:00,116.67,116.735,116.615,116.73,23429.0,403.0,116.672422
XOM,2025-11-10 10:56:00-05:00,116.74,116.76,116.67,116.72,15631.0,342.0,116.726062
XOM,2025-11-10 10:57:00-05:00,116.74,116.8,116.7384,116.76,29089.0,480.0,116.762907
XOM,2025-11-10 10:58:00-05:00,116.76,116.81,116.74,116.81,14378.0,325.0,116.76503
XOM,2025-11-10 10:59:00-05:00,116.81,116.83,116.77,116.78,22599.0,408.0,116.794243
XOM,2025-11-10 11:00:00-05:00,116.76,116.76,116.67,116.75,19566.0,333.0,116.72914
XOM,2025-11-10 11:01:00-05:00,116.76,116.85,116.71,116.85,20959.0,336.0,116.79283
XOM,2025-11-10 11:02:00-05:00,116.84,116.851,116.8,116.83,19537.0,348.0,116.824074
XOM,2025-11-10 11:03:00-05:00,116.8451,116.85,116.78,116.805,17347.0,345.0,116.798151
XOM,2025-11-10 11:04:00-05:00,116.8,116.85,116.79,116.845,21791.0,392.0,116.819654
XOM,2025-11-10 11:05:00-05:00,116.84,116.91,116.825,116.88,30352.0,451.0,116.861565
XOM,2025-11-10 11:06:00-05:00,116.88,116.94,116.86,116.93,26081.0,405.0,116.903376
XOM,2025-11-10 11:07:00-05:00,116.9454,117.01,116.92,117.01,34901.0,465.0,116.967472
XOM,2025-11-10 11:08:00-05:00,117.01,117.01,116.92,116.94,16481.0,329.0,116.96929
XOM,2025-11-10 11:09:00-05:00,116.94,116.98,116.92,116.96,17745.0,353.0,116.95462
XOM,2025-11-10 11:10:00-05:00,116.96,117.05,116.96,117.0387,15818.0,310.0,117.014839
XOM,2025-11-10 11:11:00-05:00,117.045,117.08,117.01,117.08,16856.0,309.0,117.05361
XOM,2025-11-10 11:12:00-05:00,117.075,117.1,117.03,117.03,29008.0,420.0,117.083353
XOM,2025-11-10 11:13:00-05:00,117.03,117.055,116.9736,117.03,33523.0,410.0,117.007649
XOM,2025-11-10 11:14:00-05:00,117.05,117.13,117.05,117.09,25635.0,340.0,117.086712
XOM,2025-11-10 11:15:00-05:00,117.09,117.1497,117.08,117.09,16680.0,351.0,117.114969
XOM,2025-11-10 11:16:00-05:00,117.0999,117.14,117.09,117.13,13649.0,274.0,117.117398
XOM,2025-11-10 11:17:00-05:00,117.13,117.13,117.06,117.09,28445.0,432.0,117.090625
XOM,2025-11-10 11:18:00-05:00,117.095,117.1,117.02,117.035,14397.0,439.0,117.070576
XOM,2025-11-10 11:19:00-05:00,117.03,117.11,117.02,117.09,19454.0,345.0,117.075806
XOM,2025-11-10 11:20:00-05:00,117.07,117.07,117.01,117.06,18435.0,274.0,117.049845
XOM,2025-11-10 11:21:00-05:00,117.055,117.1,117.04,117.1,14521.0,327.0,117.06548
XOM,2025-11-10 11:22:00-05:00,117.1,117.11,117.035,117.06,20627.0,352.0,117.077311
XOM,2025-11-10 11:23:00-05:00,117.07,117.15,117.06,117.14,31666.0,341.0,117.117536
XOM,2025-11-10 11:24:00-05:00,117.135,117.175,117.11,117.15,38127.0,476.0,117.149191
XOM,2025-11-10 11:25:00-05:00,117.16,117.195,117.125,117.187,45594.0,547.0,117.149229
XOM,2025-11-10 11:26:00-05:00,117.19,117.2363,117.175,117.235,35237.0,516.0,117.213863
XOM,2025-11-10 11:27:00-05:00,117.235,117.27,117.21,117.24,37303.0,555.0,117.245725
XOM,2025-11-10 11:28:00-05:00,117.23,117.245,117.205,117.22,37045.0,478.0,117.225702
XOM,2025-11-10 11:29:00-05:00,117.23,117.24,117.15,117.16,41903.0,510.0,117.205909
XOM,2025-11-10 11:30:00-05:00,117.16,117.225,117.16,117.1899,47811.0,619.0,117.200383
XOM,2025-11-10 11:31:00-05:00,117.1876,117.22,117.12,117.12,23296.0,393.0,117.174931
XOM,2025-11-10 11:32:00-05:00,117.12,117.215,117.12,117.195,24410.0,312.0,117.168787
XOM,2025-11-10 11:33:00-05:00,117.2,117.22,117.14,117.14,17319.0,306.0,117.181721
XOM,2025-11-10 11:34:00-05:00,117.12,117.17,117.095,117.16,19066.0,326.0,117.131555
XOM,2025-11-10 11:35:00-05:00,117.16,117.2301,117.135,117.22,38170.0,460.0,117.184097
XOM,2025-11-10 11:36:00-05:00,117.24,117.295,117.24,117.245,23116.0,400.0,117.263194
XOM,2025-11-10 11:37:00-05:00,117.255,117.2801,117.235,117.265,16336.0,295.0,117.256312
XOM,2025-11-10 11:38:00-05:00,117.27,117.315,117.25,117.285,21314.0,330.0,117.285502
XOM,2025-11-10 11:39:00-05:00,117.28,117.285,117.24,117.275,14382.0,258.0,117.265445
XOM,2025-11-10 11:40:00-05:00,117.27,117.29,117.23,117.24,13208.0,259.0,117.259678
XOM,2025-11-10 11:41:00-05:00,117.2326,117.2698,117.23,117.24,19593.0,318.0,117.238343
XOM,2025-11-10 11:42:00-05:00,117.25,117.3,117.24,117.3,18326.0,275.0,117.273825
