event,order_id,order_timestamp,symbol,side,price,quantity,status,prev_status,prev_quantity,filled_quantity,reason
CREATED,1,2025-11-12T15:02:00+00:00,NVDA,1,193.17999267578125,10,PENDING,,,,
EXECUTED,1,2025-11-12T15:02:00+00:00,NVDA,1,193.17999267578125,10,EXECUTED,PENDING,10,10,
CREATED,2,2025-11-12T15:16:00+00:00,NVDA,-1,192.22189331054688,10,PENDING,,,,
EXECUTED,2,2025-11-12T15:16:00+00:00,NVDA,-1,192.22189331054688,10,EXECUTED,PENDING,10,10,
CREATED,3,2025-11-12T15:31:00+00:00,NVDA,1,192.47999572753903,10,PENDING,,,,
EXECUTED,3,2025-11-12T15:31:00+00:00,NVDA,1,192.47999572753903,10,EXECUTED,PENDING,10,10,
CREATED,4,2025-11-12T15:38:00+00:00,NVDA,-1,191.9900054931641,10,PENDING,,,,
EXECUTED,4,2025-11-12T15:38:00+00:00,NVDA,-1,191.9900054931641,10,EXECUTED,PENDING,10,10,
CREATED,5,2025-11-12T15:43:00+00:00,NVDA,1,192.48719787597656,10,PENDING,,,,
EXECUTED,5,2025-11-12T15:43:00+00:00,NVDA,1,192.48719787597656,10,EXECUTED,PENDING,10,10,
CREATED,6,2025-11-12T15:51:00+00:00,NVDA,-1,192.0583953857422,10,PENDING,,,,
EXECUTED,6,2025-11-12T15:51:00+00:00,NVDA,-1,192.0583953857422,10,EXECUTED,PENDING,10,10,
CREATED,7,2025-11-12T15:57:00+00:00,NVDA,1,192.6300048828125,10,PENDING,,,,
EXECUTED,7,2025-11-12T15:57:00+00:00,NVDA,1,192.6300048828125,10,EXECUTED,PENDING,10,10,
CREATED,8,2025-11-12T16:12:00+00:00,NVDA,-1,191.7599945068359,10,PENDING,,,,
EXECUTED,8,2025-11-12T16:12:00+00:00,NVDA,-1,191.7599945068359,10,EXECUTED,PENDING,10,10,
CREATED,9,2025-11-12T16:20:00+00:00,NVDA,1,192.38999938964844,10,PENDING,,,,
EXECUTED,9,2025-11-12T16:20:00+00:00,NVDA,1,192.38999938964844,10,EXECUTED,PENDING,10,10,
CREATED,10,2025-11-12T16:44:00+00:00,NVDA,-1,192.64500427246097,10,PENDING,,,,
EXECUTED,10,2025-11-12T16:44:00+00:00,NVDA,-1,192.64500427246097,10,EXECUTED,PENDING,10,10,
CREATED,11,2025-11-12T17:07:00+00:00,NVDA,1,192.43099975585935,10,PENDING,,,,
EXECUTED,11,2025-11-12T17:07:00+00:00,NVDA,1,192.43099975585935,10,EXECUTED,PENDING,10,10,
CREATED,12,2025-11-12T17:19:00+00:00,NVDA,-1,191.86000061035156,10,PENDING,,,,
EXECUTED,12,2025-11-12T17:19:00+00:00,NVDA,-1,191.86000061035156,10,EXECUTED,PENDING,10,10,
CREATED,13,2025-11-12T17:28:00+00:00,NVDA,1,192.0030059814453,10,PENDING,,,,
EXECUTED,13,2025-11-12T17:28:00+00:00,NVDA,1,192.0030059814453,5,EXECUTED,PENDING,10,5,
CREATED,14,2025-11-12T17:30:00+00:00,NVDA,-1,192.1150054931641,10,PENDING,,,,
CREATED,15,2025-11-12T17:34:00+00:00,NVDA,1,192.3300018310547,10,PENDING,,,,
EXECUTED,15,2025-11-12T17:34:00+00:00,NVDA,1,192.3300018310547,10,EXECUTED,PENDING,10,10,
CREATED,16,2025-11-12T17:48:00+00:00,NVDA,-1,192.03500366210935,10,PENDING,,,,
EXECUTED,16,2025-11-12T17:48:00+00:00,NVDA,-1,192.03500366210935,10,EXECUTED,PENDING,10,10,
CREATED,17,2025-11-12T18:01:00+00:00,NVDA,1,192.62820434570312,10,PENDING,,,,
EXECUTED,17,2025-11-12T18:01:00+00:00,NVDA,1,192.62820434570312,10,EXECUTED,PENDING,10,10,
CREATED,18,2025-11-12T18:13:00+00:00,NVDA,-1,192.4698944091797,10,PENDING,,,,
EXECUTED,18,2025-11-12T18:13:00+00:00,NVDA,-1,192.4698944091797,10,EXECUTED,PENDING,10,10,
CREATED,19,2025-11-12T18:18:00+00:00,NVDA,1,192.69000244140625,10,PENDING,,,,
EXECUTED,19,2025-11-12T18:18:00+00:00,NVDA,1,192.69000244140625,10,EXECUTED,PENDING,10,10,
CREATED,20,2025-11-12T18:32:00+00:00,NVDA,-1,192.58999633789065,10,PENDING,,,,
EXECUTED,20,2025-11-12T18:32:00+00:00,NVDA,-1,192.58999633789065,10,EXECUTED,PENDING,10,10,
CREATED,21,2025-11-12T18:34:00+00:00,NVDA,1,192.75,10,PENDING,,,,
FAILED,21,2025-11-12T18:34:00+00:00,NVDA,1,192.75,10,FAILED,PENDING,10,0,
CREATED,22,2025-11-12T18:48:00+00:00,NVDA,-1,192.67010498046875,10,PENDING,,,,
CREATED,23,2025-11-12T19:12:00+00:00,NVDA,1,192.56500244140625,10,PENDING,,,,
EXECUTED,23,2025-11-12T19:12:00+00:00,NVDA,1,192.56500244140625,10,EXECUTED,PENDING,10,10,
CREATED,24,2025-11-12T19:18:00+00:00,NVDA,-1,192.2899932861328,10,PENDING,,,,
EXECUTED,24,2025-11-12T19:18:00+00:00,NVDA,-1,192.2899932861328,10,EXECUTED,PENDING,10,10,
