symbol,timestamp,side,qty,price,pnl
AAPL,2025-11-14 09:30:00-05:00,BUY,18,271.46,0.0
AAPL,2025-11-20 09:30:00-05:00,SELL,18,273.32,33.480000000000246
MSFT,2025-11-10 10:10:00-05:00,BUY,9,505.36,0.0
MSFT,2025-11-12 13:16:00-05:00,SELL,9,506.35,8.910000000000082
MSFT,2025-11-13 13:48:00-05:00,BUY,9,505.75,0.0
MSFT,2025-11-14 10:27:00-05:00,SELL,9,506.18,3.8700000000000614
MSFT,2025-11-14 10:29:00-05:00,BUY,9,505.4173,0.0
MSFT,2025-11-14 10:37:00-05:00,SELL,9,506.245,7.449299999999937
MSFT,2025-11-17 15:19:00-05:00,BUY,9,505.76,0.0
NVDA,2025-11-11 09:30:00-05:00,BUY,25,194.75,0.0
GOOGL,2025-11-17 09:30:00-05:00,SELL,17,287.76,0.0
TSLA,2025-11-11 09:30:00-05:00,BUY,11,438.5,0.0
AVGO,2025-11-10 11:00:00-05:00,BUY,13,355.43,0.0
AVGO,2025-11-10 11:11:00-05:00,SELL,13,356.4,12.609999999999616
AVGO,2025-11-11 12:20:00-05:00,SELL,13,356.69,0.0
AVGO,2025-11-20 12:11:00-05:00,BUY,13,354.7137,25.691899999999748
NFLX,2025-11-10 11:49:00-05:00,SELL,4,1122.045,0.0
NFLX,2025-11-11 09:30:00-05:00,BUY,4,1115.19,27.420000000000073
NFLX,2025-11-11 09:34:00-05:00,SELL,4,1123.8603,0.0
NFLX,2025-11-14 10:00:00-05:00,BUY,4,1118.43,21.721199999999953
NFLX,2025-11-14 10:50:00-05:00,BUY,4,1119.0874,0.0
AMD,2025-11-12 09:30:00-05:00,SELL,18,254.38,0.0
AMD,2025-11-13 13:31:00-05:00,BUY,18,247.145,130.22999999999973
AMD,2025-11-13 14:55:00-05:00,BUY,19,247.09,0.0
AMD,2025-11-13 15:35:00-05:00,SELL,19,248.2,21.08999999999972
AMD,2025-11-14 09:30:00-05:00,BUY,19,238.93,0.0
AMD,2025-11-17 09:55:00-05:00,SELL,19,248.33,178.6000000000001
INTC,2025-11-10 10:07:00-05:00,BUY,121,39.0499,0.0
MU,2025-11-14 12:50:00-05:00,BUY,18,252.4867,0.0
MU,2025-11-17 09:33:00-05:00,SELL,18,254.77,41.099399999999946
MU,2025-11-17 10:17:00-05:00,BUY,18,252.35,0.0
MU,2025-11-17 10:44:00-05:00,SELL,18,254.06,30.780000000000143
MU,2025-11-17 10:50:00-05:00,BUY,18,252.29,0.0
TSM,2025-11-10 10:14:00-05:00,BUY,15,294.97,0.0
TSM,2025-11-10 10:15:00-05:00,SELL,15,295.555,8.774999999999693
TSM,2025-11-11 09:30:00-05:00,BUY,15,293.355,0.0
ADI,2025-11-10 10:14:00-05:00,BUY,20,229.09,0.0
ADI,2025-11-10 11:08:00-05:00,SELL,20,229.675,11.70000000000016
ADI,2025-11-10 11:45:00-05:00,SELL,20,229.68,0.0
ADI,2025-11-17 14:58:00-05:00,BUY,20,229.17,10.200000000000387
ADI,2025-11-17 15:50:00-05:00,SELL,20,229.835,0.0
ADI,2025-11-18 09:30:00-05:00,BUY,20,228.78,21.100000000000136
ADI,2025-11-18 09:37:00-05:00,SELL,20,229.8475,0.0
